Accession,P0_stop_f,P0_TAA_freq,P0_TAG_f,P0_TGA_f,P1_stop_f,P1_TAA_freq,P1_TAG_f,P1_TGA_f,P2_stop_f,P2_TAA_freq,P2_TAG_f,P2_TGA_f,P3_stop_f,P3_TAA_freq,P3_TAG_f,P3_TGA_f,P4_stop_f,P4_TAA_freq,P4_TAG_f,P4_TGA_f,P5_stop_f,P5_TAA_freq,P5_TAG_f,P5_TGA_f,P6_stop_f,P6_TAA_freq,P6_TAG_f,P6_TGA_f,Genomic_GC,Genomic_GC3
AE000511,1.0,0.5512820512820513,0.1987179487179487,0.25,0.057692307692307696,0.04487179487179487,0.01282051282051282,0.0,0.07692307692307693,0.05128205128205128,0.01282051282051282,0.01282051282051282,0.11538461538461539,0.057692307692307696,0.038461538461538464,0.019230769230769232,0.057692307692307696,0.03205128205128205,0.00641025641025641,0.019230769230769232,0.057692307692307696,0.05128205128205128,0.00641025641025641,0.0,0.07692307692307693,0.03205128205128205,0.038461538461538464,0.00641025641025641,38.873183533219375,40.89859641519995
AE004092,1.0,0.8256410256410256,0.14871794871794872,0.02564102564102564,0.08205128205128205,0.041025641025641026,0.02564102564102564,0.015384615384615385,0.07179487179487179,0.041025641025641026,0.015384615384615385,0.015384615384615385,0.09230769230769231,0.06666666666666667,0.010256410256410256,0.015384615384615385,0.07692307692307693,0.046153846153846156,0.015384615384615385,0.015384615384615385,0.08717948717948718,0.03076923076923077,0.035897435897435895,0.020512820512820513,0.06666666666666667,0.041025641025641026,0.005128205128205128,0.020512820512820513,38.511784231872355,31.6688542072041
AE005176,1.0,0.9298245614035088,0.043859649122807015,0.02631578947368421,0.14912280701754385,0.11842105263157894,0.021929824561403508,0.008771929824561403,0.06578947368421052,0.043859649122807015,0.008771929824561403,0.013157894736842105,0.13157894736842105,0.10526315789473684,0.013157894736842105,0.013157894736842105,0.10526315789473684,0.05263157894736842,0.021929824561403508,0.03070175438596491,0.07456140350877193,0.03508771929824561,0.021929824561403508,0.017543859649122806,0.04824561403508772,0.017543859649122806,0.008771929824561403,0.021929824561403508,35.329383083874674,25.475409051731596
AE006468,1.0,0.7821350762527233,0.05010893246187364,0.16775599128540306,0.0457516339869281,0.02832244008714597,0.013071895424836602,0.004357298474945534,0.0457516339869281,0.02178649237472767,0.006535947712418301,0.017429193899782137,0.032679738562091505,0.015250544662309368,0.004357298474945534,0.013071895424836602,0.0457516339869281,0.0196078431372549,0.004357298474945534,0.02178649237472767,0.04357298474945534,0.017429193899782137,0.004357298474945534,0.02178649237472767,0.04793028322440087,0.017429193899782137,0.008714596949891068,0.02178649237472767,52.22170068657424,57.043899779355634
AE014299,1.0,0.8686440677966102,0.07203389830508475,0.059322033898305086,0.03389830508474576,0.012711864406779662,0.012711864406779662,0.00847457627118644,0.06779661016949153,0.029661016949152543,0.0211864406779661,0.01694915254237288,0.05508474576271186,0.029661016949152543,0.012711864406779662,0.012711864406779662,0.07627118644067797,0.029661016949152543,0.01694915254237288,0.029661016949152543,0.059322033898305086,0.046610169491525424,0.012711864406779662,0.0,0.0847457627118644,0.05084745762711865,0.01694915254237288,0.01694915254237288,45.960882617065316,45.78083558393288
AE015928,1.0,0.8615384615384616,0.05384615384615385,0.08461538461538462,0.09230769230769231,0.046153846153846156,0.015384615384615385,0.03076923076923077,0.046153846153846156,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.0,0.1,0.038461538461538464,0.015384615384615385,0.046153846153846156,0.05384615384615385,0.015384615384615385,0.007692307692307693,0.03076923076923077,0.07692307692307693,0.05384615384615385,0.023076923076923078,0.0,42.83717823940185,44.58875565762742
AE016823,1.0,0.7087719298245614,0.07719298245614035,0.21403508771929824,0.05263157894736842,0.02456140350877193,0.021052631578947368,0.007017543859649123,0.06315789473684211,0.03859649122807018,0.014035087719298246,0.010526315789473684,0.06666666666666667,0.03508771929824561,0.017543859649122806,0.014035087719298246,0.05964912280701754,0.03859649122807018,0.014035087719298246,0.007017543859649123,0.07368421052631578,0.031578947368421054,0.010526315789473684,0.031578947368421054,0.08070175438596491,0.05263157894736842,0.007017543859649123,0.021052631578947368,35.049524395133716,29.64888454398507
AE017225,1.0,0.8690476190476191,0.09523809523809523,0.03571428571428571,0.2222222222222222,0.11507936507936507,0.05952380952380952,0.047619047619047616,0.09126984126984126,0.047619047619047616,0.03571428571428571,0.007936507936507936,0.07539682539682539,0.03968253968253968,0.011904761904761904,0.023809523809523808,0.05555555555555555,0.031746031746031744,0.003968253968253968,0.01984126984126984,0.0873015873015873,0.05555555555555555,0.011904761904761904,0.01984126984126984,0.03968253968253968,0.01984126984126984,0.015873015873015872,0.003968253968253968,35.3794459501406,26.209940212096104
AE017285,1.0,0.18181818181818182,0.6848484848484848,0.13333333333333333,0.012121212121212121,0.0,0.0,0.012121212121212121,0.01818181818181818,0.006060606060606061,0.012121212121212121,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.04242424242424243,0.01818181818181818,0.012121212121212121,0.012121212121212121,0.012121212121212121,0.006060606060606061,0.0,0.006060606060606061,0.03636363636363636,0.0,0.006060606060606061,0.030303030303030304,63.14261166363938,74.76735786710447
AE017354,1.0,0.8058252427184466,0.11650485436893204,0.07766990291262135,0.04854368932038835,0.019417475728155338,0.02912621359223301,0.0,0.038834951456310676,0.038834951456310676,0.0,0.0,0.11650485436893204,0.04854368932038835,0.019417475728155338,0.04854368932038835,0.08737864077669903,0.07766990291262135,0.0,0.009708737864077669,0.06796116504854369,0.05825242718446602,0.009708737864077669,0.0,0.009708737864077669,0.009708737864077669,0.0,0.0,38.26951568595019,32.75505943755892
AL123456,1.0,0.17293233082706766,0.42105263157894735,0.40601503759398494,0.017543859649122806,0.0,0.005012531328320802,0.012531328320802004,0.022556390977443608,0.0,0.007518796992481203,0.015037593984962405,0.017543859649122806,0.0,0.002506265664160401,0.015037593984962405,0.022556390977443608,0.007518796992481203,0.002506265664160401,0.012531328320802004,0.007518796992481203,0.002506265664160401,0.0,0.005012531328320802,0.020050125313283207,0.005012531328320802,0.005012531328320802,0.010025062656641603,65.61466628826449,78.52914230432377
AL590842,1.0,0.7717842323651453,0.06224066390041494,0.16597510373443983,0.05394190871369295,0.029045643153526972,0.012448132780082987,0.012448132780082987,0.08298755186721991,0.03734439834024896,0.029045643153526972,0.016597510373443983,0.08713692946058091,0.03734439834024896,0.016597510373443983,0.03319502074688797,0.05394190871369295,0.016597510373443983,0.02074688796680498,0.016597510373443983,0.06224066390041494,0.03734439834024896,0.012448132780082987,0.012448132780082987,0.06639004149377593,0.02074688796680498,0.024896265560165973,0.02074688796680498,47.63611023248458,48.09749834886232
AP009552,1.0,0.602510460251046,0.25523012552301255,0.14225941422594143,0.038702928870292884,0.016736401673640166,0.012552301255230125,0.009414225941422594,0.06589958158995816,0.03138075313807531,0.015690376569037656,0.01882845188284519,0.04811715481171548,0.0198744769874477,0.012552301255230125,0.015690376569037656,0.06589958158995816,0.0198744769874477,0.02615062761506276,0.0198744769874477,0.05439330543933055,0.027196652719665274,0.013598326359832637,0.013598326359832637,0.0794979079497908,0.0397489539748954,0.02092050209205021,0.01882845188284519,42.33063114485447,39.50931745666048
AP012205,1.0,0.5503875968992248,0.4108527131782946,0.03875968992248062,0.031007751937984496,0.027131782945736434,0.003875968992248062,0.0,0.031007751937984496,0.007751937984496124,0.003875968992248062,0.01937984496124031,0.046511627906976744,0.023255813953488372,0.007751937984496124,0.015503875968992248,0.09302325581395349,0.03488372093023256,0.027131782945736434,0.031007751937984496,0.06201550387596899,0.03488372093023256,0.011627906976744186,0.015503875968992248,0.03875968992248062,0.015503875968992248,0.011627906976744186,0.011627906976744186,47.73037910135888,49.90495534861084
BA000017,1.0,0.903010033444816,0.09698996655518395,0.0,0.08695652173913043,0.07023411371237458,0.006688963210702341,0.010033444816053512,0.09364548494983277,0.06688963210702341,0.016722408026755852,0.010033444816053512,0.08695652173913043,0.06020066889632107,0.006688963210702341,0.020066889632107024,0.11705685618729098,0.0802675585284281,0.016722408026755852,0.020066889632107024,0.09364548494983277,0.056856187290969896,0.030100334448160536,0.006688963210702341,0.10033444816053512,0.06688963210702341,0.006688963210702341,0.026755852842809364,32.87779973729638,23.01103521987631
BX897699,1.0,0.6933962264150944,0.14622641509433962,0.16037735849056603,0.08018867924528301,0.04245283018867924,0.018867924528301886,0.018867924528301886,0.07547169811320754,0.0330188679245283,0.018867924528301886,0.02358490566037736,0.05660377358490566,0.02830188679245283,0.0,0.02830188679245283,0.05660377358490566,0.02830188679245283,0.014150943396226415,0.014150943396226415,0.08018867924528301,0.02830188679245283,0.02358490566037736,0.02830188679245283,0.06132075471698113,0.018867924528301886,0.009433962264150943,0.0330188679245283,38.23034861399023,28.890098869255546
CP001114,1.0,0.5058823529411764,0.03529411764705882,0.4588235294117647,0.00392156862745098,0.0,0.00392156862745098,0.0,0.023529411764705882,0.0,0.0,0.023529411764705882,0.03529411764705882,0.00392156862745098,0.00784313725490196,0.023529411764705882,0.03137254901960784,0.01568627450980392,0.0,0.01568627450980392,0.03529411764705882,0.011764705882352941,0.00392156862745098,0.0196078431372549,0.027450980392156862,0.00392156862745098,0.00392156862745098,0.0196078431372549,63.38816146436573,74.68077434111375
CP001219,1.0,0.35714285714285715,0.14285714285714285,0.5,0.031746031746031744,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.0,0.007936507936507936,0.023809523809523808,0.0,0.0,0.023809523809523808,0.007936507936507936,0.0,0.0,0.007936507936507936,0.03968253968253968,0.007936507936507936,0.007936507936507936,0.023809523809523808,0.023809523809523808,0.007936507936507936,0.007936507936507936,0.007936507936507936,58.77245718795988,65.35039366073784
U00096,1.0,0.8124076809453471,0.026587887740029542,0.16100443131462333,0.07976366322008863,0.03988183161004431,0.019202363367799114,0.0206794682422452,0.0413589364844904,0.011816838995568686,0.004431314623338257,0.025110782865583457,0.03692762186115214,0.01772525849335303,0.008862629246676515,0.0103397341211226,0.026587887740029542,0.01624815361890694,0.0029542097488921715,0.007385524372230428,0.04874446085672083,0.019202363367799114,0.008862629246676515,0.0206794682422452,0.06351550960118169,0.03545051698670606,0.0029542097488921715,0.025110782865583457,50.79070985933456,53.7633008577989
