Accession,MF_0,MF_1,MF_2,MF_3,MF_4,MF_5,MF_6,PF_0,PF_1,PF_2,PF_3,PF_4,PF_5,PF_6,GC,GC3
BA000026,0.0,0.009523809523809525,0.0,0.009523809523809525,0.009523809523809525,0.0,0.01904761904761905,0.0979290412124042,0.011886745068105877,0.015402470828277337,0.013659864704532359,0.014483336723364562,0.014665876358222493,0.014540838833369244,25.717541087254613,15.598566988773465
BX293980,0.0,0.022900763358778626,0.022900763358778626,0.007633587786259542,0.022900763358778626,0.0,0.030534351145038167,0.07308063090784106,0.00967590920056064,0.013158066977106697,0.01594902153944564,0.015134129194948033,0.011195560795864524,0.01190103205396176,23.965608734153502,10.040443424812656
CP002082,0.0,0.00904977375565611,0.013574660633484163,0.00904977375565611,0.013574660633484163,0.013574660633484163,0.004524886877828055,0.10433065970813304,0.014303079621943753,0.017329220349066917,0.0156854066146816,0.01503436232298278,0.017436319672579366,0.01673070160193298,29.412294464639043,20.810183206528
CP002107,0.0,0.013157894736842105,0.013157894736842105,0.019736842105263157,0.019736842105263157,0.0,0.019736842105263157,0.07308063090784106,0.00967590920056064,0.013158066977106697,0.01594902153944564,0.015134129194948033,0.011195560795864524,0.01190103205396176,23.95100384651468,10.715038707086824
CP002108,0.0,0.009174311926605505,0.0,0.0,0.009174311926605505,0.0,0.01834862385321101,0.07308063090784106,0.00967590920056064,0.013158066977106697,0.01594902153944564,0.015134129194948033,0.011195560795864524,0.01190103205396176,23.750509192220434,9.988733633176752
CP002458,0.0,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.09478876791456066,0.011515610390448253,0.014592897839194827,0.01327819530764488,0.013415529964527094,0.014202151802535397,0.014310966942388545,26.859506717759356,16.16207410523272
CP003731,0.0,0.016666666666666666,0.016666666666666666,0.008333333333333333,0.0,0.0,0.0,0.14857498987058518,0.016582587822843536,0.0178760057917763,0.017182823595922256,0.016529693197855574,0.017248272995852826,0.017370601119702074,39.27065647523601,34.16903463385109
CP005074,0.0,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.0,0.07203382626019617,0.0077407273604485115,0.012886335587585063,0.015119099237456218,0.013877214860383204,0.012496271645541176,0.011290737147594185,23.873449039194895,11.321015128014402
CP005077,0.0,0.0,0.02702702702702703,0.0,0.036036036036036036,0.018018018018018018,0.018018018018018018,0.09594794299758844,0.011759963628637224,0.014917951386764772,0.012976517161579059,0.013690470955482783,0.014660844755982694,0.014405772328304742,28.798955241684933,16.582812470867665
CP005078,0.0,0.0,0.009433962264150943,0.009433962264150943,0.02830188679245283,0.018867924528301886,0.018867924528301886,0.09594794299758844,0.011759963628637224,0.014917951386764772,0.012976517161579059,0.013690470955482783,0.014660844755982694,0.014405772328304742,29.201043216922656,17.097756991678448
CP006682,0.0,0.009523809523809525,0.0,0.009523809523809525,0.0,0.0,0.009523809523809525,0.10383078100687387,0.013651590133604457,0.01617308502847481,0.014478693231766683,0.014094886690129541,0.01611486684506738,0.015422143463081727,28.303982408401506,19.04743124510618
CP006720,0.0,0.012345679012345678,0.018518518518518517,0.015432098765432098,0.018518518518518517,0.018518518518518517,0.009259259259259259,0.10458026673349524,0.014495105900765335,0.017034847958327073,0.015332887787938405,0.015152032166137835,0.01761264331751526,0.01644142859188353,29.412117873085837,20.98567308354032
CP006916,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.11393597061628317,0.015433527502256846,0.017912089192533214,0.0175463885526431,0.017684624461770857,0.01793612099350388,0.01859372444984493,31.467588359634803,24.87775858211876
CP006959,0.0,0.0,0.016260162601626018,0.008130081300813009,0.024390243902439025,0.0,0.0,0.07308063090784106,0.00967590920056064,0.013158066977106697,0.01594902153944564,0.015134129194948033,0.011195560795864524,0.01190103205396176,23.681626370126597,10.118459126547119
CP010267,0.0,0.006802721088435374,0.013605442176870748,0.013605442176870748,0.02040816326530612,0.0,0.02040816326530612,0.07308063090784106,0.00967590920056064,0.013158066977106697,0.01594902153944564,0.015134129194948033,0.011195560795864524,0.01190103205396176,23.952744574833666,10.957924081668464
FR668087,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.009009009009009009,0.07308063090784106,0.00967590920056064,0.013158066977106697,0.01594902153944564,0.015134129194948033,0.011195560795864524,0.01190103205396176,23.66726567783947,10.706478338569857
HF559394,0.0,0.009433962264150943,0.018867924528301886,0.018867924528301886,0.02830188679245283,0.0,0.0,0.09329342149262135,0.011515624137218938,0.015012027852440069,0.013465670647621737,0.014146960459580986,0.014459376483389158,0.014107337416173163,25.70043972536451,15.704557654082798
LM995445,0.0,0.0,0.02054794520547945,0.00684931506849315,0.03424657534246575,0.0,0.0,0.07308063090784106,0.00967590920056064,0.013158066977106697,0.01594902153944564,0.015134129194948033,0.011195560795864524,0.01190103205396176,23.66319241359176,11.229081143387315
