Accession,MF_0,MF_1,MF_2,MF_3,MF_4,MF_5,MF_6,PF_0,PF_1,PF_2,PF_3,PF_4,PF_5,PF_6,GC,GC3
BA000026,0.0,0.009523809523809525,0.0,0.009523809523809525,0.009523809523809525,0.0,0.01904761904761905,0.09251108895230892,0.01216599524012834,0.015340348399829888,0.013075804362708554,0.01409542686118843,0.015919193718087213,0.015308699833233923,25.717541087254613,15.598566988773465
BX293980,0.0,0.022900763358778626,0.022900763358778626,0.007633587786259542,0.022900763358778626,0.0,0.030534351145038167,0.07419258373205742,0.008155503750859262,0.013137958532695376,0.016775008219014315,0.01543560606060606,0.011927462443859376,0.011591478696741854,23.965608734153502,10.040443424812656
CP002082,0.0,0.00904977375565611,0.013574660633484163,0.00904977375565611,0.013574660633484163,0.013574660633484163,0.004524886877828055,0.09315866084425037,0.013755158184319119,0.01713796058269066,0.016522423288749016,0.015332197614991482,0.01769436997319035,0.016971279373368148,29.412294464639043,20.810183206528
CP002107,0.0,0.013157894736842105,0.013157894736842105,0.019736842105263157,0.019736842105263157,0.0,0.019736842105263157,0.07419258373205742,0.008155503750859262,0.013137958532695376,0.016775008219014315,0.01543560606060606,0.011927462443859376,0.011591478696741854,23.95100384651468,10.715038707086824
CP002108,0.0,0.009174311926605505,0.0,0.0,0.009174311926605505,0.0,0.01834862385321101,0.07419258373205742,0.008155503750859262,0.013137958532695376,0.016775008219014315,0.01543560606060606,0.011927462443859376,0.011591478696741854,23.750509192220434,9.988733633176752
CP002458,0.0,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.09186351706036745,0.011494252873563218,0.01347539956126606,0.013039117352056168,0.012195121951219513,0.014367816091954023,0.015130674002751032,26.859506717759356,16.16207410523272
CP003731,0.0,0.016666666666666666,0.016666666666666666,0.008333333333333333,0.0,0.0,0.0,0.1412639405204461,0.0166865315852205,0.017173051519154558,0.01688951442646024,0.016597510373443983,0.016704416761041903,0.018061674008810574,39.27065647523601,34.16903463385109
CP005074,0.0,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.0,0.06784660766961652,0.0043859649122807015,0.011799410029498525,0.011799410029498525,0.014204545454545454,0.015332197614991482,0.010025062656641603,23.873449039194895,11.321015128014402
CP005077,0.0,0.0,0.02702702702702703,0.0,0.036036036036036036,0.018018018018018018,0.018018018018018018,0.09251108895230892,0.011950600382191038,0.01359876324547008,0.012898361423820037,0.012975140067769316,0.014548370596901486,0.015284033399317196,28.798955241684933,16.582812470867665
CP005078,0.0,0.0,0.009433962264150943,0.009433962264150943,0.02830188679245283,0.018867924528301886,0.018867924528301886,0.09251108895230892,0.011950600382191038,0.01359876324547008,0.012898361423820037,0.012975140067769316,0.014548370596901486,0.015284033399317196,29.201043216922656,17.097756991678448
CP006682,0.0,0.009523809523809525,0.0,0.009523809523809525,0.0,0.0,0.009523809523809525,0.10421836228287841,0.01341492115791951,0.01664145234493192,0.014415543716703227,0.014367816091954023,0.016891891891891893,0.015486725663716814,28.303982408401506,19.04743124510618
CP006720,0.0,0.012345679012345678,0.018518518518518517,0.015432098765432098,0.018518518518518517,0.018518518518518517,0.009259259259259259,0.09315866084425037,0.013761467889908258,0.01713796058269066,0.015,0.015665796344647518,0.018111254851228976,0.016971279373368148,29.412117873085837,20.98567308354032
CP006916,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.11050420168067226,0.014025245441795231,0.018067226890756304,0.01807980049875312,0.017391304347826087,0.018633540372670808,0.017754318618042227,31.467588359634803,24.87775858211876
CP006959,0.0,0.0,0.016260162601626018,0.008130081300813009,0.024390243902439025,0.0,0.0,0.07419258373205742,0.008155503750859262,0.013137958532695376,0.016775008219014315,0.01543560606060606,0.011927462443859376,0.011591478696741854,23.681626370126597,10.118459126547119
CP010267,0.0,0.006802721088435374,0.013605442176870748,0.013605442176870748,0.02040816326530612,0.0,0.02040816326530612,0.07419258373205742,0.008155503750859262,0.013137958532695376,0.016775008219014315,0.01543560606060606,0.011927462443859376,0.011591478696741854,23.952744574833666,10.957924081668464
FR668087,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.009009009009009009,0.07419258373205742,0.008155503750859262,0.013137958532695376,0.016775008219014315,0.01543560606060606,0.011927462443859376,0.011591478696741854,23.66726567783947,10.706478338569857
HF559394,0.0,0.009433962264150943,0.018867924528301886,0.018867924528301886,0.02830188679245283,0.0,0.0,0.09186351706036745,0.01192504258943782,0.014912280701754385,0.013039117352056168,0.013755158184319119,0.015332197614991482,0.015130674002751032,25.70043972536451,15.704557654082798
LM995445,0.0,0.0,0.02054794520547945,0.00684931506849315,0.03424657534246575,0.0,0.0,0.07419258373205742,0.008155503750859262,0.013137958532695376,0.016775008219014315,0.01543560606060606,0.011927462443859376,0.011591478696741854,23.66319241359176,11.229081143387315
