Accession,TAA_FourthA,TAA_FourthT,TAA_FourthG,TAA_FourthC,TGA_FourthA,TGA_FourthT,TGA_FourthG,TGA_FourthC,TAG_FourthA,TAG_FourthT,TAG_FourthG,TAG_FourthC,GC,GC
AE000511,0.5289256198347108,0.21487603305785125,0.17355371900826447,0.08264462809917356,0.4222222222222222,0.4,0.13333333333333333,0.044444444444444446,0.40540540540540543,0.13513513513513514,0.2702702702702703,0.1891891891891892,38.873183533219375,40.89859641519995
AE002098,0.3695652173913043,0.1956521739130435,0.32608695652173914,0.10869565217391304,0.2647058823529412,0.5,0.058823529411764705,0.17647058823529413,0.0,0.0,0.8,0.2,51.52783889876604,59.71123614190311
AE004092,0.42990654205607476,0.2616822429906542,0.18691588785046728,0.12149532710280374,0.13043478260869565,0.5217391304347826,0.08695652173913043,0.2608695652173913,0.3125,0.21875,0.21875,0.25,38.511784231872355,31.6688542072041
AE005176,0.6198830409356725,0.2982456140350877,0.07602339181286549,0.005847953216374269,0.2962962962962963,0.4074074074074074,0.07407407407407407,0.2222222222222222,0.375,0.375,0.1875,0.0625,35.329383083874674,25.475409051731596
AE006468,0.21658986175115208,0.35023041474654376,0.14746543778801843,0.2857142857142857,0.20454545454545456,0.42045454545454547,0.1590909090909091,0.2159090909090909,0.1702127659574468,0.23404255319148937,0.1276595744680851,0.46808510638297873,52.22170068657424,57.043899779355634
AE014299,0.21818181818181817,0.34545454545454546,0.23636363636363636,0.2,0.07142857142857142,0.6428571428571429,0.07142857142857142,0.21428571428571427,0.1702127659574468,0.2765957446808511,0.23404255319148937,0.3191489361702128,45.960882617065316,45.78083558393288
AE015928,0.35526315789473684,0.2894736842105263,0.18421052631578946,0.17105263157894737,0.13333333333333333,0.5333333333333333,0.2,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.13333333333333333,42.83717823940185,44.58875565762742
AE016823,0.5330188679245284,0.25,0.14150943396226415,0.07547169811320754,0.32558139534883723,0.4883720930232558,0.10465116279069768,0.08139534883720931,0.6363636363636364,0.12727272727272726,0.16363636363636364,0.07272727272727272,35.049524395133716,29.64888454398507
AE017225,0.3837837837837838,0.3567567567567568,0.1891891891891892,0.07027027027027027,0.3333333333333333,0.3888888888888889,0.2222222222222222,0.05555555555555555,0.3448275862068966,0.3793103448275862,0.13793103448275862,0.13793103448275862,35.3794459501406,26.209940212096104
AE017285,0.0,0.17647058823529413,0.35294117647058826,0.47058823529411764,0.19642857142857142,0.25,0.14285714285714285,0.4107142857142857,0.2318840579710145,0.07246376811594203,0.2608695652173913,0.43478260869565216,63.14261166363938,74.76735786710447
AE017354,0.3620689655172414,0.3620689655172414,0.08620689655172414,0.1896551724137931,0.17391304347826086,0.30434782608695654,0.34782608695652173,0.17391304347826086,0.3333333333333333,0.25,0.25,0.16666666666666666,38.26951568595019,32.75505943755892
AL111168,0.41935483870967744,0.2903225806451613,0.25806451612903225,0.03225806451612903,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,30.548571686178516,18.980335850738253
AL123456,0.13846153846153847,0.13846153846153847,0.26153846153846155,0.46153846153846156,0.17708333333333334,0.20833333333333334,0.265625,0.3489583333333333,0.171875,0.109375,0.2109375,0.5078125,65.61466628826449,78.52914230432377
AL590842,0.18571428571428572,0.5071428571428571,0.14285714285714285,0.16428571428571428,0.16279069767441862,0.6511627906976745,0.06976744186046512,0.11627906976744186,0.14705882352941177,0.29411764705882354,0.2647058823529412,0.29411764705882354,47.63611023248458,48.09749834886232
AP009552,0.44545454545454544,0.20909090909090908,0.22045454545454546,0.125,0.2775800711743772,0.28113879003558717,0.1423487544483986,0.298932384341637,0.24774774774774774,0.30180180180180183,0.25675675675675674,0.19369369369369369,42.33063114485447,39.50931745666048
AP012205,0.3333333333333333,0.27956989247311825,0.17204301075268819,0.21505376344086022,0.2972972972972973,0.32432432432432434,0.21621621621621623,0.16216216216216217,0.3058823529411765,0.16470588235294117,0.3764705882352941,0.15294117647058825,47.73037910135888,49.90495534861084
BA000017,0.36363636363636365,0.36363636363636365,0.13636363636363635,0.13636363636363635,0.125,0.5625,0.125,0.1875,0.32432432432432434,0.40540540540540543,0.08108108108108109,0.1891891891891892,32.87779973729638,23.01103521987631
BX897699,0.4594594594594595,0.2072072072072072,0.2072072072072072,0.12612612612612611,0.44,0.4,0.16,0.0,0.5,0.15625,0.1875,0.15625,38.23034861399023,28.890098869255546
CP001114,0.296875,0.15625,0.296875,0.25,0.2672413793103448,0.12931034482758622,0.43103448275862066,0.1724137931034483,0.36363636363636365,0.09090909090909091,0.45454545454545453,0.09090909090909091,63.38816146436573,74.68077434111375
CP001219,0.3055555555555556,0.19444444444444445,0.2777777777777778,0.2222222222222222,0.2153846153846154,0.2923076923076923,0.18461538461538463,0.3076923076923077,0.13043478260869565,0.17391304347826086,0.21739130434782608,0.4782608695652174,58.77245718795988,65.35039366073784
U00096,0.2890946502057613,0.36934156378600824,0.15946502057613168,0.18209876543209877,0.22955145118733508,0.44063324538258575,0.17150395778364116,0.158311345646438,0.21739130434782608,0.2753623188405797,0.2463768115942029,0.2608695652173913,50.79070985933456,53.7633008577989
