Accession,P0_observed,Total_UTRs_0,P0_Expected_freq,P0_Observed_freq,P0_Standard_Deviation,P0_Zscore,P0__BinomPval,P1_observed,P1_Total_UTRs,P1_Expected_freq,P1_Observed_freq,P1_Standard_Deviation,P1_Zscore,P1__BinomPval,P2_observed,P2_Total_UTRs,P2_Expected_freq,P2_Observed_freq,P2_Standard_Deviation,P2_Zscore,P2__BinomPval,P3_observed,P3_Total_UTRs,P3_Expected_freq,P3_Observed_freq,P3_Standard_Deviation,P3_Zscore,P3__BinomPval,P4_observed,P4_Total_UTRs,P4_Expected_freq,P4_Observed_freq,P4_Standard_Deviation,P4_Zscore,P4__BinomPval,P5_observed,P5_Total_UTRs,P5_Expected_freq,P5_Observed_freq,P5_Standard_Deviation,P5_Zscore,P5__BinomPval,P6_observed,P6_Total_UTRs,P6_Expected_freq,P6_Observed_freq,P6_Standard_Deviation,P6_Zscore,P6__BinomPval,Genomic_GC,Genomic_GC3
CP002725,932,932,0.0825,1.0,27.5124971603815,31.08078467087946,0.0,59,932,0.0888,0.06330472103004292,28.44548470320026,-0.8353382003480749,0.9982428534856265,96,932,0.0878,0.10300429184549356,28.30038162286862,0.5007140959735101,0.05932179023880871,84,932,0.0866,0.09012875536480687,28.124800443736486,0.11693594081064632,0.3672684291673123,77,932,0.0881,0.08261802575107297,28.344027589599897,-0.1802566690230957,0.7385828206464926,91,932,0.0937,0.09763948497854077,29.14108954723553,0.12599391639247423,0.35579145374661403,92,932,0.0851,0.09871244635193133,27.903044636741704,0.45467439719085323,0.07850301556742069,41.22960708801931,34.43784294716497
CP007446,1590,1590,0.085,1.0,27.888169534768682,52.16728183562611,0.0,115,1590,0.0837,0.07232704402515723,27.69373755923891,-0.6529635070498936,0.9561589028114821,108,1590,0.0867,0.06792452830188679,28.139493598854973,-1.0608932920247989,0.9973789976679095,107,1590,0.0832,0.06729559748427673,27.61842863017373,-0.9156205205814024,0.9918946792367903,100,1590,0.0889,0.06289308176100629,28.459934996412063,-1.452954829489706,0.9999442968148451,134,1590,0.0825,0.08427672955974842,27.5124971603815,0.10268061032526123,0.4113716214039047,100,1590,0.0856,0.06289308176100629,27.97724789896247,-1.290477180971717,0.999686261770712,41.265944561226405,35.93210878747006
CP003944,2228,2228,0.0663,1.0,24.880576761803574,83.61074664449225,0.0,113,2228,0.0703,0.050718132854578095,25.565193134416173,-1.7065546804442842,0.9999347952319348,159,2228,0.0723,0.07136445242369839,25.898399564451854,-0.0804837378005807,0.5793488782207012,158,2228,0.0656,0.07091561938958707,24.758158251372414,0.4783554527665035,0.16563482328944445,113,2228,0.0726,0.050718132854578095,25.947878525999,-1.8788742189906262,0.9999881360676426,142,2228,0.0673,0.06373429084380611,25.054083499501633,-0.31709002646846085,0.7605539502882384,133,2228,0.0705,0.059694793536804305,25.59877926776978,-0.9404354695268781,0.9809648914872635,42.43836564217796,35.923314884861014
AP012057,2294,2294,0.0213,1.0,14.438251279154272,155.4992884243188,0.0,12,2294,0.0206,0.0052310374891020054,14.204098000225146,-2.482128749001954,0.9999999998098666,13,2294,0.0216,0.005666957279860506,14.537345012071496,-2.514241766268142,0.9999999998678659,27,2294,0.025,0.011769834350479512,15.612494995995995,-1.943955787193758,0.999997686417638,21,2294,0.0213,0.009154315605928508,14.438251279154272,-1.929748932976878,0.9999979576099662,22,2294,0.0233,0.00959023539668701,15.08545988692423,-2.08480220263357,0.9999997042251513,17,2294,0.023,0.0074106364428945075,14.990330216509575,-2.385671261638625,0.9999999977981254,67.29244721885163,85.35204110605888
CP003422,5380,5380,0.0499,1.0,21.773835215689495,234.75597887857614,0.0,152,5380,0.0459,0.02825278810408922,20.926822501278114,-4.536856944918484,0.999999999987076,164,5380,0.0472,0.030483271375464683,21.20664046943787,-4.240935763946771,0.9999999997059176,131,5380,0.0465,0.024349442379182157,21.056531053333547,-5.659526713975695,0.9999999999999999,187,5380,0.0472,0.034758364312267656,21.20664046943787,-3.1563698218237537,0.9999970731529738,184,5380,0.0555,0.03420074349442379,22.895359791887962,-5.004944278735481,0.9999999999998972,176,5380,0.0501,0.03271375464684015,21.81513007066426,-4.287758069606221,0.9999999997951217,58.26471788824384,73.0149247366025
CP000792,754,754,0.0831,1.0,27.603331320693883,25.045621920340782,0.0,41,754,0.089,0.054376657824933686,28.47437444440176,-0.916824355561307,0.9998589873018219,116,754,0.0853,0.15384615384615385,27.932760336207377,1.8502933250390488,6.024143645117943e-10,44,754,0.084,0.058355437665782495,27.738781516137294,-0.6970745989239329,0.9968170340661309,55,754,0.0802,0.07294429708222812,27.16025773073591,-0.2014266600205699,0.7863920295122504,57,754,0.0832,0.07559681697612732,27.61842863017373,-0.20757154857596746,0.7927637920133487,58,754,0.087,0.07692307692307693,28.183505814571756,-0.2695903075362468,0.8528383363361158,39.428959063005145,38.71452976076315
CP006664,2576,2576,0.0461,1.0,20.970166904438315,117.17819944866181,0.0,110,2576,0.0433,0.042701863354037264,20.353159459897128,-0.07570323433253237,0.5727324091707015,78,2576,0.041,0.030279503105590064,19.829019138626094,-1.3927063061936933,0.9982041633899926,95,2576,0.0428,0.03687888198757764,20.240592876692126,-0.7535747639864946,0.9400650551782066,84,2576,0.0441,0.03260869565217391,20.53172910399901,-1.441749004677567,0.9986976447077396,68,2576,0.0433,0.026397515527950312,20.353159459897128,-2.13926491785173,0.9999975947306098,103,2576,0.0448,0.03998447204968944,20.686459339384303,-0.5996579596578369,0.8920053825797069,58.718518079405534,68.34220100354395
CP000282,2731,2731,0.0714,1.0,25.749182511295384,98.48881994166344,0.0,165,2731,0.0823,0.0604174295129989,27.482123280416307,-2.1745517764482836,0.9999940509704729,148,2731,0.0707,0.05419260344196265,25.63230578781394,-1.758784417336057,0.9997919605526691,140,2731,0.0712,0.05126327352618089,25.71586280878011,-2.1172612564028075,0.999990684446596,181,2731,0.0748,0.06627608934456243,26.3068356135815,-0.8848954827536083,0.9600766274755109,168,2731,0.0758,0.061515928231417064,26.467784191352326,-1.4738596823207237,0.9983420632280634,169,2731,0.0749,0.061882094470889784,26.3229918512315,-1.3506025531188517,0.9963925089119807,45.82607600427956,44.5828860197993
CP002400,1674,1674,0.0444,1.0,20.5982135147687,77.66083203541172,0.0,35,1674,0.0451,0.02090800477897252,20.752346855235434,-1.9514612146039403,0.9999999595030127,30,1674,0.046,0.017921146953405017,20.948508300115307,-2.2437874490443446,0.9999999998392127,36,1674,0.0442,0.021505376344086023,20.553919334277833,-1.8483482095136297,0.9999997845007736,51,1674,0.0465,0.03046594982078853,21.056531053333547,-1.2747113915399984,0.9996161315006129,54,1674,0.0455,0.03225806451612903,20.839805661281968,-1.0636855429599237,0.9973156545329571,47,1674,0.0458,0.028076463560334528,20.905109423296498,-1.4192319877042532,0.999920138310918,55.5585100725393,67.47799906657528
CP000724,2926,2926,0.0949,1.0,29.3076764688025,90.36276222098644,0.0,276,2926,0.0898,0.09432672590567327,28.589501569632166,0.46328894429097334,0.20411290129821524,247,2926,0.0983,0.08441558441558442,29.771985153832116,-1.364564700341146,0.9953791241788819,247,2926,0.0912,0.08441558441558442,28.789331357292756,-0.689533207757929,0.9054752707157652,264,2926,0.0936,0.09022556390977443,29.127141981320445,-0.33898279502781486,0.7432912864938419,290,2926,0.0921,0.09911141490088858,28.916706243969074,0.7094653113986221,0.10126377804367237,249,2926,0.0908,0.08509911141490088,28.732448555596513,-0.5805561599709519,0.8659760807665977,36.82202449465125,30.896708831942302
