Accession,TAA_0,TAA_1,TAA_2,TAA_3,TAA_4,TAA_5,TAA_6,TGA_0,TGA_1,TGA_2,TGA_3,TGA_4,TGA_5,TGA_6,TAG_0,TAG_1,TAG_2,TAG_3,TAG_4,TAG_5,TAG_6,GC,GC3
AE000657,1.0,0.03260869565217391,0.03804347826086957,0.05434782608695652,0.02717391304347826,0.021739130434782608,0.03260869565217391,1.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.0761904761904762,0.0761904761904762,0.0761904761904762,1.0,0.11904761904761904,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.09523809523809523,0.09523809523809523,43.476167301066496,47.18621732053671
AE014184,1.0,0.028368794326241134,0.03546099290780142,0.03546099290780142,0.07092198581560284,0.07092198581560284,0.05673758865248227,1.0,0.04310344827586207,0.034482758620689655,0.034482758620689655,0.04310344827586207,0.04310344827586207,0.0603448275862069,1.0,0.016,0.056,0.032,0.04,0.064,0.032,46.331997200483556,43.31984798362862
AE015928,1.0,0.07986870897155361,0.06345733041575492,0.05306345733041575,0.05962800875273523,0.06728665207877461,0.0700218818380744,1.0,0.11573236889692586,0.06690777576853527,0.06148282097649186,0.07956600361663653,0.0759493670886076,0.09041591320072333,1.0,0.05672268907563025,0.04831932773109244,0.07563025210084033,0.052521008403361345,0.052521008403361345,0.07142857142857142,42.83717823940185,44.58875565762742
AE016825,1.0,0.013869625520110958,0.019417475728155338,0.016643550624133148,0.024965325936199722,0.022191400832177532,0.0319001386962552,1.0,0.021410579345088162,0.027707808564231738,0.021410579345088162,0.017632241813602016,0.02644836272040302,0.022670025188916875,1.0,0.005434782608695652,0.01358695652173913,0.03260869565217391,0.024456521739130436,0.016304347826086956,0.019021739130434784,64.83374306473475,83.15720006089714
AE017282,1.0,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.005847953216374269,0.029239766081871343,0.011695906432748537,1.0,0.013157894736842105,0.015182186234817813,0.013157894736842105,0.01417004048582996,0.018218623481781375,0.01720647773279352,1.0,0.004901960784313725,0.014705882352941176,0.00980392156862745,0.014705882352941176,0.004901960784313725,0.014705882352941176,63.58457295840506,77.96001192983474
AL935263,1.0,0.06554756195043965,0.07833733013589128,0.07114308553157474,0.07513988808952837,0.06634692246203037,0.07513988808952837,1.0,0.09961685823754789,0.07662835249042145,0.06513409961685823,0.1111111111111111,0.05363984674329502,0.10727969348659004,1.0,0.07010309278350516,0.04329896907216495,0.088659793814433,0.07010309278350516,0.09072164948453608,0.05567010309278351,44.46688649939107,45.13685216456338
AM180252,1.0,0.11299435028248588,0.09416195856873823,0.07344632768361582,0.10546139359698682,0.096045197740113,0.10357815442561205,1.0,0.15714285714285714,0.18571428571428572,0.11428571428571428,0.11428571428571428,0.07142857142857142,0.17142857142857143,1.0,0.14906832298136646,0.08074534161490683,0.06832298136645963,0.07453416149068323,0.055900621118012424,0.062111801242236024,33.2844865496402,18.680945512211654
AM236080,1.0,0.029197080291970802,0.026277372262773723,0.026277372262773723,0.02335766423357664,0.01897810218978102,0.021897810218978103,1.0,0.022608695652173914,0.022608695652173914,0.021449275362318842,0.03768115942028986,0.02318840579710145,0.016231884057971015,1.0,0.013307984790874524,0.013307984790874524,0.019011406844106463,0.015209125475285171,0.015209125475285171,0.015209125475285171,61.09037476108047,75.9558218001485
AM260479,1.0,0.011135857461024499,0.011135857461024499,0.0200445434298441,0.026726057906458798,0.011135857461024499,0.013363028953229399,1.0,0.01496792587312901,0.011404133998574484,0.017106200997861726,0.01496792587312901,0.017106200997861726,0.018531717747683536,1.0,0.019390581717451522,0.008310249307479225,0.0110803324099723,0.013850415512465374,0.008310249307479225,0.013850415512465374,66.46591142419408,85.22432239106415
AM260525,1.0,0.03780487804878049,0.0524390243902439,0.054878048780487805,0.04878048780487805,0.06951219512195123,0.06707317073170732,1.0,0.10714285714285714,0.060714285714285714,0.07857142857142857,0.05714285714285714,0.05,0.08214285714285714,1.0,0.018867924528301886,0.0330188679245283,0.07075471698113207,0.04716981132075472,0.07547169811320754,0.0660377358490566,38.856063299022054,30.077139499859406
