Accession,TAA_length,TGA_length,TAG_length,GC,GC3
AE000511,1037.7906976744187,1231.342105263158,796.741935483871,38.873183533219375,40.89859641519995
AE002098,1313.2105263157894,1266.9473684210527,1227.0,51.52783889876604,59.71123614190311
AE004092,936.2608695652174,1398.0,974.4827586206897,38.511784231872355,31.6688542072041
AE005176,777.127358490566,893.5,630.0,35.329383083874674,25.475409051731596
AE006468,980.3296089385475,1036.2077922077922,887.7391304347826,52.22170068657424,57.043899779355634
AE014299,1077.3951219512196,1053.4285714285713,877.5882352941177,45.960882617065316,45.78083558393288
AE015928,997.1785714285714,982.6363636363636,1276.2857142857142,42.83717823940185,44.58875565762742
AE016823,897.519801980198,961.1803278688525,1124.4545454545455,35.049524395133716,29.64888454398507
AE017225,883.6575342465753,851.3333333333334,738.125,35.3794459501406,26.209940212096104
AE017285,1271.6,1357.2272727272727,1305.3982300884957,63.14261166363938,74.76735786710447
AE017354,944.6746987951807,880.875,1256.75,38.26951568595019,32.75505943755892
AL111168,969.3191489361702,912.6,1324.5,30.548571686178516,18.980335850738253
AL123456,1000.2608695652174,1032.388888888889,1004.0479041916168,65.61466628826449,78.52914230432377
AL590842,1063.1935483870968,974.325,1001.6,47.63611023248458,48.09749834886232
AP009552,776.5364583333334,546.7279411764706,783.1844262295082,42.33063114485447,39.50931745666048
AP012205,942.9295774647887,734.7,814.1037735849056,47.73037910135888,49.90495534861084
BX897699,931.530612244898,972.1764705882352,885.0967741935484,38.23034861399023,28.890098869255546
CP001219,1146.8,1313.2857142857142,1261.8333333333333,58.77245718795988,65.35039366073784
U00096,1005.8415300546449,896.7522935779816,738.0,50.79070985933456,53.7633008577989
