Accession,+4T_f,TAAT_f,TGAT_f,TAGT_f,codonT_f,GC,GC3
AE000657,0.5,0.16666666666666666,0.2,0.16666666666666666,0.36666666666666664,43.476167301066496,47.18621732053671
AE014184,0.216,0.25,0.375,0.16666666666666666,0.3248,46.331997200483556,43.31984798362862
AE015928,0.27521008403361347,0.27631578947368424,0.3548387096774194,0.3448275862068966,0.31974789915966384,42.83717823940185,44.58875565762742
AE016825,0.08967391304347826,0.07692307692307693,0.2727272727272727,0.1,0.17989130434782608,64.83374306473475,83.15720006089714
AE017282,0.10784313725490197,0.0,0.3333333333333333,0.0,0.18725490196078431,63.58457295840506,77.96001192983474
AL935263,0.3979381443298969,0.4111111111111111,0.24528301886792453,0.3939393939393939,0.27876288659793813,44.46688649939107,45.13685216456338
AM180252,0.5341614906832298,0.38636363636363635,0.4,0.5333333333333333,0.391304347826087,33.2844865496402,18.680945512211654
AM236080,0.13688212927756654,0.2222222222222222,0.16666666666666666,0.0,0.19657794676806084,61.09037476108047,75.9558218001485
AM260479,0.13850415512465375,0.0,0.23076923076923078,0.2,0.14293628808864267,66.46591142419408,85.22432239106415
AM260525,0.16037735849056603,0.21739130434782608,0.3076923076923077,0.5,0.3462264150943396,38.856063299022054,30.077139499859406
AM494475,0.291005291005291,0.4827586206896552,0.2,0.16666666666666666,0.37037037037037035,30.5310497961732,21.365218147233982
AM711867,0.10421836228287841,0.0,0.2,0.3333333333333333,0.10124069478908189,72.66422692563216,94.7975161479547
AM743169,0.1953125,0.5,0.3,0.3333333333333333,0.1359375,66.32404518043852,83.25334333965804
AM889285,0.10876132930513595,0.2,0.3076923076923077,0.0,0.16858006042296073,66.43110337985524,80.11588632313429
AM902716,0.0903010033444816,0.1875,0.15789473684210525,0.06666666666666667,0.17190635451505018,65.48282415680934,81.62050779849977
AM942759,0.4648318042813456,0.3108108108108108,0.5,0.19230769230769232,0.3480122324159021,38.89968663300527,30.75245291987967
AM999887,0.29347826086956524,0.358974358974359,0.5,0.25,0.3673913043478261,34.19024523509989,26.635196840406515
AP006628,0.41379310344827586,0.4,0.6,0.2,0.38275862068965516,27.75984301810356,19.896437816443562
