Accession,0_TAA,0_TGA,0_TAG,1_TAA,1_TGA,1_TAG,2_TAA,2_TGA,2_TAG,GC,GC3
AE000657,0.5045871559633027,0.27522935779816515,0.22018348623853212,0.5647058823529412,0.29411764705882354,0.1411764705882353,0.5647058823529412,0.3058823529411765,0.12941176470588237,43.476167301066496,47.18621732053671
AE014184,0.5,0.30392156862745096,0.19607843137254902,0.35106382978723405,0.43617021276595747,0.2127659574468085,0.4186046511627907,0.32558139534883723,0.2558139534883721,46.331997200483556,43.31984798362862
AE015928,0.5344827586206896,0.2646551724137931,0.20086206896551725,0.5210384959713519,0.26768128916741274,0.21128021486123547,0.5415879017013232,0.2731568998109641,0.18525519848771266,42.83717823940185,44.58875565762742
AE016825,0.2556818181818182,0.5198863636363636,0.22443181818181818,0.275092936802974,0.5204460966542751,0.20446096654275092,0.24,0.5692307692307692,0.19076923076923077,64.83374306473475,83.15720006089714
AE017282,0.175,0.6333333333333333,0.19166666666666668,0.20430107526881722,0.6129032258064516,0.1827956989247312,0.18181818181818182,0.6776859504132231,0.14049586776859505,63.58457295840506,77.96001192983474
AL935263,0.4868871151653364,0.3352337514253136,0.17787913340935005,0.4725877192982456,0.3125,0.2149122807017544,0.4697508896797153,0.3416370106761566,0.18861209964412812,44.46688649939107,45.13685216456338
AM180252,0.6331096196868009,0.1319910514541387,0.2348993288590604,0.6229508196721312,0.1448087431693989,0.23224043715846995,0.5722379603399433,0.10764872521246459,0.32011331444759206,33.2844865496402,18.680945512211654
AM236080,0.2297979797979798,0.5833333333333334,0.18686868686868688,0.22343324250681199,0.547683923705722,0.22888283378746593,0.2528216704288939,0.5733634311512416,0.17381489841986456,61.09037476108047,75.9558218001485
AM260479,0.18407960199004975,0.6467661691542289,0.1691542288557214,0.1437125748502994,0.6526946107784432,0.20359281437125748,0.15165876777251186,0.6492890995260664,0.1990521327014218,66.46591142419408,85.22432239106415
AM260525,0.5599128540305011,0.28540305010893247,0.15468409586056645,0.5926773455377574,0.2791762013729977,0.12814645308924486,0.5433673469387755,0.29846938775510207,0.15816326530612246,38.856063299022054,30.077139499859406
AM494475,0.5870020964360587,0.21593291404612158,0.1970649895178197,0.5211640211640212,0.21164021164021163,0.2671957671957672,0.5408163265306123,0.17091836734693877,0.288265306122449,30.5310497961732,21.365218147233982
AM711867,0.0625,0.78125,0.15625,0.03389830508474576,0.7627118644067796,0.2033898305084746,0.05555555555555555,0.7685185185185185,0.17592592592592593,72.66422692563216,94.7975161479547
AM743169,0.10084033613445378,0.5252100840336135,0.3739495798319328,0.08661417322834646,0.49606299212598426,0.41732283464566927,0.13157894736842105,0.47953216374269003,0.3888888888888889,66.32404518043852,83.25334333965804
AM889285,0.2413793103448276,0.5960591133004927,0.1625615763546798,0.24836601307189543,0.5620915032679739,0.1895424836601307,0.2796208530805687,0.6066350710900474,0.11374407582938388,66.43110337985524,80.11588632313429
AM902716,0.23904382470119523,0.47808764940239046,0.28286852589641437,0.2857142857142857,0.47802197802197804,0.23626373626373626,0.3148936170212766,0.451063829787234,0.23404255319148937,65.48282415680934,81.62050779849977
AM942759,0.5543199315654406,0.23353293413173654,0.21214713430282292,0.6083172147001934,0.20212765957446807,0.1895551257253385,0.6054054054054054,0.20756756756756756,0.18702702702702703,38.89968663300527,30.75245291987967
AM999887,0.5333333333333333,0.18840579710144928,0.2782608695652174,0.5805243445692884,0.20599250936329588,0.21348314606741572,0.47079037800687284,0.31958762886597936,0.20962199312714777,34.19024523509989,26.635196840406515
AP006628,0.7060931899641577,0.1827956989247312,0.1111111111111111,0.756,0.148,0.096,0.7172995780590717,0.16033755274261605,0.12236286919831224,27.75984301810356,19.896437816443562
AP006840,0.1407035175879397,0.5527638190954773,0.3065326633165829,0.1346153846153846,0.6538461538461539,0.21153846153846154,0.1524390243902439,0.5609756097560976,0.2865853658536585,68.6684043088666,89.4912651578391
AP007255,0.2578125,0.61328125,0.12890625,0.28761061946902655,0.5088495575221239,0.20353982300884957,0.2567049808429119,0.5363984674329502,0.20689655172413793,65.093510400737,83.14199548369172
AP008230,0.4553719008264463,0.3413223140495868,0.20330578512396694,0.46469465648854963,0.31774809160305345,0.21755725190839695,0.46924603174603174,0.34325396825396826,0.1875,47.35989345501921,50.59483233199998
AP008955,0.3703024747937672,0.3693858845096242,0.2603116406966086,0.36989247311827955,0.3634408602150538,0.26666666666666666,0.35454545454545455,0.3806818181818182,0.26477272727272727,47.2735528479921,49.388060253065156
AP008971,0.5489690721649485,0.2422680412371134,0.20876288659793815,0.5915915915915916,0.24324324324324326,0.16516516516516516,0.5663716814159292,0.2182890855457227,0.2153392330383481,32.3127743623778,26.650776270876232
AP009152,0.05970149253731343,0.835820895522388,0.1044776119402985,0.027777777777777776,0.7361111111111112,0.2361111111111111,0.08333333333333333,0.7583333333333333,0.15833333333333333,71.16380109284755,92.56099655074152
AP009153,0.09251101321585903,0.6828193832599119,0.22466960352422907,0.10416666666666667,0.65625,0.23958333333333334,0.07659574468085106,0.723404255319149,0.2,64.27436141406316,76.88042010162982
AP009178,0.5357142857142857,0.22857142857142856,0.2357142857142857,0.5229357798165137,0.29357798165137616,0.1834862385321101,0.5370370370370371,0.25925925925925924,0.2037037037037037,39.688625407429775,36.53261266972793
AP009179,0.4935064935064935,0.2701298701298701,0.23636363636363636,0.48348348348348347,0.32732732732732733,0.1891891891891892,0.46579804560260585,0.32247557003257327,0.21172638436482086,43.87148618201701,46.96062298295081
AP009380,0.43846153846153846,0.31153846153846154,0.25,0.5,0.26582278481012656,0.23417721518987342,0.3800738007380074,0.3837638376383764,0.23616236162361623,48.359283634112224,53.05509468872864
AP009384,0.19101123595505617,0.6235955056179775,0.1853932584269663,0.16,0.6733333333333333,0.16666666666666666,0.16666666666666666,0.6782945736434108,0.15503875968992248,67.31902211118089,85.58033965760337
AP009389,0.5935613682092555,0.23541247484909456,0.1710261569416499,0.55119825708061,0.30501089324618735,0.1437908496732026,0.532293986636971,0.30957683741648107,0.15812917594654788,52.96110399537247,62.3289097746804
AP009484,0.5152671755725191,0.2900763358778626,0.1946564885496183,0.5287846481876333,0.3070362473347548,0.16417910447761194,0.548926014319809,0.29594272076372313,0.15513126491646778,36.87685627905118,30.775165231510314
AP009510,0.5198019801980198,0.2722772277227723,0.2079207920792079,0.5568181818181818,0.32386363636363635,0.11931818181818182,0.5679012345679012,0.2962962962962963,0.13580246913580246,35.20740200576095,30.40007037897882
AP009552,0.46743761412051127,0.2732805842970176,0.2592818015824711,0.4085401038661281,0.2908251586843624,0.3006347374495095,0.4519774011299435,0.25674827369742625,0.29127432517263024,42.33063114485447,39.50931745666048
AP010904,0.39473684210526316,0.4394736842105263,0.16578947368421051,0.3776435045317221,0.3776435045317221,0.24471299093655588,0.35988200589970504,0.4365781710914454,0.20353982300884957,62.769421550751524,77.06766538646693
AP010946,0.1907514450867052,0.6589595375722543,0.15028901734104047,0.18446601941747573,0.6601941747572816,0.1553398058252427,0.18974358974358974,0.6820512820512821,0.1282051282051282,67.76023397993896,87.04108079465419
AP010953,0.4923702950152594,0.3560528992878942,0.1515768056968464,0.4921875,0.3470982142857143,0.16071428571428573,0.4572192513368984,0.3983957219251337,0.1443850267379679,50.68482282649143,52.79602195346696
AP010968,0.06827309236947791,0.7751004016064257,0.1566265060240964,0.08839779005524862,0.7624309392265194,0.14917127071823205,0.04950495049504951,0.8052805280528053,0.14521452145214522,74.19750348332366,95.43552890821465
AP011112,0.6344086021505376,0.22580645161290322,0.13978494623655913,0.5897435897435898,0.21794871794871795,0.19230769230769232,0.4520547945205479,0.2876712328767123,0.2602739726027397,44.000263892354866,46.140012543177605
AP011121,0.49050632911392406,0.3227848101265823,0.18670886075949367,0.46153846153846156,0.3169230769230769,0.22153846153846155,0.48659003831417624,0.3065134099616858,0.20689655172413793,53.03682379505382,53.06410333113375
AP011529,0.6192170818505338,0.199288256227758,0.18149466192170818,0.5951417004048583,0.21862348178137653,0.1862348178137652,0.5426356589147286,0.27906976744186046,0.17829457364341086,31.118260965301925,22.211041788684792
AP011615,0.40580645161290324,0.3161290322580645,0.27806451612903227,0.47858942065491183,0.267632241813602,0.25377833753148615,0.43295530353569045,0.30820547031354234,0.25883922615076715,43.650355346998246,41.46555477408334
AP012027,0.553125,0.259375,0.1875,0.6007194244604317,0.2302158273381295,0.16906474820143885,0.5330739299610895,0.2607003891050584,0.20622568093385213,36.55623983118011,28.019531441606464
AP012029,0.4354243542435424,0.43911439114391143,0.12546125461254612,0.4549019607843137,0.41568627450980394,0.12941176470588237,0.3702290076335878,0.4770992366412214,0.15267175572519084,53.84967293987223,61.151795580452166
AP012035,0.21666666666666667,0.6416666666666667,0.14166666666666666,0.21621621621621623,0.6216216216216216,0.16216216216216217,0.19186046511627908,0.6337209302325582,0.1744186046511628,67.5791744356647,83.28976118847989
AP012044,0.466557911908646,0.3376835236541599,0.19575856443719414,0.4444444444444444,0.39651416122004357,0.15904139433551198,0.4117647058823529,0.41532976827094475,0.17290552584670232,53.32115202687688,62.44762599576779
AP012046,0.5757180156657964,0.22193211488250653,0.20234986945169714,0.5515151515151515,0.25303030303030305,0.19545454545454546,0.5659025787965616,0.22492836676217765,0.20916905444126074,36.0410813510645,27.72117933022902
AP012050,0.537746806039489,0.25435540069686413,0.20789779326364694,0.575,0.25263157894736843,0.1723684210526316,0.5549597855227882,0.2520107238605898,0.19302949061662197,35.71827205908107,26.499942957190925
AP012051,0.599009900990099,0.21287128712871287,0.18811881188118812,0.6055555555555555,0.22777777777777777,0.16666666666666666,0.5277777777777778,0.2777777777777778,0.19444444444444445,35.37487573029511,28.8596832483386
AP012052,0.1744186046511628,0.6976744186046512,0.12790697674418605,0.06329113924050633,0.810126582278481,0.12658227848101267,0.12280701754385964,0.6929824561403509,0.18421052631578946,70.27840545811512,89.51635710263977
AP012057,0.017857142857142856,0.8928571428571429,0.08928571428571429,0.045871559633027525,0.8807339449541285,0.07339449541284404,0.017543859649122806,0.8771929824561403,0.10526315789473684,67.29244721885163,85.35204110605888
AP012157,0.5315091210613598,0.26616915422885573,0.2023217247097844,0.5482661668228679,0.2521087160262418,0.19962511715089035,0.5229268292682927,0.28,0.19707317073170733,38.60316874875766,32.68874104181474
AP012200,0.5935085007727975,0.20865533230293662,0.19783616692426584,0.6,0.20336134453781513,0.19663865546218487,0.6141868512110726,0.21626297577854672,0.1695501730103806,31.427530414899095,20.912233770188518
AP012204,0.07142857142857142,0.7414965986394558,0.1870748299319728,0.0353356890459364,0.734982332155477,0.22968197879858657,0.07142857142857142,0.724025974025974,0.20454545454545456,67.2675393441247,83.09199829566528
AP012224,0.2702702702702703,0.5371621621621622,0.19256756756756757,0.24381625441696114,0.46996466431095407,0.2862190812720848,0.23692307692307693,0.5323076923076923,0.23076923076923078,64.35657091688313,83.4582862067788
AP012273,0.24596774193548387,0.5564516129032258,0.1975806451612903,0.3173076923076923,0.5384615384615384,0.14423076923076922,0.2222222222222222,0.6666666666666666,0.1111111111111111,56.27233867427217,64.736231939811
AP012292,0.4575289575289575,0.3166023166023166,0.22586872586872586,0.46464646464646464,0.33131313131313134,0.20404040404040405,0.4610526315789474,0.3368421052631579,0.20210526315789473,50.678134821285894,58.98123748705875
AP012304,0.22488038277511962,0.5215311004784688,0.2535885167464115,0.21390374331550802,0.5294117647058824,0.25668449197860965,0.24782608695652175,0.5217391304347826,0.23043478260869565,65.1013369765916,81.96821673440803
AP012320,0.1717171717171717,0.6565656565656566,0.1717171717171717,0.2235294117647059,0.5294117647058824,0.24705882352941178,0.08208955223880597,0.7388059701492538,0.1791044776119403,71.24314405801177,90.89008540983318
AP012331,0.23580786026200873,0.5414847161572053,0.22270742358078602,0.2611111111111111,0.5277777777777778,0.2111111111111111,0.21052631578947367,0.5933014354066986,0.19617224880382775,64.63092877381744,85.40830215340151
AP012333,0.2850678733031674,0.5384615384615384,0.17647058823529413,0.2737430167597765,0.553072625698324,0.17318435754189945,0.28735632183908044,0.5,0.21264367816091953,58.31297660267276,73.04844261105163
AP012334,0.4129032258064516,0.3225806451612903,0.2645161290322581,0.43548387096774194,0.3161290322580645,0.24838709677419354,0.42857142857142855,0.3693379790940767,0.20209059233449478,48.63343237690101,48.528931928920855
AP012337,0.2237354085603113,0.5642023346303502,0.21206225680933852,0.26490066225165565,0.5452538631346578,0.18984547461368653,0.20659340659340658,0.567032967032967,0.22637362637362637,58.76714546695322,69.23173987284495
AP012338,0.03773584905660377,0.7169811320754716,0.24528301886792453,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.04477611940298507,0.7611940298507462,0.19402985074626866,73.28780179978833,93.48250813834655
AP012342,0.28515625,0.57421875,0.140625,0.25888324873096447,0.5989847715736041,0.14213197969543148,0.2608695652173913,0.591304347826087,0.14782608695652175,50.047547643363764,52.8600203553081
AP012492,0.48120300751879697,0.20551378446115287,0.3132832080200501,0.47554347826086957,0.21467391304347827,0.30978260869565216,0.5100286532951289,0.16905444126074498,0.3209169054441261,38.343488993942316,35.024781844645304
AP012495,0.43288590604026844,0.3644295302013423,0.20268456375838925,0.42249240121580545,0.3541033434650456,0.22340425531914893,0.43564356435643564,0.3424092409240924,0.22194719471947194,45.7271863180528,46.68717826815462
AP012547,0.19095477386934673,0.592964824120603,0.21608040201005024,0.21264367816091953,0.5287356321839081,0.25862068965517243,0.1935483870967742,0.6290322580645161,0.1774193548387097,63.267412603007166,79.15080752127986
AP012551,0.3923611111111111,0.4513888888888889,0.15625,0.37896825396825395,0.4623015873015873,0.15873015873015872,0.41200828157349895,0.453416149068323,0.13457556935817805,56.956884178640536,67.46781189223354
AP012554,0.6697530864197531,0.14506172839506173,0.18518518518518517,0.6161616161616161,0.21212121212121213,0.1717171717171717,0.6713780918727915,0.1519434628975265,0.17667844522968199,30.56788703419589,20.772262124659903
AP012978,0.23958333333333334,0.5833333333333334,0.17708333333333334,0.136986301369863,0.6986301369863014,0.1643835616438356,0.1926605504587156,0.7064220183486238,0.10091743119266056,65.05711268828249,82.31346219624776
AP013066,0.351981351981352,0.42657342657342656,0.22144522144522144,0.36486486486486486,0.41081081081081083,0.22432432432432434,0.353887399463807,0.4155495978552279,0.23056300268096513,56.1040492634944,65.49436516151633
AP013105,0.22151898734177214,0.4620253164556962,0.31645569620253167,0.2751677852348993,0.436241610738255,0.28859060402684567,0.2655367231638418,0.4406779661016949,0.2937853107344633,63.459266396182954,82.24245014305617
AP014521,0.8053097345132744,0.05752212389380531,0.13716814159292035,0.7388888888888889,0.1388888888888889,0.12222222222222222,0.7650273224043715,0.08743169398907104,0.14754098360655737,25.06962490771965,12.049407316897229
AP014565,0.46691635455680397,0.3358302122347066,0.1972534332084894,0.47667638483965014,0.39212827988338195,0.13119533527696792,0.44245142002989535,0.3901345291479821,0.16741405082212257,52.155026256764614,56.21466011794846
AP014569,0.22875816993464052,0.5163398692810458,0.2549019607843137,0.23008849557522124,0.5221238938053098,0.24778761061946902,0.23134328358208955,0.48507462686567165,0.2835820895522388,66.09057305548266,83.276143228355
AP014583,0.6308411214953271,0.18808411214953272,0.1810747663551402,0.6455834242093784,0.17448200654307525,0.17993456924754633,0.6666666666666666,0.17569193742478942,0.15764139590854392,32.17769270144215,21.630140096119334
AP014624,0.6159468438538206,0.226578073089701,0.1574750830564784,0.5998531571218796,0.2525697503671072,0.14757709251101322,0.6232209737827715,0.2441947565543071,0.13258426966292136,35.59174183823627,31.217248851243838
AP014633,0.4901315789473684,0.2524671052631579,0.2574013157894737,0.5039840637450199,0.2559760956175299,0.2400398406374502,0.47855100095328884,0.2755004766444233,0.2459485224022879,41.21047691218616,34.72579659348268
