Accession,Stops_f,Tstarting_f,GC,GC3
AE000657,0.5,0.36363636363636365,43.476167301066496,47.18621732053671
AE014184,0.216,0.33460076045627374,46.331997200483556,43.31984798362862
AE015928,0.27521008403361347,0.3631739572736521,42.83717823940185,44.58875565762742
AE016825,0.08967391304347826,0.18018018018018017,64.83374306473475,83.15720006089714
AE017282,0.10784313725490197,0.18461538461538463,63.58457295840506,77.96001192983474
AL935263,0.3979381443298969,0.2817551963048499,44.46688649939107,45.13685216456338
AM180252,0.5341614906832298,0.44552058111380144,33.2844865496402,18.680945512211654
AM236080,0.13688212927756654,0.22330097087378642,61.09037476108047,75.9558218001485
AM260479,0.13850415512465375,0.15897435897435896,66.46591142419408,85.22432239106415
AM260525,0.16037735849056603,0.3726851851851852,38.856063299022054,30.077139499859406
AM494475,0.291005291005291,0.3971631205673759,30.5310497961732,21.365218147233982
AM711867,0.10421836228287841,0.12758620689655173,72.66422692563216,94.7975161479547
AM743169,0.1953125,0.15625,66.32404518043852,83.25334333965804
AM889285,0.10876132930513595,0.2282051282051282,66.43110337985524,80.11588632313429
AM902716,0.0903010033444816,0.22496371552975328,65.48282415680934,81.62050779849977
AM942759,0.4648318042813456,0.36182336182336183,38.89968663300527,30.75245291987967
AM999887,0.29347826086956524,0.3669950738916256,34.19024523509989,26.635196840406515
AP006628,0.41379310344827586,0.3828125,27.75984301810356,19.896437816443562
AP006840,0.09803921568627451,0.15064102564102563,68.6684043088666,89.4912651578391
AP007255,0.11293260473588343,0.20967741935483872,65.093510400737,83.14199548369172
AP008230,0.21482412060301506,0.30401234567901236,47.35989345501921,50.59483233199998
AP008955,0.21984216459977451,0.30919623461259954,47.2735528479921,49.388060253065156
AP008971,0.3404255319148936,0.3494809688581315,32.3127743623778,26.650776270876232
AP009152,0.10822510822510822,0.15254237288135594,71.16380109284755,92.56099655074152
AP009153,0.2636363636363636,0.19055374592833876,64.27436141406316,76.88042010162982
AP009178,0.234375,0.4444444444444444,39.688625407429775,36.53261266972793
AP009179,0.24372759856630824,0.3616636528028933,43.87148618201701,46.96062298295081
AP009380,0.2210144927536232,0.28515625,48.359283634112224,53.05509468872864
AP009384,0.06907894736842106,0.16905444126074498,67.31902211118089,85.58033965760337
AP009389,0.1941031941031941,0.3137254901960784,52.96110399537247,62.3289097746804
AP009484,0.28708133971291866,0.33248730964467005,36.87685627905118,30.775165231510314
AP009510,0.2967032967032967,0.4052631578947368,35.20740200576095,30.40007037897882
AP009552,0.26383319967923013,0.3070934256055363,42.33063114485447,39.50931745666048
AP010904,0.1737649063032368,0.22145804676753783,62.769421550751524,77.06766538646693
AP010946,0.06756756756756757,0.19047619047619047,67.76023397993896,87.04108079465419
AP010953,0.3284132841328413,0.2836438923395445,50.68482282649143,52.79602195346696
AP010968,0.08118556701030928,0.1105072463768116,74.19750348332366,95.43552890821465
AP011112,0.2545454545454545,0.37142857142857144,44.000263892354866,46.140012543177605
AP011121,0.11347517730496454,0.25806451612903225,53.03682379505382,53.06410333113375
AP011529,0.43617021276595747,0.3688888888888889,31.118260965301925,22.211041788684792
AP011615,0.2643478260869565,0.24458661417322836,43.650355346998246,41.46555477408334
AP012027,0.38235294117647056,0.47465437788018433,36.55623983118011,28.019531441606464
AP012029,0.23809523809523808,0.2336448598130841,53.84967293987223,61.151795580452166
AP012035,0.11594202898550725,0.1947565543071161,67.5791744356647,83.28976118847989
AP012044,0.2215568862275449,0.27580071174377224,53.32115202687688,62.44762599576779
AP012046,0.38870431893687707,0.3778135048231511,36.0410813510645,27.72117933022902
AP012050,0.43171806167400884,0.34505494505494505,35.71827205908107,26.499942957190925
AP012051,0.4,0.3448275862068966,35.37487573029511,28.8596832483386
AP012052,0.11797752808988764,0.11235955056179775,70.27840545811512,89.51635710263977
AP012057,0.21890547263681592,0.20481927710843373,67.29244721885163,85.35204110605888
AP012157,0.36754176610978523,0.35463659147869675,38.60316874875766,32.68874104181474
AP012200,0.30917874396135264,0.3883720930232558,31.427530414899095,20.912233770188518
AP012204,0.21644295302013422,0.19260204081632654,67.2675393441247,83.09199829566528
AP012224,0.1346153846153846,0.24618736383442266,64.35657091688313,83.4582862067788
AP012273,0.23931623931623933,0.2818627450980392,56.27233867427217,64.736231939811
AP012292,0.2937062937062937,0.2936170212765957,50.678134821285894,58.98123748705875
AP012304,0.15807560137457044,0.17287234042553193,65.1013369765916,81.96821673440803
AP012320,0.10869565217391304,0.17587939698492464,71.24314405801177,90.89008540983318
AP012331,0.17083333333333334,0.20722135007849293,64.63092877381744,85.40830215340151
AP012333,0.12454212454212454,0.2285012285012285,58.31297660267276,73.04844261105163
AP012334,0.21585903083700442,0.3265822784810127,48.63343237690101,48.528931928920855
AP012337,0.11980033277870217,0.24358974358974358,58.76714546695322,69.23173987284495
AP012338,0.05161290322580645,0.10569105691056911,73.28780179978833,93.48250813834655
AP012342,0.23208191126279865,0.2867256637168142,50.047547643363764,52.8600203553081
AP012492,0.1687116564417178,0.3614088820826952,38.343488993942316,35.024781844645304
AP012495,0.24773662551440329,0.32797971259509723,45.7271863180528,46.68717826815462
AP012547,0.16071428571428573,0.18924731182795698,63.267412603007166,79.15080752127986
AP012551,0.18023255813953487,0.20746268656716418,56.956884178640536,67.46781189223354
AP012554,0.34408602150537637,0.41203703703703703,30.56788703419589,20.772262124659903
AP012978,0.11949685534591195,0.25263157894736843,65.05711268828249,82.31346219624776
AP013066,0.23976608187134502,0.2697594501718213,56.1040492634944,65.49436516151633
AP013105,0.07741116751269035,0.20654205607476636,63.459266396182954,82.24245014305617
AP014521,0.5681818181818182,0.5348837209302325,25.06962490771965,12.049407316897229
AP014565,0.3090909090909091,0.3253012048192771,52.155026256764614,56.21466011794846
AP014569,0.07692307692307693,0.24663677130044842,66.09057305548266,83.276143228355
AP014583,0.36857142857142855,0.40357598978288634,32.17769270144215,21.630140096119334
AP014624,0.34942084942084944,0.3814247069431921,35.59174183823627,31.217248851243838
AP014633,0.2766726943942134,0.3306693306693307,41.21047691218616,34.72579659348268
AP014648,0.11926605504587157,0.19571045576407506,62.84232476604134,77.77875657547061
AP014685,0.13954802259887006,0.20992848127892302,63.70241665075839,80.26396127928666
AP014800,0.06906077348066299,0.16666666666666666,66.82816125602547,82.54107282063603
AP014821,0.32172470978441126,0.3325082508250825,33.344810744398856,23.31407430770491
BA000012,0.10607521697203472,0.19156540385989992,62.74706437726396,78.20212561954558
BA000022,0.2632183908045977,0.3050847457627119,47.72025510218359,49.882298574919574
BA000028,0.33587786259541985,0.3256445047489824,35.681311368484145,25.853265043173003
BA000039,0.1489841986455982,0.2661179698216735,53.91792993985405,57.37820504815544
BX908798,0.3181818181818182,0.3466666666666667,34.717256203755284,27.543035134856844
CP000031,0.07931034482758621,0.18862275449101795,64.22290936690355,80.12634528985195
CP000038,0.26976744186046514,0.33506493506493507,51.009758013290465,54.86777809491924
CP000061,0.48717948717948717,0.5,26.88626305428061,19.371994276312602
CP000083,0.43820224719101125,0.34773445732349845,38.00542695387089,30.46081482872266
CP000088,0.16116504854368932,0.15761821366024517,67.50285331947377,83.77434685436344
CP000089,0.18064516129032257,0.2612244897959184,59.24722023752395,69.83350770181697
CP000103,0.14655172413793102,0.2327127659574468,53.94264822125698,60.38097430302666
CP000109,0.345679012345679,0.33653846153846156,43.12997222924752,41.76347489024347
CP000116,0.1306122448979592,0.20577617328519857,66.06722296893027,83.50812300707801
CP000140,0.24281984334203655,0.32789115646258504,45.05957647485263,51.05677539925933
CP000141,0.32019704433497537,0.40589569160997735,42.04970185549152,39.535416446941035
CP000153,0.36363636363636365,0.3907766990291262,34.46195676613094,25.425114861501307
CP000155,0.2313860252004582,0.2915549597855228,53.86974591515463,61.05746474959016
CP000157,0.09809264305177112,0.20491803278688525,63.068512035455406,77.17354765752737
CP000158,0.1130952380952381,0.1596244131455399,61.93028325615428,74.14299571325925
CP000232,0.14457831325301204,0.27435064935064934,55.79153707569736,64.43002637918988
CP000238,0.5797101449275363,0.4647058823529412,33.234770341914974,19.720723690425825
CP000245,0.08125,0.20652173913043478,69.99670531593956,91.31977921211823
CP000252,0.16666666666666666,0.31875,51.460038373226816,57.04670184084418
CP000264,0.11152416356877323,0.18023255813953487,62.332175460869756,75.41608957612769
CP000267,0.21252796420581654,0.25,59.87933375732678,72.1806538037545
CP000282,0.345873786407767,0.3191906005221932,45.82607600427956,44.5828860197993
CP000284,0.19941348973607037,0.29250457038391225,55.71908220615934,64.99896280610056
CP000285,0.13310580204778158,0.15384615384615385,63.91185638668967,79.91249954817198
CP000316,0.16083916083916083,0.21009389671361503,62.47230909815348,77.09299266599201
CP000319,0.12332439678284182,0.22432432432432434,61.713781836805225,75.70930010645063
CP000352,0.16034985422740525,0.20084566596194503,63.820295314082756,79.09870616890429
CP000360,0.23513986013986013,0.23098278734036645,58.38384331781577,71.79140257261432
CP000377,0.11297071129707113,0.18627450980392157,60.412916463861535,71.26991283602997
CP000383,0.412532637075718,0.37333333333333335,38.84645420098899,35.52122903381832
CP000386,0.04338394793926247,0.1718377088305489,70.47658403570273,91.23163201373471
CP000387,0.23673469387755103,0.34868421052631576,43.4002181344688,42.92532747553288
CP000388,0.339699863574352,0.3384279475982533,44.61609348747495,43.713301961934846
CP000390,0.12105263157894737,0.17935483870967742,61.06678699297397,72.55384668026387
CP000393,0.3294010889292196,0.35311827956989245,34.143356453871355,25.13635559598903
CP000411,0.40939597315436244,0.41116751269035534,37.88888283571569,33.76575792724595
CP000414,0.3576158940397351,0.42517006802721086,37.71033695121066,30.33467860372307
CP000422,0.36065573770491804,0.31054131054131057,37.357828886583455,29.55305813629921
CP000448,0.25327510917030566,0.34403080872913994,44.86592341448712,46.00755658267348
CP000449,0.14432989690721648,0.19316493313521546,62.72763433646602,75.510574803482
