Accession,F_p1,F_utr,GC,GC3
AE000657,0.28651685393258425,0.29525593008739076,43.476167301066496,47.18621732053671
AE014184,0.25547445255474455,0.2749391727493917,46.331997200483556,43.31984798362862
AE015928,0.26397146254458975,0.2382084819659136,42.83717823940185,44.58875565762742
AE016825,0.1729957805907173,0.1617440225035162,64.83374306473475,83.15720006089714
AE017282,0.17261904761904762,0.18584656084656084,63.58457295840506,77.96001192983474
AL935263,0.3481608212147134,0.2184203022526376,44.46688649939107,45.13685216456338
AM180252,0.35881104033970274,0.3050247699929229,33.2844865496402,18.680945512211654
AM236080,0.19699248120300752,0.18646616541353384,61.09037476108047,75.9558218001485
AM260479,0.15765765765765766,0.13838838838838838,66.46591142419408,85.22432239106415
AM260525,0.2370088719898606,0.27038445289395857,38.856063299022054,30.077139499859406
AM494475,0.26403326403326405,0.2832062832062832,30.5310497961732,21.365218147233982
AM711867,0.2,0.14814814814814814,72.66422692563216,94.7975161479547
AM743169,0.17057569296375266,0.14877990997393983,66.32404518043852,83.25334333965804
AM889285,0.14873417721518986,0.1719409282700422,66.43110337985524,80.11588632313429
AM902716,0.1718213058419244,0.16113020236731576,65.48282415680934,81.62050779849977
AM942759,0.45490981963927857,0.2796704520151414,38.89968663300527,30.75245291987967
AM999887,0.327455919395466,0.27176042541281836,34.19024523509989,26.635196840406515
AP006628,0.3456221198156682,0.2780337941628264,27.75984301810356,19.896437816443562
AP006840,0.13071895424836602,0.12091503267973856,68.6684043088666,89.4912651578391
AP007255,0.24541284403669725,0.1834862385321101,65.093510400737,83.14199548369172
AP008230,0.21320411871592973,0.2073490813648294,47.35989345501921,50.59483233199998
AP008955,0.2293398533007335,0.1960880195599022,47.2735528479921,49.388060253065156
AP008971,0.3313840155945419,0.26857266623348497,32.3127743623778,26.650776270876232
AP009152,0.2653061224489796,0.15419501133786848,71.16380109284755,92.56099655074152
AP009153,0.11186440677966102,0.13408662900188323,64.27436141406316,76.88042010162982
AP009178,0.3125,0.27350427350427353,39.688625407429775,36.53261266972793
AP009179,0.2609427609427609,0.26954732510288065,43.87148618201701,46.96062298295081
AP009380,0.2570951585976628,0.2122055277314042,48.359283634112224,53.05509468872864
AP009384,0.13157894736842105,0.15146198830409358,67.31902211118089,85.58033965760337
AP009389,0.1856492027334852,0.2120982029865857,52.96110399537247,62.3289097746804
AP009484,0.34576757532281205,0.25091662681332694,36.87685627905118,30.775165231510314
AP009510,0.20863309352517986,0.2641886490807354,35.20740200576095,30.40007037897882
AP009552,0.26313541221700126,0.24415017324030566,42.33063114485447,39.50931745666048
AP010904,0.18266978922716628,0.16744730679156908,62.769421550751524,77.06766538646693
AP010946,0.10416666666666667,0.15895061728395063,67.76023397993896,87.04108079465419
AP010953,0.36373056994818653,0.23131836499712147,50.68482282649143,52.79602195346696
AP010968,0.03592814371257485,0.08915502328675981,74.19750348332366,95.43552890821465
AP011112,0.18032786885245902,0.23406193078324225,44.000263892354866,46.140012543177605
AP011121,0.2025,0.23097222222222222,53.03682379505382,53.06410333113375
AP011529,0.23393316195372751,0.29105969722936303,31.118260965301925,22.211041788684792
AP011615,0.33522975929978116,0.21731096523219062,43.650355346998246,41.46555477408334
AP012027,0.30409356725146197,0.28091834524583065,36.55623983118011,28.019531441606464
AP012029,0.1855072463768116,0.21739130434782608,53.84967293987223,61.151795580452166
AP012035,0.20430107526881722,0.16487455197132617,67.5791744356647,83.28976118847989
