Accession,F_p1,F_utr,GC,GC3
AE000657,0.28888888888888886,0.34814814814814815,43.476167301066496,47.18621732053671
AE014184,0.25336927223719674,0.31446540880503143,46.331997200483556,43.31984798362862
AE015928,0.2687022900763359,0.30373197625106024,42.83717823940185,44.58875565762742
AE016825,0.185480805777271,0.172769120317581,64.83374306473475,83.15720006089714
AE017282,0.1827637444279346,0.190523361400033,63.58457295840506,77.96001192983474
AL935263,0.3433962264150943,0.28763102725366874,44.46688649939107,45.13685216456338
AM180252,0.38980509745127434,0.39846743295019155,33.2844865496402,18.680945512211654
AM236080,0.22473867595818817,0.20441347270615565,61.09037476108047,75.9558218001485
AM260479,0.17293577981651376,0.15178389398572883,66.46591142419408,85.22432239106415
AM260525,0.23576583801122694,0.3259378062906531,38.856063299022054,30.077139499859406
AM494475,0.2721518987341772,0.37383966244725736,30.5310497961732,21.365218147233982
AM711867,0.23660714285714285,0.11337868480725624,72.66422692563216,94.7975161479547
AM743169,0.24922480620155038,0.17347114556416882,66.32404518043852,83.25334333965804
AM889285,0.18612334801762115,0.18116740088105726,66.43110337985524,80.11588632313429
AM902716,0.17462866318747491,0.169231455461885,65.48282415680934,81.62050779849977
AM942759,0.460822722820764,0.351126346718903,38.89968663300527,30.75245291987967
AM999887,0.2988165680473373,0.3413872452333991,34.19024523509989,26.635196840406515
AP006628,0.33948339483394835,0.35301353013530135,27.75984301810356,19.896437816443562
AP006840,0.1268985791278785,0.1315259404431379,68.6684043088666,89.4912651578391
AP007255,0.22693635915145535,0.20292715013977963,65.093510400737,83.14199548369172
AP008230,0.2145787314610287,0.26184215139721606,47.35989345501921,50.59483233199998
AP008955,0.22969506982046167,0.24302586998511763,47.2735528479921,49.388060253065156
AP008971,0.33084947839046197,0.3364795495943037,32.3127743623778,26.650776270876232
AP009152,0.12007874015748031,0.1020705745115194,71.16380109284755,92.56099655074152
AP009153,0.24650440186431902,0.18706484838022902,64.27436141406316,76.88042010162982
AP009178,0.3063583815028902,0.3420038535645472,39.688625407429775,36.53261266972793
AP009179,0.28639846743295017,0.32077479778629203,43.87148618201701,46.96062298295081
AP009380,0.2696994313566206,0.256160303276469,48.359283634112224,53.05509468872864
AP009384,0.17160686427457097,0.15340613624544983,67.31902211118089,85.58033965760337
AP009389,0.18252080856123662,0.25578015589906195,52.96110399537247,62.3289097746804
AP009484,0.32413087934560325,0.31708702567598274,36.87685627905118,30.775165231510314
AP009510,0.2463157894736842,0.3354385964912281,35.20740200576095,30.40007037897882
AP009552,0.2509933774834437,0.2948736816286485,42.33063114485447,39.50931745666048
AP010904,0.1857774753317455,0.18551283505349514,62.769421550751524,77.06766538646693
AP010946,0.1853932584269663,0.16604244694132334,67.76023397993896,87.04108079465419
AP010953,0.36710570753123944,0.27404405418589817,50.68482282649143,52.79602195346696
AP010968,0.06412273800157356,0.08713611329661684,74.19750348332366,95.43552890821465
AP011112,0.21132075471698114,0.30733752620545074,44.000263892354866,46.140012543177605
AP011121,0.23669064748201438,0.26618705035971224,53.03682379505382,53.06410333113375
AP011529,0.2774674115456238,0.36561142147734327,31.118260965301925,22.211041788684792
AP011615,0.28872572240644245,0.2740670561608506,43.650355346998246,41.46555477408334
AP012027,0.31700680272108844,0.34814814814814815,36.55623983118011,28.019531441606464
AP012029,0.19126984126984126,0.25599647266313935,53.84967293987223,61.151795580452166
AP012035,0.2075085324232082,0.16685627607129314,67.5791744356647,83.28976118847989
AP012044,0.21563542052612078,0.24622288090239183,53.32115202687688,62.44762599576779
AP012046,0.24322493224932248,0.3084161397169527,36.0410813510645,27.72117933022902
AP012050,0.33820459290187893,0.3189515193690559,35.71827205908107,26.499942957190925
AP012051,0.2879120879120879,0.3235653235653236,35.37487573029511,28.8596832483386
AP012052,0.12474012474012475,0.13253638253638253,70.27840545811512,89.51635710263977
AP012057,0.16520595968448729,0.15726945174797935,67.29244721885163,85.35204110605888
AP012157,0.33658329800763037,0.31081908529979746,38.60316874875766,32.68874104181474
AP012200,0.3116760828625235,0.34913161749319943,31.427530414899095,20.912233770188518
AP012204,0.18913121201287092,0.1774123068366901,67.2675393441247,83.09199829566528
AP012224,0.1628099173553719,0.1743801652892562,64.35657091688313,83.4582862067788
AP012273,0.2881219903691814,0.24210807918673088,56.27233867427217,64.736231939811
AP012292,0.27009413468501087,0.26438168798777056,50.678134821285894,58.98123748705875
AP012304,0.2015888778550149,0.1727904667328699,65.1013369765916,81.96821673440803
AP012320,0.1329608938547486,0.126691495965239,71.24314405801177,90.89008540983318
AP012331,0.21223404255319148,0.18043735224586288,64.63092877381744,85.40830215340151
AP012333,0.1828793774319066,0.21800691742325984,58.31297660267276,73.04844261105163
AP012334,0.21840354767184036,0.2666913032766691,48.63343237690101,48.528931928920855
AP012337,0.14766940853897376,0.22174348261304783,58.76714546695322,69.23173987284495
AP012338,0.11796488068437641,0.11571364250337686,73.28780179978833,93.48250813834655
AP012342,0.2591362126245847,0.27288667404946476,50.047547643363764,52.8600203553081
AP012492,0.19491525423728814,0.3169726930320151,38.343488993942316,35.024781844645304
AP012495,0.25421796625626997,0.2844150580128692,45.7271863180528,46.68717826815462
AP012547,0.22274881516587677,0.20025577371548936,63.267412603007166,79.15080752127986
AP012551,0.27609034267912774,0.22161647628937348,56.956884178640536,67.46781189223354
AP012554,0.37781954887218044,0.3911862990810359,30.56788703419589,20.772262124659903
AP012978,0.2129547471162378,0.1766735679779158,65.05711268828249,82.31346219624776
AP013066,0.26832641770401106,0.252113108959582,56.1040492634944,65.49436516151633
AP013105,0.1058574453069866,0.19399357014035915,63.459266396182954,82.24245014305617
AP014521,0.3342776203966006,0.43374252439408245,25.06962490771965,12.049407316897229
AP014565,0.331214953271028,0.2635514018691589,52.155026256764614,56.21466011794846
AP014569,0.1629162916291629,0.17211721172117211,66.09057305548266,83.276143228355
AP014583,0.3080023028209557,0.3399859272052709,32.17769270144215,21.630140096119334
AP014624,0.3332233586275157,0.32574507863191465,35.59174183823627,31.217248851243838
AP014633,0.24571428571428572,0.3026757369614512,41.21047691218616,34.72579659348268
AP014648,0.1393171806167401,0.18018844836025452,62.84232476604134,77.77875657547061
AP014685,0.2,0.19440825190010858,63.70241665075839,80.26396127928666
AP014800,0.15265788278055428,0.15179968701095461,66.82816125602547,82.54107282063603
AP014821,0.30520714557202583,0.3428354237932345,33.344810744398856,23.31407430770491
BA000012,0.17875166002656043,0.19772760808617382,62.74706437726396,78.20212561954558
BA000022,0.27616014558689717,0.30123344454554646,47.72025510218359,49.882298574919574
BA000028,0.2925851703406814,0.3084502338009352,35.681311368484145,25.853265043173003
BA000039,0.17938931297709923,0.2522264631043257,53.91792993985405,57.37820504815544
BX908798,0.2785425101214575,0.3535762483130904,34.717256203755284,27.543035134856844
CP000031,0.18215417106652587,0.17487973718174352,64.22290936690355,80.12634528985195
CP000038,0.366260162601626,0.26196928635953026,51.009758013290465,54.86777809491924
CP000061,0.3665158371040724,0.3650075414781297,26.88626305428061,19.371994276312602
CP000083,0.3273291925465838,0.33071083505866117,38.00542695387089,30.46081482872266
CP000088,0.12814428096820124,0.1482887728734905,67.50285331947377,83.77434685436344
CP000089,0.28011363636363634,0.22758838383838384,59.24722023752395,69.83350770181697
CP000103,0.20711060948081264,0.24235013794833207,53.94264822125698,60.38097430302666
CP000109,0.333926981300089,0.30790541209063027,43.12997222924752,41.76347489024347
CP000116,0.13497453310696095,0.15855498962459913,66.06722296893027,83.50812300707801
CP000140,0.28578811369509044,0.3063451047947172,45.05957647485263,51.05677539925933
CP000141,0.1936127744510978,0.3050565535595476,42.04970185549152,39.535416446941035
CP000153,0.27527216174183516,0.34508380853637466,34.46195676613094,25.425114861501307
CP000155,0.2512697139802192,0.23900323739938817,53.86974591515463,61.05746474959016
CP000157,0.22085445329471398,0.19728055354413065,63.068512035455406,77.17354765752737
CP000158,0.2179261862917399,0.20210896309314588,61.93028325615428,74.14299571325925
CP000232,0.15820029027576196,0.23004354136429608,55.79153707569736,64.43002637918988
CP000238,0.40186915887850466,0.39460020768431986,33.234770341914974,19.720723690425825
CP000245,0.13288590604026845,0.14914243102162567,69.99670531593956,91.31977921211823
CP000252,0.22261693309650682,0.2546542990592724,51.460038373226816,57.04670184084418
CP000264,0.17006802721088435,0.18513119533527697,62.332175460869756,75.41608957612769
CP000267,0.20503261882572227,0.22294708501605054,59.87933375732678,72.1806538037545
CP000282,0.30358534684333593,0.2910712739239629,45.82607600427956,44.5828860197993
CP000284,0.2619047619047619,0.24619207952541286,55.71908220615934,64.99896280610056
CP000285,0.18522372528616024,0.1715227193895248,63.91185638668967,79.91249954817198
CP000316,0.17283120376597175,0.20017933198834342,62.47230909815348,77.09299266599201
CP000319,0.18994855559952512,0.20964692432836476,61.713781836805225,75.70930010645063
CP000352,0.23285780027611597,0.18520222938078437,63.820295314082756,79.09870616890429
CP000360,0.20402084884586746,0.21374203689914784,58.38384331781577,71.79140257261432
CP000377,0.23051037577117217,0.19430423132049604,60.412916463861535,71.26991283602997
CP000383,0.368445475638051,0.32786800721835524,38.84645420098899,35.52122903381832
CP000386,0.08018433179723503,0.14162826420890937,70.47658403570273,91.23163201373471
CP000387,0.25617792421746294,0.29965220574775764,43.4002181344688,42.92532747553288
CP000388,0.2910673732021196,0.2905206493397258,44.61609348747495,43.713301961934846
CP000390,0.17522803648583773,0.19544460447004855,61.06678699297397,72.55384668026387
CP000393,0.2912928759894459,0.3322779243623571,34.143356453871355,25.13635559598903
CP000411,0.3947681331747919,0.37402563086272955,37.88888283571569,33.76575792724595
CP000414,0.3140578265204387,0.3251357039991138,37.71033695121066,30.33467860372307
CP000422,0.31106243154435925,0.30558598028477546,37.357828886583455,29.55305813629921
CP000448,0.21,0.27311111111111114,44.86592341448712,46.00755658267348
CP000449,0.23529411764705882,0.1998663101604278,62.72763433646602,75.510574803482
CP000453,0.15250544662309368,0.1383845719357702,67.53125206047478,85.30676977140472
CP000471,0.22654462242562928,0.2349351639969489,54.16747800281423,59.88428780616274
CP000473,0.16196418882257188,0.20344245493458732,61.90245684170811,75.52030470556426
CP000478,0.19244604316546762,0.18497202238209431,59.94872802991272,74.24832713519152
CP000481,0.14348591549295775,0.1426056338028169,66.907355721617,78.94598173111915
CP000482,0.1873156342182891,0.2079646017699115,59.024176646706586,73.98205392137992
CP000492,0.24335106382978725,0.27437943262411346,48.35144813079669,50.67711844794025
CP000509,0.12149080348499516,0.13590405507152845,71.65195409187281,92.81406721874863
CP000510,0.3310344827586207,0.31374521072796935,40.08627514969522,35.57629688729763
CP000513,0.3687258687258687,0.30244530244530243,44.39572461942635,40.5495198271762
CP000542,0.22772657450076805,0.17362177846048812,65.27908838713583,80.90000850352706
CP000544,0.15384615384615385,0.1427025857405604,67.98172974539025,84.64422625602133
CP000554,0.26240694789081886,0.2743314033636614,50.00758571202252,48.793791829298776
CP000555,0.15795654726952438,0.14105826319566778,69.19775134482882,88.63460991790933
CP000613,0.1628721541155867,0.1290134267367192,70.46127199295242,89.54181281369318
CP000628,0.2484791764155358,0.22347007747101336,60.33744223033959,74.44371632426507
CP000655,0.32225063938618925,0.30718954248366015,44.83410434871196,40.6625825389489
CP000679,0.17117117117117117,0.3089756423089756,35.25407580106219,30.74653621379769
CP000685,0.34459886291850916,0.3441777216256054,34.11285327951776,27.034000666860624
CP000686,0.2034510433386838,0.21767433565186375,60.38734500391099,69.01942839263505
CP000724,0.26528301886792455,0.3009643605870021,36.82202449465125,30.896708831942302
CP000733,0.2290748898678414,0.28046989720998533,42.43578946783289,40.41325594154757
CP000747,0.12141967621419676,0.14667220146672202,71.34637304176034,93.5555385658818
CP000749,0.32424960505529227,0.31749166227839215,42.59406816481398,38.17101726266472
CP000750,0.06596426935409987,0.0903445818700056,74.43503011751491,94.07252668025595
CP000758,0.28928800513149455,0.24438742783835793,56.050901587193835,64.0543638555241
CP000769,0.11450062682824906,0.10883595672563495,73.53140115839552,94.22784852281781
CP000774,0.17309875141884223,0.20021440282507252,62.32809544427542,76.73750460300515
CP000781,0.16569129480614483,0.16439079899211576,67.46469253526226,86.0886474535049
CP000792,0.23983169705469845,0.3504752999844164,39.428959063005145,38.71452976076315
CP000812,0.28992628992628994,0.31285831285831284,38.69703307479551,34.41281828389921
CP000820,0.1239395820401407,0.13042278777846747,71.15359736683484,87.63143146480357
CP000828,0.23530895334174023,0.29045817570407734,47.253850255638156,46.06813062425631
CP000830,0.14530892448512586,0.15077548944825833,66.01545182795789,83.77073528789407
CP000849,0.32301980198019803,0.3550605060506051,31.628209656110613,21.417195212950954
CP000850,0.13571190396798932,0.13641584231780965,69.51852813884236,85.4082585064443
CP000859,0.22039298990971853,0.244940107393639,56.168615578397166,68.50587537173752
CP000875,0.2371234207968902,0.25123276823957097,50.715668122094606,51.040165935922595
CP000879,0.2757731958762887,0.32030355097365404,34.12319063694373,28.420729345366375
CP000884,0.18190184049079755,0.16864349011588275,66.47625701254553,84.07911259983818
CP000910,0.2159367396593674,0.2141795079751284,56.271325568496955,60.47196550385885
CP000922,0.1928020565552699,0.3112444063600876,41.77675142074495,37.701730356453794
CP000927,0.14850498338870433,0.18516057585825027,67.46329596602476,87.70094842619467
CP000930,0.18171926006528835,0.2176278563656148,56.97519060078877,68.22634506617258
CP000934,0.3323397913561848,0.26660043053485677,51.99123885929493,56.896757627340584
CP000961,0.3289266603714196,0.30797747700486133,43.70099216514868,41.29000850485296
CP000975,0.1926605504587156,0.3019367991845056,45.482774375914076,46.05430458183938
CP000976,0.37037037037037035,0.4140946502057613,27.586044045449377,17.395862127615185
CP001013,0.1935320869125821,0.14872831396328112,68.89968087769532,89.23154843592413
CP001016,0.22875,0.23324074074074075,57.059896843113435,65.78150895109407
CP001032,0.14935064935064934,0.1679378822235965,65.3411396022395,81.9671041519464
CP001034,0.29366489046773236,0.32695217419906586,36.322296518432616,27.99392375840899
CP001037,0.2917726887192536,0.308806898501555,41.41495802568809,35.616191944563184
CP001055,0.29790209790209793,0.2986790986790987,39.9521283650997,37.74397246495816
CP001071,0.1907993966817496,0.25540472599296127,55.76235444438689,66.1332859446021
CP001080,0.2673434856175973,0.3239330701259635,32.027444977867134,22.790509467385593
CP001087,0.2658911508101371,0.2714305497853483,48.84700915518548,52.836817820193346
CP001096,0.23213708373747172,0.18967561159607715,64.85980862601781,82.90742026528429
CP001098,0.2934609250398724,0.3413078149920255,37.88319203024189,33.786409287968056
CP001099,0.22701383238405207,0.2532320766657626,55.79611479572558,69.02420994637633
CP001100,0.23320589841616604,0.3039019357970751,45.03891960299454,47.72449961856626
CP001108,0.21735668789808918,0.26105803255484783,50.09512826298299,54.21922235352343
CP001110,0.20914127423822715,0.2691597414589104,48.077586989495195,49.49516185782046
CP001130,0.34332425068119893,0.36088404480775055,34.84701003004782,29.13169402717011
CP001145,0.1751054852320675,0.25996249413970934,44.77013317313631,44.262191729947915
CP001146,0.24897119341563786,0.3404206675811614,33.74098909839709,25.25509057695437
CP001147,0.2841409691629956,0.34826235927557514,34.12890388925458,25.189125038775195
CP001154,0.2555309734513274,0.20046705998033432,62.352314953733114,74.62992883864295
CP001185,0.321880650994575,0.34900542495479203,30.810792316194576,20.67361429565975
CP001196,0.17456700091157704,0.21082750936898612,62.39947949997183,76.77031524946466
CP001221,0.2580803134182174,0.3627162912177604,35.018341481270625,29.477380176160356
CP001230,0.30718954248366015,0.35850883563301866,37.15639771142485,31.861305464824948
CP001275,0.16666666666666666,0.17507122507122508,63.647038501132805,72.9871667891634
CP001279,0.42567567567567566,0.4246746746746747,33.507531417691254,27.10517985178629
CP001280,0.13626075147125397,0.17961873145214025,63.08336217288401,76.45252457351022
CP001281,0.17059106198942817,0.14458860590528058,68.4042033605177,88.91894428937042
CP001312,0.17485380116959065,0.15412605588044184,66.56188702841807,83.3079662100825
CP001322,0.24507807196198234,0.24685072037414196,54.484597610000684,67.75526163417368
CP001349,0.17501612556439475,0.15485319763969516,68.85724725505182,86.3187841485118
CP001364,0.23515151515151514,0.23353535353535354,56.681900568424446,60.57701687395504
CP001397,0.31587218438973286,0.35777894185437403,35.31529911368425,27.75319641027493
CP001429,0.32653061224489793,0.3945578231292517,28.210940762393367,17.793243841133254
CP001472,0.1772030651340996,0.2024797786292039,60.4970106770533,73.77791604268056
CP001560,0.3308714918759232,0.21981508835275454,56.508328874835435,64.81461270368001
CP001607,0.36208299430431246,0.30123858602296355,42.230964944326395,40.50556652796647
CP001614,0.24390243902439024,0.2560523938572719,50.89065163357059,54.15317727129128
CP001616,0.40892193308550184,0.2846619854054798,49.02701933458781,49.43651106937553
CP001618,0.05892162312395775,0.10765239948119326,73.1165816375156,93.508394340234
CP001619,0.2737833594976452,0.26774812489098204,51.54499489795186,62.60272180978048
CP001628,0.11607142857142858,0.09794372294372294,72.99524968443846,94.18728425581112
CP001629,0.22011494252873562,0.22100893997445722,58.64699871178244,72.65282632279684
CP001630,0.11325301204819277,0.10835341365461848,73.70887317195238,95.64978768000415
CP001631,0.10533333333333333,0.14177777777777778,68.28933205508218,81.79973028214049
CP001632,0.2872340425531915,0.3044720252167061,39.587971334806774,37.94599582488661
CP001634,0.2689295039164491,0.2819843342036554,41.54598836032433,40.578560825197755
CP001643,0.09431818181818181,0.10069444444444445,72.04577492840924,93.44528426093845
CP001650,0.3037927149831018,0.33149747569574833,36.218453032231466,30.82374537843387
CP001673,0.25320970042796004,0.29125059438896816,42.69275481900595,45.30374804363393
CP001674,0.2849162011173184,0.2535692116697703,54.86042281266869,62.28717455029545
CP001678,0.2653664302600473,0.2978723404255319,45.23012065555781,39.00734386460533
CP001681,0.31884875846501126,0.3246175068974166,42.048886254415436,41.33641860750082
CP001682,0.17774936061381075,0.26115373685706167,50.911544290902974,49.39214993163769
CP001683,0.14653558052434457,0.15615896795672077,67.31513626217375,84.17864360783871
CP001684,0.15648632926119838,0.1892573201473725,60.211599355205216,77.75462379883919
CP001685,0.3104956268221574,0.3557661159701976,29.645686057405673,21.00358927527143
CP001686,0.09909281228192603,0.11095603628750872,71.62753355087784,91.9132132312207
CP001699,0.32115606936416186,0.30101477199743093,45.227118022356336,47.48751280015063
CP001700,0.13045966049971391,0.14921482611736284,69.7670815078113,90.08950101810333
CP001706,0.20233139050791007,0.19400499583680267,58.416683456706785,62.88361486086754
CP001707,0.32642487046632124,0.2980508265482359,43.6871005756164,41.506369295549725
