Accession,Pos1_Stop,Pos1_No_Stop,Pos1_difference,Pos2_Stop,Pos2_No_Stop,Pos2_difference,Pos3_Stop,Pos3_No_Stop,Pos3_difference,Pos4_Stop,Pos4_No_Stop,Pos4_difference,Pos5_Stop,Pos5_No_Stop,Pos5_difference
AE000511,0.0,0.05612244897959184,0.05612244897959184,0.05555555555555555,0.0918918918918919,0.036336336336336345,0.08571428571428572,0.08333333333333333,-0.0023809523809523864,0.14285714285714285,0.06493506493506493,-0.07792207792207792,0.05084745762711865,0.0625,0.011652542372881353
AE002098,0.0,0.036585365853658534,0.036585365853658534,0.0,0.0379746835443038,0.0379746835443038,0.0,0.02631578947368421,0.02631578947368421,0.0,0.02702702702702703,0.02702702702702703,0.07692307692307693,0.0,-0.07692307692307693
AE004092,0.0,0.061224489795918366,0.061224489795918366,0.041666666666666664,0.07971014492753623,0.03804347826086956,0.05714285714285714,0.08661417322834646,0.029471316085489314,0.043478260869565216,0.09482758620689655,0.05134932533733133,0.12280701754385964,0.0761904761904762,-0.046616541353383445
AE005176,0.0,0.1276595744680851,0.1276595744680851,0.32,0.11585365853658537,-0.20414634146341465,0.014492753623188406,0.06896551724137931,0.0544727636181909,0.08860759493670886,0.05185185185185185,-0.03675574308485701,0.08139534883720931,0.0703125,-0.011082848837209308
AE006468,0.125,0.03869047619047619,-0.08630952380952381,0.06896551724137931,0.05263157894736842,-0.01633393829401089,0.021739130434782608,0.032679738562091505,0.010940608127308897,0.05357142857142857,0.04054054054054054,-0.013030888030888026,0.014705882352941176,0.03873239436619718,0.024026512013256004
AE014299,0.2,0.05555555555555555,-0.14444444444444446,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.10416666666666667,0.045343137254901966,0.07407407407407407,0.06395348837209303,-0.010120585701981044,0.06153846153846154,0.055900621118012424,-0.005637840420449118
AE015928,0.0,0.08163265306122448,0.08163265306122448,0.0625,0.022222222222222223,-0.04027777777777777,0.05555555555555555,0.06818181818181818,0.012626262626262624,0.08333333333333333,0.07317073170731707,-0.01016260162601626,0.03333333333333333,0.06578947368421052,0.03245614035087719
AE016823,0.05,0.07807807807807808,0.028078078078078078,0.043478260869565216,0.09120521172638436,0.04772695085681915,0.08108108108108109,0.06093189964157706,-0.020149181439504026,0.06593406593406594,0.09541984732824428,0.029485781394178345,0.0603448275862069,0.06751054852320675,0.007165720936999846
AE017225,0.11764705882352941,0.08585858585858586,-0.031788472964943554,0.11764705882352941,0.07734806629834254,-0.04029899252518687,0.0,0.09580838323353294,0.09580838323353294,0.04938271604938271,0.06622516556291391,0.0168424495135312,0.04395604395604396,0.05673758865248227,0.012781544696438309
AE017354,0.0,0.061855670103092786,0.061855670103092786,0.07142857142857142,0.054945054945054944,-0.01648351648351648,0.05263157894736842,0.03488372093023256,-0.01774785801713586,0.09090909090909091,0.07228915662650602,-0.01861993428258489,0.0,0.09090909090909091,0.09090909090909091
AL111168,0.25,0.05128205128205128,-0.19871794871794873,0.16666666666666666,0.13513513513513514,-0.031531531531531515,0.09090909090909091,0.09375,0.0028409090909090884,0.14285714285714285,0.034482758620689655,-0.1083743842364532,0.0,0.07142857142857142,0.07142857142857142
AL123456,0.0,0.015915119363395226,0.015915119363395226,0.0,0.03234501347708895,0.03234501347708895,0.038461538461538464,0.033426183844011144,-0.00503535461752732,0.02631578947368421,0.025936599423631124,-0.0003791900500530847,0.02127659574468085,0.03550295857988166,0.014226362835200807
AL590842,0.0,0.038834951456310676,0.038834951456310676,0.10526315789473684,0.06565656565656566,-0.03960659223817117,0.0625,0.03783783783783784,-0.02466216216216216,0.02564102564102564,0.033707865168539325,0.008066839527513685,0.06666666666666667,0.06976744186046512,0.0031007751937984496
AP009552,0.15151515151515152,0.04395604395604396,-0.10755910755910755,0.0821917808219178,0.05172413793103448,-0.03046764289088332,0.06779661016949153,0.06181818181818182,-0.0059784283513097045,0.05325443786982249,0.040051679586563305,-0.013202758283259182,0.08,0.10228802153432032,0.022288021534320315
AP012205,0.09090909090909091,0.04411764705882353,-0.04679144385026738,0.05,0.06153846153846154,0.011538461538461539,0.03125,0.0546448087431694,0.023394808743169397,0.0,0.06358381502890173,0.06358381502890173,0.09433962264150944,0.05555555555555555,-0.03878406708595389
BA000017,0.07692307692307693,0.10526315789473684,0.02834008097165991,0.15384615384615385,0.11312217194570136,-0.0407239819004525,0.07792207792207792,0.11734693877551021,0.03942486085343229,0.1,0.10982658959537572,0.009826589595375718,0.1092436974789916,0.08441558441558442,-0.02482811306340718
BX897699,0.0,0.08287292817679558,0.08287292817679558,0.037037037037037035,0.05421686746987952,0.017179830432842484,0.08333333333333333,0.07006369426751592,-0.013269639065817407,0.10638297872340426,0.08904109589041095,-0.017341882832993302,0.1,0.06015037593984962,-0.039849624060150385
CP001114,0.0,0.04739336492890995,0.04739336492890995,0.0,0.004975124378109453,0.004975124378109453,0.0,0.035,0.035,0.1,0.025906735751295335,-0.07409326424870467,0.04,0.031914893617021274,-0.008085106382978727
CP001219,0.0,0.008264462809917356,0.008264462809917356,0.0,0.03333333333333333,0.03333333333333333,0.0,0.02586206896551724,0.02586206896551724,0.09090909090909091,0.02654867256637168,-0.06436041834271923,0.0,0.0,0.0
U00096,0.10526315789473684,0.040889526542324243,-0.06437363135241259,0.07894736842105263,0.0493642483171279,-0.029583120103924727,0.03669724770642202,0.04012588512981904,0.003428637423397017,0.05204460966542751,0.03442622950819672,-0.017618380157230787,0.06430868167202572,0.06451612903225806,0.00020744736023234345
