Accession,Average_length,GC,GC3
AE000511,948.8059701492538,38.873183533219375,40.89859641519995
AE002098,1455.9882352941177,51.52783889876604,59.71123614190311
AE004092,1304.037037037037,38.511784231872355,31.6688542072041
AE005176,1136.7056074766356,35.329383083874674,25.475409051731596
AE006468,1174.9261363636363,52.22170068657424,57.043899779355634
AE014299,1414.075221238938,45.960882617065316,45.78083558393288
AE015928,1784.6037735849056,42.83717823940185,44.58875565762742
AE016823,1203.254957507082,35.049524395133716,29.64888454398507
AE017225,1097.948275862069,35.3794459501406,26.209940212096104
AE017285,1115.894366197183,63.14261166363938,74.76735786710447
AE017354,1488.6494845360826,38.26951568595019,32.75505943755892
AL111168,1182.4883720930231,30.548571686178516,18.980335850738253
AL123456,1037.3454545454545,65.61466628826449,78.52914230432377
AL590842,1217.142857142857,47.63611023248458,48.09749834886232
AP009552,824.5037115588548,42.33063114485447,39.50931745666048
AP012205,1409.3023255813953,47.73037910135888,49.90495534861084
BA000017,1105.996282527881,32.87779973729638,23.01103521987631
BX897699,939.71875,38.23034861399023,28.890098869255546
CP001219,987.9435483870968,58.77245718795988,65.35039366073784
CP002077,594.8571428571429,40.00367407728878,38.223983790255
U00096,957.3429724277067,50.79070985933456,53.7633008577989
