Accession,+4T_f,TAAT_f,TGAT_f,TAGT_f,codonT_f,GC,GC3
AE000511,0.2413793103448276,0.1388888888888889,0.35,0.14285714285714285,0.34285714285714286,38.873183533219375,40.89859641519995
AE002098,0.3058823529411765,0.0,0.0,0.3333333333333333,0.21176470588235294,51.52783889876604,59.71123614190311
AE004092,0.29012345679012347,0.17647058823529413,0.23529411764705882,0.2727272727272727,0.3074074074074074,38.511784231872355,31.6688542072041
AE005176,0.3177570093457944,0.19402985074626866,0.3333333333333333,0.4375,0.32897196261682243,35.329383083874674,25.475409051731596
AE006468,0.3522727272727273,0.2972972972972973,0.2857142857142857,0.3333333333333333,0.26136363636363635,52.22170068657424,57.043899779355634
AE014299,0.3495575221238938,0.275,0.4666666666666667,0.1111111111111111,0.29646017699115046,45.960882617065316,45.78083558393288
AE015928,0.330188679245283,0.2857142857142857,0.2222222222222222,0.25,0.2509433962264151,42.83717823940185,44.58875565762742
AE016823,0.28895184135977336,0.32098765432098764,0.2903225806451613,0.2631578947368421,0.38923512747875355,35.049524395133716,29.64888454398507
AE017225,0.3620689655172414,0.2692307692307692,0.2413793103448276,0.125,0.27327586206896554,35.3794459501406,26.209940212096104
AE017285,0.15492957746478872,0.0,0.3333333333333333,0.5,0.14788732394366197,63.14261166363938,74.76735786710447
AE017354,0.3238095238095238,0.25,0.09090909090909091,0.0,0.3352380952380952,38.26951568595019,32.75505943755892
AL111168,0.3488372093023256,0.26666666666666666,0.0,0.0,0.3953488372093023,30.548571686178516,18.980335850738253
AL123456,0.16363636363636364,0.1111111111111111,0.13636363636363635,0.1111111111111111,0.1761038961038961,65.61466628826449,78.52914230432377
AL590842,0.5023041474654378,0.3333333333333333,0.36363636363636365,0.15384615384615385,0.28847926267281104,47.63611023248458,48.09749834886232
AP009552,0.2523860021208908,0.25,0.4,0.3,0.2988335100742312,42.33063114485447,39.50931745666048
AP012205,0.24186046511627907,0.3076923076923077,0.21052631578947367,0.09090909090909091,0.29674418604651165,47.73037910135888,49.90495534861084
BA000017,0.38095238095238093,0.3157894736842105,0.44680851063829785,0.2727272727272727,0.31868131868131866,32.87779973729638,23.01103521987631
BX897699,0.24870466321243523,0.35135135135135137,0.3333333333333333,0.18181818181818182,0.35854922279792745,38.23034861399023,28.890098869255546
CP001114,0.13145539906103287,0.14285714285714285,0.2,0.0,0.19718309859154928,63.38816146436573,74.68077434111375
CP001219,0.24193548387096775,0.0,0.5,0.5,0.2064516129032258,58.77245718795988,65.35039366073784
CP002077,0.24193548387096775,0.0,0.5,0.5,0.2064516129032258,40.00367407728878,38.223983790255
U00096,0.37877770315648085,0.2541436464088398,0.391304347826087,0.23728813559322035,0.2658159838817999,50.79070985933456,53.7633008577989
