Accession,TAA_fifthA,TAA_fifthT,TAA_fifthG,TAA_fifthC,TGA_fifthA,TGA_fifthT,TGA_fifthG,TGA_fifthC,TAG_fifthA,TAG_fifthT,TAG_fifthG,TAG_fifthC,GC,GC
AE000657,0.19298245614035087,0.49122807017543857,0.12280701754385964,0.19298245614035087,0.13793103448275862,0.4482758620689655,0.3448275862068966,0.06896551724137931,0.38095238095238093,0.3333333333333333,0.19047619047619047,0.09523809523809523,43.476167301066496,47.18621732053671
AE014184,0.23076923076923078,0.41025641025641024,0.1282051282051282,0.23076923076923078,0.20512820512820512,0.358974358974359,0.20512820512820512,0.23076923076923078,0.18518518518518517,0.4444444444444444,0.25925925925925924,0.1111111111111111,46.331997200483556,43.31984798362862
AE015928,0.3813559322033898,0.30677966101694915,0.1271186440677966,0.1847457627118644,0.2909090909090909,0.39090909090909093,0.16818181818181818,0.15,0.2900763358778626,0.366412213740458,0.183206106870229,0.16030534351145037,42.83717823940185,44.58875565762742
AE016825,0.12030075187969924,0.20300751879699247,0.17293233082706766,0.5037593984962406,0.09510869565217392,0.22554347826086957,0.22554347826086957,0.453804347826087,0.09090909090909091,0.3333333333333333,0.18181818181818182,0.3939393939393939,64.83374306473475,83.15720006089714
AE017282,0.21875,0.1875,0.0625,0.53125,0.09090909090909091,0.3062200956937799,0.22009569377990432,0.3827751196172249,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.6818181818181818,63.58457295840506,77.96001192983474
AL935263,0.20245398773006135,0.4437627811860941,0.1390593047034765,0.2147239263803681,0.17525773195876287,0.35051546391752575,0.29896907216494845,0.17525773195876287,0.22797927461139897,0.40414507772020725,0.17616580310880828,0.19170984455958548,44.46688649939107,45.13685216456338
AM180252,0.5021834061135371,0.29694323144104806,0.11353711790393013,0.08733624454148471,0.5,0.35,0.05,0.1,0.38372093023255816,0.4186046511627907,0.13953488372093023,0.05813953488372093,33.2844865496402,18.680945512211654
AM236080,0.11258278145695365,0.271523178807947,0.2185430463576159,0.3973509933774834,0.10655737704918032,0.2069672131147541,0.22950819672131148,0.4569672131147541,0.18055555555555555,0.2222222222222222,0.2361111111111111,0.3611111111111111,61.09037476108047,75.9558218001485
AM260479,0.06666666666666667,0.26666666666666666,0.24,0.4266666666666667,0.08771929824561403,0.17894736842105263,0.26666666666666666,0.4666666666666667,0.12,0.18,0.44,0.26,66.46591142419408,85.22432239106415
AM260525,0.22477064220183487,0.40825688073394495,0.17889908256880735,0.18807339449541285,0.29906542056074764,0.3177570093457944,0.205607476635514,0.17757009345794392,0.23529411764705882,0.4411764705882353,0.17647058823529413,0.14705882352941177,38.856063299022054,30.077139499859406
AM494475,0.42857142857142855,0.26373626373626374,0.09340659340659341,0.21428571428571427,0.31666666666666665,0.5,0.13333333333333333,0.05,0.38181818181818183,0.45454545454545453,0.12727272727272726,0.03636363636363636,30.5310497961732,21.365218147233982
AM711867,0.0,0.16666666666666666,0.5,0.3333333333333333,0.018018018018018018,0.015015015015015015,0.1021021021021021,0.8648648648648649,0.11904761904761904,0.047619047619047616,0.07142857142857142,0.7619047619047619,72.66422692563216,94.7975161479547
AM743169,0.07317073170731707,0.15853658536585366,0.2926829268292683,0.47560975609756095,0.05961538461538462,0.15576923076923077,0.23461538461538461,0.55,0.013333333333333334,0.16,0.6133333333333333,0.21333333333333335,66.32404518043852,83.25334333965804
AM889285,0.10909090909090909,0.12727272727272726,0.34545454545454546,0.41818181818181815,0.09154929577464789,0.12323943661971831,0.2676056338028169,0.5176056338028169,0.16666666666666666,0.19444444444444445,0.2222222222222222,0.4166666666666667,66.43110337985524,80.11588632313429
AM902716,0.16216216216216217,0.12612612612612611,0.1981981981981982,0.5135135135135135,0.11254019292604502,0.2057877813504823,0.2604501607717042,0.4212218649517685,0.09259259259259259,0.2222222222222222,0.3333333333333333,0.35185185185185186,65.48282415680934,81.62050779849977
AM942759,0.28437132784958874,0.39247943595769685,0.09400705052878966,0.2291421856639248,0.3132530120481928,0.3253012048192771,0.12650602409638553,0.23493975903614459,0.14473684210526316,0.5460526315789473,0.14473684210526316,0.16447368421052633,38.89968663300527,30.75245291987967
AM999887,0.20270270270270271,0.25675675675675674,0.13513513513513514,0.40540540540540543,0.41935483870967744,0.20967741935483872,0.25806451612903225,0.11290322580645161,0.48148148148148145,0.37037037037037035,0.09259259259259259,0.05555555555555555,34.19024523509989,26.635196840406515
AP006628,0.2159090909090909,0.5795454545454546,0.06818181818181818,0.13636363636363635,0.4,0.44,0.08,0.08,0.3333333333333333,0.5416666666666666,0.08333333333333333,0.041666666666666664,27.75984301810356,19.896437816443562
AP006840,0.11627906976744186,0.09302325581395349,0.3488372093023256,0.4418604651162791,0.07784431137724551,0.09580838323353294,0.2994011976047904,0.5269461077844312,0.1,0.2,0.3,0.4,68.6684043088666,89.4912651578391
AP007255,0.211864406779661,0.17796610169491525,0.17796610169491525,0.4322033898305085,0.07936507936507936,0.22857142857142856,0.26031746031746034,0.43174603174603177,0.03225806451612903,0.27419354838709675,0.25806451612903225,0.43548387096774194,65.093510400737,83.14199548369172
AP008230,0.22121896162528218,0.3363431151241535,0.19187358916478556,0.2505643340857788,0.26294820717131473,0.29880478087649404,0.2350597609561753,0.20318725099601595,0.32748538011695905,0.27485380116959063,0.21052631578947367,0.1871345029239766,47.35989345501921,50.59483233199998
AP008955,0.23429541595925296,0.2699490662139219,0.1867572156196944,0.3089983022071307,0.22072072072072071,0.3108108108108108,0.21171171171171171,0.25675675675675674,0.2153846153846154,0.37435897435897436,0.1794871794871795,0.23076923076923078,47.2735528479921,49.388060253065156
AP008971,0.36363636363636365,0.4380165289256198,0.08677685950413223,0.1115702479338843,0.35,0.55,0.1,0.0,0.20833333333333334,0.5833333333333334,0.16666666666666666,0.041666666666666664,32.3127743623778,26.650776270876232
AP009152,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.013513513513513514,0.12162162162162163,0.08783783783783784,0.777027027027027,0.08,0.12,0.32,0.48,71.16380109284755,92.56099655074152
AP009153,0.17142857142857143,0.17142857142857143,0.11428571428571428,0.5428571428571428,0.07909604519774012,0.16101694915254236,0.2627118644067797,0.4971751412429379,0.05172413793103448,0.21551724137931033,0.20689655172413793,0.5258620689655172,64.27436141406316,76.88042010162982
AP009178,0.32,0.36,0.13333333333333333,0.18666666666666668,0.35714285714285715,0.2857142857142857,0.2619047619047619,0.09523809523809523,0.2,0.4666666666666667,0.26666666666666666,0.06666666666666667,39.688625407429775,36.53261266972793
AP009179,0.3388888888888889,0.3111111111111111,0.16111111111111112,0.18888888888888888,0.25471698113207547,0.29245283018867924,0.1792452830188679,0.27358490566037735,0.29411764705882354,0.29411764705882354,0.17647058823529413,0.23529411764705882,43.87148618201701,46.96062298295081
AP009380,0.2215568862275449,0.32335329341317365,0.10778443113772455,0.3473053892215569,0.18705035971223022,0.2733812949640288,0.12949640287769784,0.41007194244604317,0.18032786885245902,0.21311475409836064,0.18032786885245902,0.4262295081967213,48.359283634112224,53.05509468872864
AP009384,0.12903225806451613,0.22580645161290322,0.25806451612903225,0.3870967741935484,0.058394160583941604,0.1070559610705596,0.15815085158150852,0.6763990267639902,0.0,0.19047619047619047,0.19047619047619047,0.6190476190476191,67.31902211118089,85.58033965760337
