Accession,+4T_f,TAAT_f,TGAT_f,TAGT_f,codonT_f,GC,GC3
AE000657,0.2761904761904762,0.2777777777777778,0.1,0.25,0.37523809523809526,43.476167301066496,47.18621732053671
AE014184,0.33620689655172414,0.125,0.5,0.2,0.3120689655172414,46.331997200483556,43.31984798362862
AE015928,0.39783001808318263,0.1875,0.33766233766233766,0.2708333333333333,0.3135623869801085,42.83717823940185,44.58875565762742
AE016825,0.23173803526448364,0.2631578947368421,0.20192307692307693,0.15,0.17506297229219145,64.83374306473475,83.15720006089714
AE017282,0.21153846153846154,0.3333333333333333,0.13725490196078433,0.23076923076923078,0.1854251012145749,63.58457295840506,77.96001192983474
AL935263,0.3716475095785441,0.25,0.3404255319148936,0.4666666666666667,0.31724137931034485,44.46688649939107,45.13685216456338
AM180252,0.5714285714285714,0.4117647058823529,0.8,0.3333333333333333,0.42857142857142855,33.2844865496402,18.680945512211654
AM236080,0.28289855072463765,0.18604651162790697,0.24285714285714285,0.10810810810810811,0.20405797101449274,61.09037476108047,75.9558218001485
AM260479,0.203136136849608,0.16666666666666666,0.21621621621621623,0.1,0.14611546685673557,66.46591142419408,85.22432239106415
AM260525,0.3821428571428571,0.26785714285714285,0.3225806451612903,0.25,0.35928571428571426,38.856063299022054,30.077139499859406
AM494475,0.40816326530612246,0.1282051282051282,0.5,0.18181818181818182,0.42857142857142855,30.5310497961732,21.365218147233982
AM711867,0.2908296943231441,0.3333333333333333,0.28125,0.0,0.0993886462882096,72.66422692563216,94.7975161479547
AM743169,0.2956225127913587,0.25,0.38095238095238093,0.3770491803278688,0.16588971006253553,66.32404518043852,83.25334333965804
AM889285,0.2370617696160267,0.05263157894736842,0.21875,0.23076923076923078,0.1709515859766277,66.43110337985524,80.11588632313429
AM902716,0.2319164802386279,0.47619047619047616,0.25862068965517243,0.19230769230769232,0.16062639821029082,65.48282415680934,81.62050779849977
AM942759,0.6014492753623188,0.39705882352941174,0.34615384615384615,0.21621621621621623,0.3442028985507246,38.89968663300527,30.75245291987967
AM999887,0.4460431654676259,0.1111111111111111,0.23529411764705882,0.14285714285714285,0.339568345323741,34.19024523509989,26.635196840406515
AP006628,0.38461538461538464,0.25,0.14285714285714285,0.5,0.40307692307692305,27.75984301810356,19.896437816443562
AP006840,0.16073147256977863,0.2857142857142857,0.28888888888888886,0.075,0.13185755534167468,68.6684043088666,89.4912651578391
AP007255,0.2954971857410882,0.15789473684210525,0.25842696629213485,0.25,0.20675422138836774,65.093510400737,83.14199548369172
AP008230,0.3075980392156863,0.2553191489361702,0.2608695652173913,0.21153846153846154,0.2725490196078431,47.35989345501921,50.59483233199998
AP008955,0.3378995433789954,0.203125,0.18292682926829268,0.24390243902439024,0.25996955859969556,47.2735528479921,49.388060253065156
AP008971,0.6060606060606061,0.4,0.5,0.0,0.3151515151515151,32.3127743623778,26.650776270876232
AP009152,0.6060606060606061,0.4,0.5,0.0,0.3151515151515151,71.16380109284755,92.56099655074152
AP009153,0.28945216680294356,0.09090909090909091,0.358695652173913,0.13793103448275862,0.18528209321340966,64.27436141406316,76.88042010162982
AP009178,0.4666666666666667,0.26666666666666666,0.3,0.2222222222222222,0.3511111111111111,39.688625407429775,36.53261266972793
AP009179,0.527363184079602,0.2,0.16666666666666666,0.23076923076923078,0.309452736318408,43.87148618201701,46.96062298295081
AP009380,0.36772486772486773,0.2903225806451613,0.3157894736842105,0.25,0.2634920634920635,48.359283634112224,53.05509468872864
AP009384,0.19693339722089123,0.13333333333333333,0.19047619047619047,0.047619047619047616,0.14595112601820795,67.31902211118089,85.58033965760337
AP009389,0.20192307692307693,0.12,0.2,0.0,0.26009615384615387,52.96110399537247,62.3289097746804
AP009484,0.4166666666666667,0.4375,0.06666666666666667,0.0,0.3458333333333333,36.87685627905118,30.775165231510314
AP009510,0.39344262295081966,0.23529411764705882,0.2857142857142857,0.4,0.3721311475409836,35.20740200576095,30.40007037897882
AP009552,0.2802303262955854,0.3181818181818182,0.3918918918918919,0.25301204819277107,0.3111324376199616,42.33063114485447,39.50931745666048
AP010904,0.23684210526315788,0.28125,0.125,0.3157894736842105,0.2014736842105263,62.769421550751524,77.06766538646693
AP010946,0.2370255615801704,0.1875,0.22058823529411764,0.0625,0.15553834237025563,67.76023397993896,87.04108079465419
AP010953,0.45730994152046783,0.2191780821917808,0.3108108108108108,0.1388888888888889,0.27976608187134505,50.68482282649143,52.79602195346696
AP010968,0.06454720616570328,0.1111111111111111,0.19047619047619047,0.15,0.08468208092485549,74.19750348332366,95.43552890821465
AP011112,0.32,0.2413793103448276,0.0,0.25,0.362,44.000263892354866,46.140012543177605
AP011121,0.3739495798319328,0.13333333333333333,0.2222222222222222,0.05,0.2773109243697479,53.03682379505382,53.06410333113375
AP011529,0.45588235294117646,0.5,0.2727272727272727,0.5,0.39705882352941174,31.118260965301925,22.211041788684792
AP011615,0.2950276243093923,0.45,0.5512820512820513,0.14925373134328357,0.2914917127071823,43.650355346998246,41.46555477408334
AP012027,0.4666666666666667,0.125,0.3,0.3333333333333333,0.34933333333333333,36.55623983118011,28.019531441606464
AP012029,0.21067415730337077,0.45714285714285713,0.2608695652173913,0.23076923076923078,0.29606741573033707,53.84967293987223,61.151795580452166
AP012035,0.2350230414746544,0.2222222222222222,0.3137254901960784,0.0,0.14764976958525344,67.5791744356647,83.28976118847989
AP012044,0.27495908346972175,0.16379310344827586,0.15853658536585366,0.15555555555555556,0.24779050736497546,53.32115202687688,62.44762599576779
AP012046,0.35545023696682465,0.375,0.3,0.26666666666666666,0.35639810426540286,36.0410813510645,27.72117933022902
