Accession,+4T_f,TAAT_f,TGAT_f,TAGT_f,codonT_f,GC,GC3
AE000511,0.3525641025641026,0.16216216216216217,0.375,0.16666666666666666,0.3384615384615385,38.873183533219375,40.89859641519995
AE002098,0.35443037974683544,0.0,0.2222222222222222,0.0,0.23291139240506328,51.52783889876604,59.71123614190311
AE004092,0.4205128205128205,0.1590909090909091,0.375,0.35,0.25743589743589745,38.511784231872355,31.6688542072041
AE005176,0.5394736842105263,0.13580246913580246,0.3157894736842105,0.1,0.2894736842105263,35.329383083874674,25.475409051731596
AE006468,0.477124183006536,0.2553191489361702,0.3611111111111111,0.3333333333333333,0.26971677559912854,52.22170068657424,57.043899779355634
AE014299,0.5550847457627118,0.14285714285714285,0.4375,0.2777777777777778,0.2864406779661017,45.960882617065316,45.78083558393288
AE015928,0.5,0.17647058823529413,0.1875,0.1111111111111111,0.28923076923076924,42.83717823940185,44.58875565762742
AE016823,0.34035087719298246,0.22916666666666666,0.2,0.22727272727272727,0.3824561403508772,35.049524395133716,29.64888454398507
AE017225,0.6388888888888888,0.2328767123287671,0.13333333333333333,0.12903225806451613,0.24682539682539684,35.3794459501406,26.209940212096104
AE017285,0.24242424242424243,0.0,0.0,0.2,0.16363636363636364,63.14261166363938,74.76735786710447
AE017354,0.3883495145631068,0.28,0.5,0.0,0.32038834951456313,38.26951568595019,32.75505943755892
AL111168,0.5370370370370371,0.36363636363636365,0.5,0.25,0.3814814814814815,30.548571686178516,18.980335850738253
AL123456,0.19548872180451127,0.5,0.125,0.0,0.14636591478696742,65.61466628826449,78.52914230432377
AL590842,0.5311203319502075,0.18421052631578946,0.5,0.18181818181818182,0.31784232365145226,47.63611023248458,48.09749834886232
AP009552,0.33158995815899583,0.32727272727272727,0.40540540540540543,0.24675324675324675,0.30627615062761504,42.33063114485447,39.50931745666048
AP012205,0.3643410852713178,0.30303030303030304,0.3333333333333333,0.5,0.31550387596899226,47.73037910135888,49.90495534861084
BA000017,0.5785953177257525,0.29,0.2,0.2608695652173913,0.33177257525083614,32.87779973729638,23.01103521987631
BX897699,0.35377358490566035,0.20588235294117646,0.375,0.25,0.3594339622641509,38.23034861399023,28.890098869255546
CP001114,0.12549019607843137,0.125,0.14285714285714285,0.0,0.20784313725490197,63.38816146436573,74.68077434111375
CP001219,0.2777777777777778,0.0,0.5,0.0,0.23333333333333334,58.77245718795988,65.35039366073784
CP002077,0.2777777777777778,0.0,0.5,0.0,0.23333333333333334,40.00367407728878,38.223983790255
U00096,0.5450516986706057,0.23943661971830985,0.3684210526315789,0.26666666666666666,0.2549483013293944,50.79070985933456,53.7633008577989
