Accession,P1_observed,P1_Total_UTRs,P1_Expected_freq,P1_Observed_freq,P1_Standard_Deviation,P1_Zscore,P1__BinomPval,P2_observed,P2_Total_UTRs,P2_Expected_freq,P2_Observed_freq,P2_Standard_Deviation,P2_Zscore,P2__BinomPval,P3_observed,P3_Total_UTRs,P3_Expected_freq,P3_Observed_freq,P3_Standard_Deviation,P3_Zscore,P3__BinomPval,P4_observed,P4_Total_UTRs,P4_Expected_freq,P4_Observed_freq,P4_Standard_Deviation,P4_Zscore,P4__BinomPval,P5_observed,P5_Total_UTRs,P5_Expected_freq,P5_Observed_freq,P5_Standard_Deviation,P5_Zscore,P5__BinomPval,P6_observed,P6_Total_UTRs,P6_Expected_freq,P6_Observed_freq,P6_Standard_Deviation,P6_Zscore,P6__BinomPval,Genomic_GC,Genomic_GC3
AL590842,13,128,0.2031,0.1015625,40.23063385033848,-0.32305730126821386,0.0028828407739071677,6,128,0.0651,0.046875,24.6702229418382,-0.09455934003919389,0.588099106236344,14,128,0.0673,0.109375,25.054083499501633,0.2149589706646874,0.07398341367007953,5,128,0.0682,0.0390625,25.208879388025164,-0.14794786958168601,0.22204893793068198,10,128,0.0654,0.078125,24.723033794419326,0.06588188219714626,0.5888231562986517,11,128,0.0656,0.0859375,24.758158251372414,0.10514513937464216,0.36791911779975844,47.63611023248458,48.09749834886232
AL111168,3,29,0.2284,0.10344827586206896,41.9801667457384,-0.08631695109614704,0.12459631949969463,6,29,0.0838,0.20689655172413793,27.70876395655353,0.12883288498892748,0.03067306887027376,0,29,0.0821,0.0,27.451701222328644,-0.0867305082740528,0.16814037222376124,1,29,0.0793,0.034482758620689655,27.020642109320793,-0.048100263300244354,0.7256769673313492,0,29,0.0788,0.0,26.942635357366214,-0.08481724113803951,0.1663201062018616,1,29,0.0816,0.034482758620689655,27.375434243131195,-0.04991336348729684,0.728501785668312,30.548571686178516,18.980335850738253
AE004092,16,82,0.3015,0.1951219512195122,45.89093047651137,-0.19008113170563723,0.04011533577947336,4,82,0.0879,0.04878048780487805,28.314941285476827,-0.11329001065756512,0.32489842405991504,9,82,0.0812,0.10975609756097561,27.31420143441869,0.08572829799260925,0.3122806259879188,7,82,0.086,0.08536585365853659,28.036404905051572,-0.0018547313814343683,1.0,7,82,0.0914,0.08536585365853659,28.8177098326706,-0.017169997299335896,0.9999999999999976,7,82,0.0893,0.08536585365853659,28.517627881715548,-0.01131230133649509,0.9999999999999976,38.511784231872355,31.6688542072041
AE006468,21,219,0.211,0.0958904109589041,40.80183819388533,-0.6178398110450298,9.2269176026869e-06,4,219,0.0555,0.0182648401826484,22.895359791887962,-0.35616387224843765,0.011295634642384039,8,219,0.0527,0.0365296803652968,22.343390521583782,-0.15849429819431807,0.36275857707493964,9,219,0.0566,0.0410958904109589,23.10766972241035,-0.14693822617289107,0.381281628321272,8,219,0.0577,0.0365296803652968,23.317527742022737,-0.19883325759464981,0.2433412416670478,13,219,0.0536,0.0593607305936073,22.522664140816023,0.05601468778792038,0.6522468548790976,52.22170068657424,57.043899779355634
AE005176,34,123,0.2825,0.2764227642276423,45.02152263084846,-0.01660317013551676,0.9205888037017007,8,123,0.0916,0.06504065040650407,28.846046522877273,-0.11324948801594563,0.43198309660808293,19,123,0.0919,0.15447154471544716,28.888473479919288,0.2664142155295879,0.026866546831081327,16,123,0.0921,0.13008130081300814,28.916706243969074,0.16155712758517712,0.15792894808283292,9,123,0.091,0.07317073170731707,28.76091097305508,-0.07624932332826771,0.6370502737095709,5,123,0.0904,0.04065040650406504,28.67539712017952,-0.21339547537403694,0.05758509757651726,35.329383083874674,25.475409051731596
AL123456,7,78,0.1949,0.08974358974358974,39.61237054254643,-0.2070615791900227,0.015073851251154275,2,78,0.0308,0.02564102564102564,17.27754612206259,-0.02329034442490388,0.9999999999999976,1,78,0.0328,0.01282051282051282,17.81127732645809,-0.08749512858828189,0.5237373758767732,1,78,0.0345,0.01282051282051282,18.250958878919214,-0.09265266615406116,0.5275953398465761,1,78,0.033,0.01282051282051282,17.863650242881494,-0.08811189082854022,0.5240465327892793,1,78,0.0314,0.01282051282051282,17.439621555526944,-0.08309813348792085,0.5227296276652397,65.61466628826449,78.52914230432377
BA000017,26,173,0.2791,0.15028901734104047,44.855678570276915,-0.49679997517118,8.560398634626805e-05,12,173,0.0951,0.06936416184971098,29.33530125974506,-0.15177277235293318,0.299334745370319,11,173,0.0998,0.06358381502890173,29.973314798333533,-0.2090326025718165,0.1272620249284761,17,173,0.0991,0.09826589595375723,29.87962349160377,-0.004829378122537127,1.0,18,173,0.0946,0.10404624277456648,29.266164764109423,0.05583922639580373,0.605084647418904,16,173,0.0927,0.09248554913294797,29.001156873476617,-0.0012792593123735914,1.0,32.87779973729638,23.01103521987631
AE017225,56,161,0.3123,0.34782608695652173,46.34314512417128,0.12342062638767176,0.34961386132557326,14,161,0.091,0.08695652173913043,28.76091097305508,-0.022634888046831864,1.0,14,161,0.095,0.08695652173913043,29.3214938227915,-0.044165553359133455,0.8927759232197907,9,161,0.0889,0.055900621118012424,28.459934996412063,-0.18667997662924377,0.16539137735448828,15,161,0.0888,0.09316770186335403,28.44548470320026,0.02472097091461709,0.7821646724114448,9,161,0.0904,0.055900621118012424,28.67539712017952,-0.19369914832291,0.16692656265344663,35.3794459501406,26.209940212096104
CP001114,1,32,0.2051,0.03125,40.37746772644367,-0.13777981416988655,0.01352118742381547,1,32,0.0414,0.03125,19.921355375576233,-0.016304111536417237,1.0,1,32,0.0356,0.03125,18.52906905378681,-0.007512519900267278,1.0,2,32,0.0387,0.0625,19.287900352293402,0.03948589458102644,0.35287129198367434,2,32,0.035,0.0625,18.37797594948911,0.04788340143760299,0.30904021259233777,1,32,0.0389,0.03125,19.33566393998406,-0.012660542754561431,0.9999999999999989,63.38816146436573,74.68077434111375
CP002077,0,7,0.2901,0.0,45.380831856633044,-0.044747967741432776,0.20442616954396534,0,7,0.0867,0.0,28.139493598854973,-0.021567552303951035,1.0,1,7,0.0838,0.14285714285714285,27.70876395655353,0.01491946738036378,0.4580839520964006,0,7,0.0854,0.0,27.947600970387423,-0.021390029170425536,1.0,1,7,0.0912,0.14285714285714285,28.789331357292756,0.01256020834636027,0.48799025304725485,0,7,0.0872,0.0,28.212791425167417,-0.02163557624629403,1.0,40.00367407728878,38.223983790255
