Accession,TAA%,TGA%,TAG%,GC,GC3
AE000511,55.12820512820513,25.0,19.871794871794872,38.873183533219375,40.89859641519995
AE002098,72.15189873417721,24.050632911392405,3.79746835443038,51.52783889876604,59.71123614190311
AE004092,82.56410256410255,2.564102564102564,14.871794871794872,38.511784231872355,31.6688542072041
AE005176,92.98245614035088,2.631578947368421,4.385964912280701,35.329383083874674,25.475409051731596
AE006468,78.21350762527233,16.775599128540307,5.010893246187364,52.22170068657424,57.043899779355634
AE014299,86.86440677966102,5.932203389830509,7.203389830508475,45.960882617065316,45.78083558393288
AE015928,86.15384615384616,8.461538461538462,5.384615384615385,42.83717823940185,44.58875565762742
AE016823,70.87719298245614,21.403508771929825,7.719298245614035,35.049524395133716,29.64888454398507
AE017225,86.90476190476191,3.571428571428571,9.523809523809524,35.3794459501406,26.209940212096104
AE017285,18.181818181818183,13.333333333333334,68.48484848484848,63.14261166363938,74.76735786710447
AE017354,80.58252427184466,7.766990291262135,11.650485436893204,38.26951568595019,32.75505943755892
AL111168,87.03703703703704,9.25925925925926,3.7037037037037033,30.548571686178516,18.980335850738253
AL123456,17.293233082706767,40.6015037593985,42.10526315789473,65.61466628826449,78.52914230432377
AL590842,77.17842323651453,16.59751037344398,6.224066390041494,47.63611023248458,48.09749834886232
AP009552,60.25104602510461,14.225941422594143,25.523012552301257,42.33063114485447,39.50931745666048
AP012205,55.03875968992248,3.875968992248062,41.08527131782946,47.73037910135888,49.90495534861084
BA000017,90.3010033444816,0.0,9.698996655518394,32.87779973729638,23.01103521987631
BX897699,69.33962264150944,16.037735849056602,14.622641509433961,38.23034861399023,28.890098869255546
CP001114,50.588235294117645,45.88235294117647,3.5294117647058822,63.38816146436573,74.68077434111375
CP001219,35.714285714285715,50.0,14.285714285714285,58.77245718795988,65.35039366073784
CP002077,81.81818181818183,0.0,18.181818181818183,40.00367407728878,38.223983790255
U00096,81.24076809453472,16.100443131462335,2.658788774002954,50.79070985933456,53.7633008577989
