Accession,F_4T_genes,F_Tstart_codons,GC,GC3
AE000657,0.32326283987915405,0.3531386371265525,43.476167301066496,47.18621732053671
AE014184,0.27486910994764396,0.31762652705061084,46.331997200483556,43.31984798362862
AE015928,0.32936646832341615,0.30964881577412207,42.83717823940185,44.58875565762742
AE016825,0.19947702652222637,0.1751961150541651,64.83374306473475,83.15720006089714
AE017282,0.1929567131327953,0.19157088122605365,63.58457295840506,77.96001192983474
AL935263,0.3900851276915373,0.29321760418405385,44.46688649939107,45.13685216456338
AM180252,0.4658792650918635,0.40390784485272674,33.2844865496402,18.680945512211654
AM236080,0.24216621253405995,0.20655464729034212,61.09037476108047,75.9558218001485
AM260479,0.1852688657930411,0.15288447055279408,66.46591142419408,85.22432239106415
AM260525,0.2736280487804878,0.32977642276422764,38.856063299022054,30.077139499859406
AM494475,0.34059633027522934,0.3785677879714577,30.5310497961732,21.365218147233982
AM711867,0.2414448669201521,0.11385720321081538,72.66422692563216,94.7975161479547
AM743169,0.2589900535577659,0.17538043016237354,66.32404518043852,83.25334333965804
AM889285,0.2023745277927685,0.1830065359477124,66.43110337985524,80.11588632313429
AM902716,0.18799368088467613,0.171274354923644,65.48282415680934,81.62050779849977
AM942759,0.5149779735682819,0.3574155653450808,38.89968663300527,30.75245291987967
AM999887,0.35772357723577236,0.34417344173441733,34.19024523509989,26.635196840406515
AP006628,0.38593481989708406,0.35696588526777207,27.75984301810356,19.896437816443562
AP006840,0.13579049466537343,0.13304235370190753,68.6684043088666,89.4912651578391
AP007255,0.24005819592628516,0.2045479038689514,65.093510400737,83.14199548369172
AP008230,0.2579010137149672,0.2665805340223945,47.35989345501921,50.59483233199998
AP008955,0.2712321380425991,0.24621790839100086,47.2735528479921,49.388060253065156
AP008971,0.40843214756258234,0.3422632118284292,32.3127743623778,26.650776270876232
AP009152,0.12238219895287958,0.10274869109947644,71.16380109284755,92.56099655074152
AP009153,0.2576530612244898,0.18888888888888888,64.27436141406316,76.88042010162982
AP009178,0.3548387096774194,0.34707287933094383,39.688625407429775,36.53261266972793
AP009179,0.3221110100090992,0.3221110100090992,43.87148618201701,46.96062298295081
AP009380,0.28988941548183256,0.2582060733719502,48.359283634112224,53.05509468872864
AP009384,0.17897178198685737,0.15453335051325,67.31902211118089,85.58033965760337
AP009389,0.21067738231917335,0.25908916953693073,52.96110399537247,62.3289097746804
AP009484,0.39302112029384756,0.32200795837159474,36.87685627905118,30.775165231510314
AP009510,0.30078125,0.3430989583333333,35.20740200576095,30.40007037897882
AP009552,0.28160067753546475,0.29926835580022115,42.33063114485447,39.50931745666048
AP010904,0.2010016694490818,0.1871637915043591,62.769421550751524,77.06766538646693
AP010946,0.1948917268184342,0.16731445493244493,67.76023397993896,87.04108079465419
AP010953,0.40994962216624686,0.2780576546319619,50.68482282649143,52.79602195346696
AP010968,0.0663265306122449,0.0876068376068376,74.19750348332366,95.43552890821465
AP011112,0.25622775800711745,0.3084223013048636,44.000263892354866,46.140012543177605
AP011121,0.2657439446366782,0.27043444828911956,53.03682379505382,53.06410333113375
AP011529,0.3390119250425894,0.37156918417565776,31.118260965301925,22.211041788684792
AP011615,0.32622840475656273,0.27923615785406225,43.650355346998246,41.46555477408334
AP012027,0.3763975155279503,0.3461697722567288,36.55623983118011,28.019531441606464
AP012029,0.20946470131885184,0.25773640203430737,53.84967293987223,61.151795580452166
AP012035,0.2165991902834008,0.16861598440545808,67.5791744356647,83.28976118847989
AP012044,0.2433881343817012,0.24819315384004448,53.32115202687688,62.44762599576779
AP012046,0.31430325352977284,0.3133483391310279,36.0410813510645,27.72117933022902
AP012050,0.4071072319201995,0.3262676641729011,35.71827205908107,26.499942957190925
AP012051,0.32919254658385094,0.32988267770876467,35.37487573029511,28.8596832483386
AP012052,0.13061435209086217,0.13319566339700567,70.27840545811512,89.51635710263977
AP012057,0.16957279860505667,0.15809357744841615,67.29244721885163,85.35204110605888
AP012157,0.4051691372101862,0.3169475062291482,38.60316874875766,32.68874104181474
AP012200,0.3736075407026564,0.3562791583357136,31.427530414899095,20.912233770188518
AP012204,0.19716814159292034,0.17817109144542773,67.2675393441247,83.09199829566528
AP012224,0.17742590336987413,0.17593720395182028,64.35657091688313,83.4582862067788
AP012273,0.309727626459144,0.2441850410722006,56.27233867427217,64.736231939811
AP012292,0.3193787981093856,0.2702378272938705,50.678134821285894,58.98123748705875
AP012304,0.2144601856375183,0.17527004288118114,65.1013369765916,81.96821673440803
AP012320,0.13777777777777778,0.1271604938271605,71.24314405801177,90.89008540983318
AP012331,0.2294484911550468,0.182680078621806,64.63092877381744,85.40830215340151
AP012333,0.20829406220546653,0.22138443816106398,58.31297660267276,73.04844261105163
AP012334,0.2555438225976769,0.26985803120966795,48.63343237690101,48.528931928920855
AP012337,0.17136329017517135,0.2240839468562241,58.76714546695322,69.23173987284495
AP012338,0.11875843454790823,0.11580946668665967,73.28780179978833,93.48250813834655
AP012342,0.28810853950518756,0.27711270728030507,50.047547643363764,52.8600203553081
AP012492,0.22606924643584522,0.31952930527268614,38.343488993942316,35.024781844645304
