Accession,TAA_fifthA,TAA_fifthT,TAA_fifthG,TAA_fifthC,TGA_fifthA,TGA_fifthT,TGA_fifthG,TGA_fifthC,TAG_fifthA,TAG_fifthT,TAG_fifthG,TAG_fifthC,GC,GC
AE000511,0.3076923076923077,0.34615384615384615,0.19230769230769232,0.15384615384615385,0.1111111111111111,0.6111111111111112,0.2777777777777778,0.0,0.0,1.0,0.0,0.0,38.873183533219375,40.89859641519995
AE004092,0.25,0.21428571428571427,0.25,0.2857142857142857,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857,38.511784231872355,31.6688542072041
AE005176,0.49019607843137253,0.27450980392156865,0.11764705882352941,0.11764705882352941,0.2727272727272727,0.7272727272727273,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,35.329383083874674,25.475409051731596
AE006468,0.2631578947368421,0.3026315789473684,0.14473684210526316,0.2894736842105263,0.24324324324324326,0.32432432432432434,0.1891891891891892,0.24324324324324326,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.45454545454545453,52.22170068657424,57.043899779355634
AE014299,0.17543859649122806,0.2982456140350877,0.12280701754385964,0.40350877192982454,0.5555555555555556,0.2222222222222222,0.0,0.2222222222222222,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.38461538461538464,45.960882617065316,45.78083558393288
AE015928,0.45454545454545453,0.3181818181818182,0.045454545454545456,0.18181818181818182,0.375,0.375,0.0,0.25,0.4,0.0,0.2,0.4,42.83717823940185,44.58875565762742
AE016823,0.37735849056603776,0.4528301886792453,0.03773584905660377,0.1320754716981132,0.16666666666666666,0.47619047619047616,0.14285714285714285,0.21428571428571427,0.0,0.7142857142857143,0.0,0.2857142857142857,35.049524395133716,29.64888454398507
AE017225,0.48484848484848486,0.25757575757575757,0.16666666666666666,0.09090909090909091,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.09090909090909091,35.3794459501406,26.209940212096104
AE017285,0.0,0.0,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.35714285714285715,0.5,0.0,0.0,0.2,0.2,0.6,63.14261166363938,74.76735786710447
AE017354,0.23809523809523808,0.38095238095238093,0.14285714285714285,0.23809523809523808,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,38.26951568595019,32.75505943755892
AL123456,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.15,0.3,0.2,0.35,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,65.61466628826449,78.52914230432377
AL590842,0.4084507042253521,0.23943661971830985,0.1267605633802817,0.22535211267605634,0.32142857142857145,0.39285714285714285,0.10714285714285714,0.17857142857142858,0.1,0.5,0.3,0.1,47.63611023248458,48.09749834886232
AP009552,0.20652173913043478,0.45652173913043476,0.10869565217391304,0.22826086956521738,0.189873417721519,0.569620253164557,0.08860759493670886,0.1518987341772152,0.16417910447761194,0.23880597014925373,0.3880597014925373,0.208955223880597,42.33063114485447,39.50931745666048
AP012205,0.11538461538461539,0.34615384615384615,0.23076923076923078,0.3076923076923077,0.3333333333333333,0.25,0.25,0.16666666666666666,0.0,0.42857142857142855,0.21428571428571427,0.35714285714285715,47.73037910135888,49.90495534861084
BA000017,0.325,0.325,0.1875,0.1625,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.0,0.4666666666666667,0.26666666666666666,0.2,0.06666666666666667,32.87779973729638,23.01103521987631
BX897699,0.2608695652173913,0.34782608695652173,0.2608695652173913,0.13043478260869565,0.4,0.35,0.25,0.0,0.2,0.4,0.0,0.4,38.23034861399023,28.890098869255546
CP001114,0.1,0.2,0.4,0.3,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.5333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,63.38816146436573,74.68077434111375
CP001219,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.05263157894736842,0.21052631578947367,0.42105263157894735,0.3157894736842105,0.0,0.0,0.75,0.25,58.77245718795988,65.35039366073784
U00096,0.21448467966573817,0.35376044568245124,0.15041782729805014,0.28133704735376047,0.23353293413173654,0.3413173652694611,0.2634730538922156,0.16167664670658682,0.3157894736842105,0.3684210526315789,0.07894736842105263,0.23684210526315788,50.79070985933456,53.7633008577989
