Accession,P1_observed,P1_Total_UTRs,P1_Expected_freq,P1_Observed_freq,P1_Standard_Deviation,P1_Zscore,P1__BinomPval,P2_observed,P2_Total_UTRs,P2_Expected_freq,P2_Observed_freq,P2_Standard_Deviation,P2_Zscore,P2__BinomPval,P3_observed,P3_Total_UTRs,P3_Expected_freq,P3_Observed_freq,P3_Standard_Deviation,P3_Zscore,P3__BinomPval,P4_observed,P4_Total_UTRs,P4_Expected_freq,P4_Observed_freq,P4_Standard_Deviation,P4_Zscore,P4__BinomPval,P5_observed,P5_Total_UTRs,P5_Expected_freq,P5_Observed_freq,P5_Standard_Deviation,P5_Zscore,P5__BinomPval,P6_observed,P6_Total_UTRs,P6_Expected_freq,P6_Observed_freq,P6_Standard_Deviation,P6_Zscore,P6__BinomPval,Genomic_GC,Genomic_GC3
CP002725,59,377,0.2579,0.15649867374005305,43.74786737659334,-0.8738323098339988,2.922853561950088e-06,40,377,0.0864,0.10610079575596817,28.09538040319084,0.264356627082952,0.1692766474157686,32,377,0.0905,0.08488063660477453,28.68967584341099,-0.07384189391204092,0.7876511660911036,29,377,0.0893,0.07692307692307693,28.517627881715548,-0.16362160342907522,0.4694331470588336,41,377,0.0857,0.10875331564986737,27.992054229727408,0.31048453710017815,0.117045335502347,37,377,0.0825,0.09814323607427056,27.5124971603815,0.21435713252857708,0.2612342802983034,41.22960708801931,34.43784294716497
CP007446,115,640,0.2445,0.1796875,42.97903558713248,-0.9651217025544127,9.036362997514769e-05,37,640,0.0848,0.0578125,27.858384734223197,-0.6199928734124294,0.012822534872199854,57,640,0.0819,0.0890625,27.421230825767104,0.16716973899262477,0.5160412699224101,39,640,0.083,0.0609375,27.58822212466762,-0.51181261105531,0.044473146536019095,59,640,0.0834,0.0921875,27.64858766736558,0.20341002830456195,0.43110985466736407,40,640,0.0814,0.0625,27.34484229246898,-0.4423503295658558,0.08267499696379649,41.265944561226405,35.93210878747006
CP003944,113,843,0.2307,0.13404507710557534,42.12807970938149,-1.934104297230885,2.0274096472315064e-12,66,843,0.0715,0.07829181494661921,25.765820382824995,0.22221299050180887,0.42277964676018487,56,843,0.0708,0.066429418742586,25.649046765913155,-0.14364666389459999,0.6868835690888808,52,843,0.0681,0.06168446026097272,25.19174269477997,-0.21468542551923817,0.49455755266819534,51,843,0.072,0.060498220640569395,25.84879107424562,-0.37510458311764466,0.22980749007649812,57,843,0.0701,0.06761565836298933,25.53154715249352,-0.08202793146421049,0.8396382094721286,42.43836564217796,35.923314884861014
AP012057,12,389,0.1302,0.030848329048843187,33.652334242961516,-1.1484433656510262,1.5143109116046768e-11,0,389,0.0232,0.0,15.053823434596275,-0.599502182233615,0.0002545634849650465,4,389,0.0204,0.010282776349614395,14.136421046361065,-0.27840144171519887,0.20610036302270346,2,389,0.0216,0.005141388174807198,14.537345012071496,-0.4404105422746441,0.021153255292644148,1,389,0.02,0.002570694087403599,14.0,-0.4842857142857143,0.005993530253593486,6,389,0.0233,0.015424164524421594,15.08545988692423,-0.20308959905528326,0.3987809454841092,67.29244721885163,85.35204110605888
CP003422,152,1102,0.2331,0.13793103448275862,42.28053807604629,-2.480484042359356,3.194458778182251e-15,22,1102,0.0518,0.019963702359346643,22.1623013245466,-1.5830305475154776,1.2778422020471662e-07,37,1102,0.0489,0.03357531760435572,21.5658966889856,-0.7830789622870235,0.017283945385315646,53,1102,0.0504,0.04809437386569873,21.876891918186185,-0.11614081239245137,0.7830736827782543,37,1102,0.0487,0.03357531760435572,21.52401217245521,-0.7743630632828609,0.017219808822283005,20,1102,0.0461,0.018148820326678767,20.970166904438315,-1.4688581230834525,8.6748410961006e-07,58.26471788824384,73.0149247366025
CP000792,41,212,0.2374,0.19339622641509435,42.548941232420816,-0.2192486987876394,0.14612185272055456,16,212,0.0813,0.07547169811320754,27.329527987142406,-0.045211172347407715,0.899786021475856,12,212,0.0837,0.05660377358490566,27.69373755923891,-0.20742595641748648,0.17270331764574984,16,212,0.0852,0.07547169811320754,27.917908231097833,-0.07387372946883919,0.7121825936775872,14,212,0.0837,0.0660377358490566,27.69373755923891,-0.13520746313098606,0.45533812391265954,15,212,0.0823,0.07075471698113207,27.482123280416307,-0.08906153192843565,0.6180888550518363,39.428959063005145,38.71452976076315
CP006664,110,753,0.1963,0.1460823373173971,39.71980740134574,-0.9520161973071104,0.00040171384038657613,16,753,0.0412,0.021248339973439574,19.87525094181203,-0.7558948585848797,0.004248000148923951,28,753,0.0426,0.03718459495351926,20.195355901790887,-0.20191770919166543,0.5273889706905168,27,753,0.0466,0.035856573705179286,21.07805493872715,-0.3838020170037818,0.19360906548919277,20,753,0.0443,0.02656042496679947,20.57608077355841,-0.6491955463727458,0.016358828759379697,37,753,0.0449,0.049136786188579015,20.70844996613701,0.15405788483526586,0.538115238583927,58.718518079405534,68.34220100354395
CP000282,165,944,0.2525,0.17478813559322035,43.44464869233034,-1.6885854117391192,1.3839163114793159e-08,39,944,0.0732,0.0413135593220339,26.046450813882494,-1.1556584125448903,7.653784744251875e-05,48,944,0.0768,0.05084745762711865,26.62738440027484,-0.9200753491862729,0.0021766913009763165,50,944,0.0806,0.05296610169491525,27.221983763127916,-0.9582843126713615,0.0012149488693338102,66,944,0.0724,0.06991525423728813,25.9149069070294,-0.09051161203916044,0.850448579906855,58,944,0.0771,0.0614406779661017,26.67500515463868,-0.5541667157814736,0.07649059650474588,45.82607600427956,44.5828860197993
CP002400,35,357,0.1911,0.09803921568627451,39.316763600276154,-0.8450008840444501,2.0687958513271088e-06,9,357,0.0472,0.025210084033613446,21.20664046943787,-0.37018593356706697,0.04584830818482939,8,357,0.0441,0.022408963585434174,20.53172910399901,-0.37715771335068626,0.051361870559159944,16,357,0.0498,0.04481792717086835,21.753151495817797,-0.08176286550212948,0.8072076460776116,12,357,0.0432,0.03361344537815126,20.330705841165475,-0.1683365066976843,0.43556238769689704,8,357,0.0419,0.022408963585434174,20.036064982925165,-0.34728875185471286,0.06434980745170886,55.5585100725393,67.47799906657528
CP000724,276,979,0.2969,0.2819203268641471,45.68920988592383,-0.320975128189251,0.31066393090593813,81,979,0.0899,0.08273748723186926,28.60384414724706,-0.24514537150681756,0.4676490928695516,72,979,0.0928,0.0735444330949949,29.015196018638232,-0.6497009356025275,0.03633273777529429,88,979,0.0921,0.0898876404494382,28.916706243969074,-0.07490133840716151,0.8682919635142066,94,979,0.0932,0.09601634320735444,29.07125040310444,0.09484284169990718,0.7415766391770819,74,979,0.0919,0.0755873340143003,28.888473479919288,-0.5528191031312542,0.08601097128119833,36.82202449465125,30.896708831942302
