Accession,ASC_f,Codon_f,GC,GC3
AE000511,0.2,0.34285714285714286,38.873183533219375,40.89859641519995
AE002098,0.07692307692307693,0.21176470588235294,51.52783889876604,59.71123614190311
AE004092,0.20967741935483872,0.3074074074074074,38.511784231872355,31.6688542072041
AE005176,0.2636363636363636,0.32897196261682243,35.329383083874674,25.475409051731596
AE006468,0.3026315789473684,0.26136363636363635,52.22170068657424,57.043899779355634
AE014299,0.273972602739726,0.29646017699115046,45.960882617065316,45.78083558393288
AE015928,0.2647058823529412,0.2509433962264151,42.83717823940185,44.58875565762742
AE016823,0.3053435114503817,0.38923512747875355,35.049524395133716,29.64888454398507
AE017225,0.22857142857142856,0.27327586206896554,35.3794459501406,26.209940212096104
AE017285,0.3333333333333333,0.14788732394366197,63.14261166363938,74.76735786710447
AE017354,0.15625,0.3352380952380952,38.26951568595019,32.75505943755892
AL111168,0.2,0.3953488372093023,30.548571686178516,18.980335850738253
AL123456,0.12244897959183673,0.1761038961038961,65.61466628826449,78.52914230432377
AL590842,0.3,0.28847926267281104,47.63611023248458,48.09749834886232
AP009552,0.3026315789473684,0.2988335100742312,42.33063114485447,39.50931745666048
AP012205,0.23214285714285715,0.29674418604651165,47.73037910135888,49.90495534861084
BA000017,0.35172413793103446,0.31868131868131866,32.87779973729638,23.01103521987631
BX897699,0.3188405797101449,0.35854922279792745,38.23034861399023,28.890098869255546
CP001114,0.14814814814814814,0.19718309859154928,63.38816146436573,74.68077434111375
CP001219,0.4,0.2064516129032258,58.77245718795988,65.35039366073784
CP002077,0.3333333333333333,0.37142857142857144,40.00367407728878,38.223983790255
U00096,0.29577464788732394,0.2658159838817999,50.79070985933456,53.7633008577989
