Accession,P0_Primary_TAA,P0_Primary_nonTAA,P0_Primary_TAG,P0_Primary_TGA,P1_Primary_TAA,P1_Primary_nonTAA,P1_Primary_TAG,P1_Primary_TGA,P2_Primary_TAA,P2_Primary_nonTAA,P2_Primary_TAG,P2_Primary_TGA,P3_Primary_TAA,P3_Primary_nonTAA,P3_Primary_TAG,P3_Primary_TGA,P4_Primary_TAA,P4_Primary_nonTAA,P4_Primary_TAG,P4_Primary_TGA,P5_Primary_TAA,P5_Primary_nonTAA,P5_Primary_TAG,P5_Primary_TGA,P6_Primary_TAA,P6_Primary_nonTAA,P6_Primary_TAG,P6_Primary_TGA,Genomic_GC,Genomic_GC3
AE000511,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.042105263157894736,0.0847457627118644,0.09375,0.07407407407407407,0.07368421052631578,0.1016949152542373,0.09375,0.1111111111111111,0.06315789473684211,0.06779661016949153,0.03125,0.1111111111111111,0.10526315789473684,0.0847457627118644,0.0625,0.1111111111111111,0.042105263157894736,0.0847457627118644,0.0625,0.1111111111111111,38.873183533219375,40.89859641519995
AE004092,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08860759493670886,0.0,0.0,0.0,0.08860759493670886,0.027777777777777776,0.04,0.0,0.11392405063291139,0.08333333333333333,0.08,0.09090909090909091,0.05063291139240506,0.1111111111111111,0.04,0.2727272727272727,0.06329113924050633,0.1111111111111111,0.12,0.09090909090909091,38.511784231872355,31.6688542072041
AE005176,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.15384615384615385,0.3,0.0625,0.14166666666666666,0.07692307692307693,0.0,0.125,0.06666666666666667,0.07692307692307693,0.0,0.125,0.05,0.11538461538461539,0.1,0.125,0.06666666666666667,0.11538461538461539,0.0,0.1875,35.329383083874674,25.475409051731596
AE006468,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05673758865248227,0.04597701149425287,0.05555555555555555,0.0392156862745098,0.0425531914893617,0.08045977011494253,0.1388888888888889,0.0392156862745098,0.05673758865248227,0.022988505747126436,0.0,0.0392156862745098,0.028368794326241134,0.06896551724137931,0.1111111111111111,0.0392156862745098,0.04964539007092199,0.04597701149425287,0.027777777777777776,0.058823529411764705,52.22170068657424,57.043899779355634
AE014299,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.07692307692307693,0.08823529411764706,0.0,0.05555555555555555,0.05128205128205128,0.029411764705882353,0.2,0.09259259259259259,0.05128205128205128,0.058823529411764705,0.0,0.05555555555555555,0.15384615384615385,0.14705882352941177,0.2,0.06481481481481481,0.05128205128205128,0.058823529411764705,0.0,45.960882617065316,45.78083558393288
AE015928,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.037037037037037035,0.058823529411764705,0.1,0.0,0.018518518518518517,0.058823529411764705,0.0,0.14285714285714285,0.07407407407407407,0.11764705882352941,0.1,0.14285714285714285,0.05555555555555555,0.058823529411764705,0.1,0.0,42.83717823940185,44.58875565762742
AE016823,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08176100628930817,0.06521739130434782,0.08333333333333333,0.045454545454545456,0.08176100628930817,0.13043478260869565,0.10416666666666667,0.1590909090909091,0.06918238993710692,0.05434782608695652,0.08333333333333333,0.022727272727272728,0.10062893081761007,0.08695652173913043,0.10416666666666667,0.06818181818181818,0.050314465408805034,0.06521739130434782,0.0625,0.06818181818181818,35.049524395133716,29.64888454398507
AE017225,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07563025210084033,0.10344827586206896,0.1111111111111111,0.09090909090909091,0.10084033613445378,0.034482758620689655,0.05555555555555555,0.0,0.07563025210084033,0.0,0.0,0.0,0.09243697478991597,0.06896551724137931,0.0,0.18181818181818182,0.04201680672268908,0.034482758620689655,0.05555555555555555,0.0,35.3794459501406,26.209940212096104
AE017285,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.018867924528301886,0.03125,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.009433962264150943,0.0,0.023809523809523808,0.07142857142857142,0.009433962264150943,0.0,0.023809523809523808,63.14261166363938,74.76735786710447
AE017354,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08108108108108109,0.058823529411764705,0.05555555555555555,0.0625,0.02702702702702703,0.08823529411764706,0.0,0.1875,0.05405405405405406,0.029411764705882353,0.0,0.0625,0.05405405405405406,0.08823529411764706,0.1111111111111111,0.0625,0.16216216216216217,0.029411764705882353,0.0,0.0625,38.26951568595019,32.75505943755892
