Accession,taa_1,taa_3-6,taa_ratio,tga_1,tga_3-6,tga_ratio,tag_1,tag_3-6,tag_ratio,ttt_1,ttt_3-6,ttt_ratio,tta_1,tta_3-6,tta_ratio,ttc_1,ttc_3-6,ttc_ratio,ttg_1,ttg_3-6,ttg_ratio,tat_1,tat_3-6,tat_ratio,tac_1,tac_3-6,tac_ratio,tca_1,tca_3-6,tca_ratio,tct_1,tct_3-6,tct_ratio,tcc_1,tcc_3-6,tcc_ratio,tcg_1,tcg_3-6,tcg_ratio,tgt_1,tgt_3-6,tgt_ratio,tgc_1,tgc_3-6,tgc_ratio,tgg_1,tgg_3-6,tgg_ratio,GC,GC3
AE000657,0.021148036253776436,0.026435045317220546,-0.20000000000000007,0.015105740181268883,0.013595166163141995,0.11111111111111116,0.012084592145015106,0.012084592145015106,0.0,0.0634441087613293,0.07628398791540786,-0.16831683168316836,0.03625377643504532,0.022658610271903322,0.6000000000000003,0.030211480362537766,0.04154078549848943,-0.2727272727272727,0.015105740181268883,0.019637462235649546,-0.23076923076923073,0.030211480362537766,0.02416918429003021,0.25,0.006042296072507553,0.013595166163141995,-0.5555555555555556,0.00906344410876133,0.00906344410876133,0.0,0.01812688821752266,0.026435045317220546,-0.3142857142857143,0.01812688821752266,0.0324773413897281,-0.44186046511627897,0.0,0.00906344410876133,-1.0,0.021148036253776436,0.006797583081570997,2.111111111111111,0.006042296072507553,0.004531722054380665,0.33333333333333326,0.021148036253776436,0.012084592145015106,0.75,43.476167301066496,47.18621732053671
AE014184,0.01832460732984293,0.024214659685863872,-0.2432432432432432,0.005235602094240838,0.015706806282722512,-0.6666666666666666,0.005235602094240838,0.009162303664921467,-0.4285714285714286,0.049738219895287955,0.027486910994764396,0.8095238095238095,0.007853403141361256,0.02356020942408377,-0.6666666666666667,0.02617801047120419,0.022905759162303665,0.1428571428571428,0.02617801047120419,0.028141361256544505,-0.06976744186046524,0.020942408376963352,0.025523560209424083,-0.1794871794871794,0.013089005235602094,0.011780104712041883,0.11111111111111116,0.007853403141361256,0.009162303664921465,-0.1428571428571428,0.028795811518324606,0.02094240837696335,0.375,0.010471204188481676,0.006544502617801047,0.6000000000000001,0.007853403141361256,0.015706806282722512,-0.5,0.015706806282722512,0.024869109947643978,-0.368421052631579,0.01832460732984293,0.02879581151832461,-0.36363636363636376,0.013089005235602094,0.01767015706806283,-0.2592592592592593,46.331997200483556,43.31984798362862
AE015928,0.04585229261463073,0.03430171508575429,0.33673469387755106,0.020301015050752536,0.017850892544627232,0.13725490196078427,0.0168008400420021,0.0132131606580329,0.2715231788079471,0.03955197759887994,0.04112705635281764,-0.03829787234042559,0.026601330066503327,0.03150157507875394,-0.15555555555555556,0.022751137556877844,0.018200910045502276,0.25,0.021351067553377668,0.018025901295064754,0.18446601941747565,0.03290164508225411,0.03613930696534827,-0.08958837772397099,0.018900945047252364,0.0132131606580329,0.4304635761589406,0.014700735036751837,0.017938396919845993,-0.18048780487804883,0.021351067553377668,0.01758837941897095,0.21393034825870627,0.009100455022751138,0.009887994399719987,-0.07964601769911506,0.011900595029751488,0.005950297514875744,1.0,0.010850542527126356,0.019250962548127408,-0.4363636363636364,0.009450472523626182,0.009450472523626182,0.0,0.007000350017500875,0.007087854392719636,-0.012345679012345734,42.83717823940185,44.58875565762742
AE016825,0.0056032872618602915,0.005883451624953306,-0.04761904761904756,0.0044826298094882335,0.012514008218154652,-0.6417910447761195,0.007097497198356369,0.004295853567426223,0.6521739130434785,0.015689204333208816,0.016996638027642886,-0.07692307692307698,0.0033619723571161747,0.006723944714232349,-0.5,0.015315651849084797,0.017183414269704895,-0.10869565217391308,0.010833022039596563,0.014288382517743744,-0.24183006535947715,0.004856182293612252,0.005883451624953306,-0.17460317460317465,0.002614867388868136,0.0044826298094882335,-0.41666666666666674,0.010085917071348524,0.011206574523720583,-0.10000000000000009,0.010085917071348524,0.007751214045573404,0.3012048192771082,0.042958535674262235,0.017650354874859917,1.433862433862434,0.029137093761673515,0.015595816212177812,0.8682634730538921,0.007097497198356369,0.009899140829286515,-0.28301886792452835,0.016436309301456856,0.017556966753828913,-0.06382978723404253,0.013821441912588718,0.015128875607022786,-0.08641975308641969,64.83374306473475,83.15720006089714
AE017282,0.003668378576669112,0.002751283932501834,0.33333333333333326,0.007336757153338224,0.009721203228173148,-0.24528301886792458,0.001467351430667645,0.002567865003668379,-0.4285714285714286,0.013939838591342627,0.015590608950843727,-0.10588235294117643,0.0022010271460014674,0.003484959647835657,-0.368421052631579,0.019809244314013204,0.020726338958180483,-0.04424778761061954,0.016874541452677916,0.008987527512839325,0.8775510204081631,0.007336757153338224,0.00586940572267058,0.25,0.008070432868672046,0.0062362435803374906,0.2941176470588236,0.006603081438004402,0.015774027879677185,-0.5813953488372093,0.011005135730007337,0.009170946441672781,0.19999999999999996,0.03374908290535583,0.027696258253851795,0.2185430463576159,0.030814380044020543,0.024027879677182687,0.28244274809160297,0.00586940572267058,0.00788701393983859,-0.255813953488372,0.016140865737344093,0.01705796038151137,-0.05376344086021512,0.008070432868672046,0.01632428466617755,-0.5056179775280899,63.58457295840506,77.96001192983474
AL935263,0.03505257886830245,0.035803705558337506,-0.020979020979021046,0.02754131196795193,0.024536805207811718,0.12244897959183687,0.008512769153730596,0.014271407110665997,-0.4035087719298245,0.04957436154231347,0.027165748622934402,0.824884792626728,0.06059088632949424,0.03480220330495744,0.7410071942446042,0.01902854281422133,0.012018027040560843,0.583333333333333,0.035553329994992486,0.022533800701051578,0.5777777777777777,0.024536805207811718,0.01740110165247872,0.41007194244604306,0.012018027040560842,0.00913870806209314,0.31506849315068486,0.031547320981472206,0.02040560841261893,0.54601226993865,0.017526289434151226,0.009514271407110668,0.8421052631578942,0.012518778167250876,0.00613420130195293,1.0408163265306118,0.018027040560841263,0.009263895843765649,0.945945945945946,0.015022533800701052,0.013269904857285929,0.13207547169811318,0.010515773660490736,0.012018027040560842,-0.125,0.012518778167250876,0.015648472709063596,-0.20000000000000007,44.46688649939107,45.13685216456338
AM180252,0.08398950131233596,0.054133858267716536,0.5515151515151515,0.02230971128608924,0.01115485564304462,1.0,0.01837270341207349,0.02526246719160105,-0.2727272727272728,0.06824146981627296,0.06430446194225722,0.06122448979591821,0.05905511811023622,0.06036745406824147,-0.021739130434782594,0.013123359580052493,0.01115485564304462,0.17647058823529416,0.014435695538057743,0.013779527559055118,0.04761904761904767,0.09186351706036745,0.07972440944881891,0.15226337448559657,0.026246719160104987,0.016732283464566927,0.5686274509803924,0.009186351706036745,0.01115485564304462,-0.17647058823529416,0.01837270341207349,0.020013123359580054,-0.08196721311475419,0.010498687664041995,0.0022965879265091863,3.571428571428571,0.0,0.000984251968503937,-1.0,0.02099737532808399,0.016076115485564306,0.30612244897959173,0.003937007874015748,0.0036089238845144356,0.09090909090909083,0.005249343832020997,0.005249343832020997,0.0,33.2844865496402,18.680945512211654
AM236080,0.006471389645776567,0.004768392370572207,0.3571428571428572,0.009536784741144414,0.014049727520435968,-0.3212121212121213,0.006471389645776567,0.003831743869209809,0.6888888888888891,0.02111716621253406,0.017881471389645777,0.18095238095238098,0.0034059945504087193,0.006641689373297003,-0.4871794871794872,0.013283378746594006,0.019073569482288832,-0.3035714285714287,0.01600817438692098,0.01473092643051771,0.08670520231213885,0.009877384196185286,0.005364441416893732,0.8412698412698414,0.005108991825613079,0.003916893732970027,0.30434782608695654,0.019754768392370572,0.015497275204359673,0.27472527472527486,0.01907356948228883,0.01260217983651226,0.5135135135135138,0.024182561307901907,0.019754768392370572,0.22413793103448265,0.04223433242506812,0.026481607629427792,0.594855305466238,0.007493188010899182,0.008259536784741145,-0.09278350515463929,0.022138964577656677,0.021713215258855587,0.019607843137254832,0.01600817438692098,0.013794277929155312,0.16049382716049387,61.09037476108047,75.9558218001485
AM260479,0.0027112516945323093,0.002937189335743335,-0.07692307692307687,0.0076818798011748755,0.01095797559873475,-0.2989690721649485,0.004518752824220515,0.0023723452327157704,0.9047619047619047,0.008133755083596927,0.008359692724807953,-0.027027027027027084,0.0022593764121102574,0.002146407591504745,0.05263157894736836,0.016719385449615907,0.009828287392679621,0.7011494252873562,0.00903750564844103,0.011409850881156801,-0.207920792079208,0.0013556258472661546,0.002824220515137822,-0.52,0.0076818798011748755,0.005309534568459106,0.44680851063829774,0.008133755083596927,0.010845006778129237,-0.25,0.010393131495707185,0.005309534568459106,0.9574468085106382,0.041120650700406686,0.016380478987799367,1.510344827586207,0.02078626299141437,0.014572977858111161,0.4263565891472869,0.006778129236330773,0.0071170356981473115,-0.04761904761904767,0.02711251694532309,0.025192046995029374,0.07623318385650224,0.010845006778129237,0.01333032083145052,-0.18644067796610164,66.46591142419408,85.22432239106415
AM260525,0.028201219512195123,0.035251524390243906,-0.20000000000000007,0.014481707317073171,0.017721036585365856,-0.18279569892473124,0.006859756097560976,0.009336890243902439,-0.26530612244897955,0.051829268292682924,0.05964176829268293,-0.1309904153354634,0.019054878048780487,0.03163109756097561,-0.3975903614457832,0.019054878048780487,0.021532012195121953,-0.11504424778761069,0.01524390243902439,0.0232469512195122,-0.3442622950819674,0.025152439024390245,0.03353658536585366,-0.25,0.007621951219512195,0.009527439024390244,-0.19999999999999996,0.01676829268292683,0.021341463414634148,-0.2142857142857143,0.019817073170731708,0.02648628048780488,-0.25179856115107924,0.007621951219512195,0.008003048780487805,-0.04761904761904767,0.005335365853658537,0.0036204268292682924,0.47368421052631593,0.010670731707317074,0.018102134146341462,-0.41052631578947363,0.01676829268292683,0.011242378048780489,0.4915254237288136,0.009146341463414634,0.010670731707317072,-0.1428571428571428,38.856063299022054,30.077139499859406
