Accession,P0_Primary_TAA,P0_Primary_nonTAA,P0_Primary_TAG,P0_Primary_TGA,P1_Primary_TAA,P1_Primary_nonTAA,P1_Primary_TAG,P1_Primary_TGA,P2_Primary_TAA,P2_Primary_nonTAA,P2_Primary_TAG,P2_Primary_TGA,P3_Primary_TAA,P3_Primary_nonTAA,P3_Primary_TAG,P3_Primary_TGA,P4_Primary_TAA,P4_Primary_nonTAA,P4_Primary_TAG,P4_Primary_TGA,P5_Primary_TAA,P5_Primary_nonTAA,P5_Primary_TAG,P5_Primary_TGA,P6_Primary_TAA,P6_Primary_nonTAA,P6_Primary_TAG,P6_Primary_TGA,Genomic_GC,Genomic_GC3
AE000511,1.0,1.0,1.0,1.0,0.046511627906976744,0.07142857142857142,0.12903225806451613,0.02564102564102564,0.023255813953488372,0.14285714285714285,0.1935483870967742,0.10256410256410256,0.12790697674418605,0.1,0.12903225806451613,0.07692307692307693,0.05813953488372093,0.05714285714285714,0.06451612903225806,0.05128205128205128,0.05813953488372093,0.05714285714285714,0.06451612903225806,0.05128205128205128,0.06976744186046512,0.08571428571428572,0.06451612903225806,0.10256410256410256,38.873183533219375,40.89859641519995
AE004092,1.0,1.0,1.0,1.0,0.08695652173913043,0.058823529411764705,0.034482758620689655,0.2,0.08074534161490683,0.029411764705882353,0.0,0.2,0.09937888198757763,0.058823529411764705,0.06896551724137931,0.0,0.08074534161490683,0.058823529411764705,0.06896551724137931,0.0,0.08695652173913043,0.08823529411764706,0.06896551724137931,0.2,0.062111801242236024,0.08823529411764706,0.06896551724137931,0.2,38.511784231872355,31.6688542072041
AE005176,1.0,1.0,1.0,1.0,0.16037735849056603,0.0,0.0,0.0,0.06132075471698113,0.125,0.1,0.16666666666666666,0.13679245283018868,0.0625,0.0,0.16666666666666666,0.10377358490566038,0.125,0.1,0.16666666666666666,0.08018867924528301,0.0,0.0,0.0,0.04245283018867924,0.125,0.2,0.0,35.329383083874674,25.475409051731596
AE006468,1.0,1.0,1.0,1.0,0.03899721448467967,0.07,0.043478260869565216,0.07792207792207792,0.03899721448467967,0.07,0.0,0.09090909090909091,0.027855153203342618,0.05,0.0,0.06493506493506493,0.04178272980501393,0.06,0.043478260869565216,0.06493506493506493,0.036211699164345405,0.07,0.043478260869565216,0.07792207792207792,0.04735376044568245,0.05,0.0,0.06493506493506493,52.22170068657424,57.043899779355634
AE014299,1.0,1.0,1.0,1.0,0.03902439024390244,0.0,0.0,0.0,0.07317073170731707,0.03225806451612903,0.0,0.07142857142857142,0.04390243902439024,0.12903225806451613,0.11764705882352941,0.14285714285714285,0.07804878048780488,0.06451612903225806,0.0,0.14285714285714285,0.05365853658536585,0.0967741935483871,0.058823529411764705,0.14285714285714285,0.08780487804878048,0.06451612903225806,0.058823529411764705,0.07142857142857142,45.960882617065316,45.78083558393288
AE015928,1.0,1.0,1.0,1.0,0.08035714285714286,0.16666666666666666,0.0,0.2727272727272727,0.03571428571428571,0.1111111111111111,0.0,0.18181818181818182,0.017857142857142856,0.1111111111111111,0.14285714285714285,0.09090909090909091,0.10714285714285714,0.05555555555555555,0.0,0.09090909090909091,0.0625,0.0,0.0,0.0,0.08035714285714286,0.05555555555555555,0.14285714285714285,0.0,42.83717823940185,44.58875565762742
AE016823,1.0,1.0,1.0,1.0,0.039603960396039604,0.08433734939759036,0.045454545454545456,0.09836065573770492,0.06930693069306931,0.04819277108433735,0.0,0.06557377049180328,0.0594059405940594,0.08433734939759036,0.13636363636363635,0.06557377049180328,0.07425742574257425,0.024096385542168676,0.09090909090909091,0.0,0.0891089108910891,0.03614457831325301,0.0,0.04918032786885246,0.07920792079207921,0.08433734939759036,0.13636363636363635,0.06557377049180328,35.049524395133716,29.64888454398507
AE017225,1.0,1.0,1.0,1.0,0.2237442922374429,0.21212121212121213,0.20833333333333334,0.2222222222222222,0.091324200913242,0.09090909090909091,0.041666666666666664,0.2222222222222222,0.0821917808219178,0.030303030303030304,0.0,0.1111111111111111,0.0547945205479452,0.06060606060606061,0.08333333333333333,0.0,0.0867579908675799,0.09090909090909091,0.041666666666666664,0.2222222222222222,0.0410958904109589,0.030303030303030304,0.041666666666666664,0.0,35.3794459501406,26.209940212096104
AE017285,1.0,1.0,1.0,1.0,0.0,0.014814814814814815,0.008849557522123894,0.045454545454545456,0.0,0.022222222222222223,0.017699115044247787,0.045454545454545456,0.0,0.007407407407407408,0.008849557522123894,0.0,0.03333333333333333,0.044444444444444446,0.02654867256637168,0.13636363636363635,0.0,0.014814814814814815,0.017699115044247787,0.0,0.03333333333333333,0.037037037037037035,0.02654867256637168,0.09090909090909091,63.14261166363938,74.76735786710447
AE017354,1.0,1.0,1.0,1.0,0.04819277108433735,0.05,0.0,0.125,0.03614457831325301,0.05,0.0,0.125,0.14457831325301204,0.0,0.0,0.0,0.10843373493975904,0.0,0.0,0.0,0.07228915662650602,0.05,0.08333333333333333,0.0,0.0,0.05,0.08333333333333333,0.0,38.26951568595019,32.75505943755892
AL123456,1.0,1.0,1.0,1.0,0.0,0.021212121212121213,0.023809523809523808,0.018518518518518517,0.043478260869565216,0.01818181818181818,0.023809523809523808,0.012345679012345678,0.014492753623188406,0.01818181818181818,0.017857142857142856,0.018518518518518517,0.014492753623188406,0.024242424242424242,0.023809523809523808,0.024691358024691357,0.0,0.00909090909090909,0.0,0.018518518518518517,0.014492753623188406,0.021212121212121213,0.023809523809523808,0.018518518518518517,65.61466628826449,78.52914230432377
AL590842,1.0,1.0,1.0,1.0,0.043010752688172046,0.09090909090909091,0.0,0.125,0.07526881720430108,0.10909090909090909,0.13333333333333333,0.1,0.06989247311827956,0.14545454545454545,0.13333333333333333,0.15,0.05913978494623656,0.03636363636363636,0.06666666666666667,0.025,0.05913978494623656,0.07272727272727272,0.0,0.1,0.04838709677419355,0.12727272727272726,0.06666666666666667,0.15,47.63611023248458,48.09749834886232
AP009552,1.0,1.0,1.0,1.0,0.03125,0.05,0.040983606557377046,0.0661764705882353,0.059027777777777776,0.07631578947368421,0.0942622950819672,0.04411764705882353,0.05381944444444445,0.039473684210526314,0.04918032786885246,0.022058823529411766,0.08333333333333333,0.039473684210526314,0.03278688524590164,0.051470588235294115,0.057291666666666664,0.05,0.040983606557377046,0.0661764705882353,0.08506944444444445,0.07105263157894737,0.09016393442622951,0.03676470588235294,42.33063114485447,39.50931745666048
AP012205,1.0,1.0,1.0,1.0,0.028169014084507043,0.034482758620689655,0.02830188679245283,0.1,0.04225352112676056,0.017241379310344827,0.018867924528301886,0.0,0.04929577464788732,0.04310344827586207,0.03773584905660377,0.1,0.1056338028169014,0.07758620689655173,0.0660377358490566,0.2,0.07042253521126761,0.05172413793103448,0.05660377358490566,0.0,0.056338028169014086,0.017241379310344827,0.018867924528301886,0.0,47.73037910135888,49.90495534861084
BA000017,1.0,1.0,1.0,0.0,0.08148148148148149,0.13793103448275862,0.13793103448275862,0.0,0.08888888888888889,0.13793103448275862,0.13793103448275862,0.0,0.08518518518518518,0.10344827586206896,0.10344827586206896,0.0,0.11481481481481481,0.13793103448275862,0.13793103448275862,0.0,0.09259259259259259,0.10344827586206896,0.10344827586206896,0.0,0.10740740740740741,0.034482758620689655,0.034482758620689655,0.0,32.87779973729638,23.01103521987631
BX897699,1.0,1.0,1.0,1.0,0.06802721088435375,0.1076923076923077,0.0967741935483871,0.11764705882352941,0.07482993197278912,0.07692307692307693,0.06451612903225806,0.08823529411764706,0.047619047619047616,0.07692307692307693,0.12903225806451613,0.029411764705882353,0.047619047619047616,0.07692307692307693,0.0967741935483871,0.058823529411764705,0.08843537414965986,0.06153846153846154,0.06451612903225806,0.058823529411764705,0.04081632653061224,0.1076923076923077,0.0967741935483871,0.11764705882352941,38.23034861399023,28.890098869255546
CP001114,1.0,1.0,1.0,1.0,0.007751937984496124,0.0,0.0,0.0,0.015503875968992248,0.031746031746031744,0.0,0.03418803418803419,0.046511627906976744,0.023809523809523808,0.0,0.02564102564102564,0.015503875968992248,0.047619047619047616,0.0,0.05128205128205128,0.031007751937984496,0.03968253968253968,0.0,0.042735042735042736,0.046511627906976744,0.007936507936507936,0.0,0.008547008547008548,63.38816146436573,74.68077434111375
CP001219,1.0,1.0,1.0,1.0,0.022222222222222223,0.037037037037037035,0.05555555555555555,0.031746031746031744,0.022222222222222223,0.012345679012345678,0.0,0.015873015873015872,0.044444444444444446,0.012345679012345678,0.0,0.015873015873015872,0.022222222222222223,0.0,0.0,0.0,0.044444444444444446,0.037037037037037035,0.05555555555555555,0.031746031746031744,0.044444444444444446,0.012345679012345678,0.0,0.015873015873015872,58.77245718795988,65.35039366073784
U00096,1.0,1.0,1.0,1.0,0.06909090909090909,0.12598425196850394,0.1111111111111111,0.12844036697247707,0.034545454545454546,0.07086614173228346,0.1111111111111111,0.06422018348623854,0.03636363636363636,0.03937007874015748,0.05555555555555555,0.03669724770642202,0.025454545454545455,0.031496062992125984,0.0,0.03669724770642202,0.04727272727272727,0.05511811023622047,0.0,0.06422018348623854,0.06,0.07874015748031496,0.0,0.09174311926605505,50.79070985933456,53.7633008577989
