Accession,P0_stop_f,P0_TAA_freq,P0_TAG_f,P0_TGA_f,P1_stop_f,P1_TAA_freq,P1_TAG_f,P1_TGA_f,P2_stop_f,P2_TAA_freq,P2_TAG_f,P2_TGA_f,P3_stop_f,P3_TAA_freq,P3_TAG_f,P3_TGA_f,P4_stop_f,P4_TAA_freq,P4_TAG_f,P4_TGA_f,P5_stop_f,P5_TAA_freq,P5_TAG_f,P5_TGA_f,P6_stop_f,P6_TAA_freq,P6_TAG_f,P6_TGA_f,Genomic_GC,Genomic_GC3
AE000657,1.0,0.5558912386706949,0.1268882175226586,0.31722054380664655,0.04833836858006042,0.021148036253776436,0.012084592145015106,0.015105740181268883,0.07250755287009064,0.03927492447129909,0.012084592145015106,0.021148036253776436,0.0634441087613293,0.03625377643504532,0.00906344410876133,0.01812688821752266,0.04229607250755287,0.02416918429003021,0.00906344410876133,0.00906344410876133,0.04833836858006042,0.027190332326283987,0.012084592145015106,0.00906344410876133,0.054380664652567974,0.01812688821752266,0.01812688821752266,0.01812688821752266,43.476167301066496,47.18621732053671
AE014184,1.0,0.36910994764397903,0.32722513089005234,0.3036649214659686,0.028795811518324606,0.01832460732984293,0.005235602094240838,0.005235602094240838,0.041884816753926704,0.01832460732984293,0.010471204188481676,0.013089005235602094,0.034031413612565446,0.013089005235602094,0.005235602094240838,0.015706806282722512,0.05235602094240838,0.02617801047120419,0.015706806282722512,0.010471204188481676,0.060209424083769635,0.02617801047120419,0.010471204188481676,0.02356020942408377,0.049738219895287955,0.031413612565445025,0.005235602094240838,0.013089005235602094,46.331997200483556,43.31984798362862
AE015928,1.0,0.6398319915995799,0.16660833041652082,0.1935596779838992,0.08295414770738536,0.04585229261463073,0.0168008400420021,0.020301015050752536,0.0616030801540077,0.033951697584879245,0.011900595029751488,0.01575078753937697,0.058452922646132305,0.02695134756737837,0.014700735036751837,0.0168008400420021,0.06230311515575779,0.03080154007700385,0.012250612530626532,0.019250962548127408,0.06650332516625831,0.03815190759537977,0.012250612530626532,0.016100805040252013,0.07420371018550928,0.04130206510325516,0.013650682534126707,0.019250962548127408,42.83717823940185,44.58875565762742
AE016825,1.0,0.269331341053418,0.13746731415763916,0.5932013447889428,0.017183414269704895,0.0056032872618602915,0.007097497198356369,0.0044826298094882335,0.023533806499813223,0.0044826298094882335,0.005229734777736272,0.013821441912588718,0.021666044079193127,0.007097497198356369,0.0029884198729921555,0.011580127007844603,0.02054538662682107,0.0044826298094882335,0.004856182293612252,0.011206574523720583,0.023907358983937244,0.006723944714232349,0.004856182293612252,0.012327231976092642,0.024654463952185283,0.005229734777736272,0.0044826298094882335,0.014942099364960777,64.83374306473475,83.15720006089714
AE017282,1.0,0.12545854732208364,0.1496698459280998,0.7248716067498165,0.012472487160674981,0.003668378576669112,0.001467351430667645,0.007336757153338224,0.015407190022010272,0.0007336757153338225,0.005135730007336757,0.009537784299339692,0.013206162876008804,0.00293470286133529,0.00293470286133529,0.007336757153338224,0.013206162876008804,0.001467351430667645,0.0007336757153338225,0.011005135730007337,0.01760821716801174,0.00293470286133529,0.0022010271460014674,0.012472487160674981,0.016140865737344093,0.003668378576669112,0.004402054292002935,0.008070432868672046,63.58457295840506,77.96001192983474
AL935263,1.0,0.6264396594892339,0.242864296444667,0.13069604406609914,0.07110665998998497,0.03505257886830245,0.008512769153730596,0.02754131196795193,0.06960440660991488,0.035553329994992486,0.012518778167250876,0.021532298447671506,0.07461191787681522,0.033049574361542315,0.014521782674011016,0.02704056084126189,0.0786179268903355,0.03805708562844266,0.016524787180771158,0.024036054081121683,0.07060590886329494,0.0385578367551327,0.013520280420630946,0.018527791687531298,0.07461191787681522,0.03355032548823235,0.012518778167250876,0.028542814221331998,44.46688649939107,45.13685216456338
AM180252,1.0,0.6968503937007874,0.21128608923884515,0.09186351706036745,0.12467191601049869,0.08398950131233596,0.01837270341207349,0.02230971128608924,0.09973753280839895,0.07086614173228346,0.01837270341207349,0.010498687664041995,0.07611548556430446,0.04461942257217848,0.02230971128608924,0.009186351706036745,0.09973753280839895,0.05774278215223097,0.027559055118110236,0.014435695538057743,0.08530183727034121,0.04461942257217848,0.028871391076115485,0.011811023622047244,0.1010498687664042,0.06955380577427822,0.02230971128608924,0.009186351706036745,33.2844865496402,18.680945512211654
AM236080,1.0,0.23331062670299726,0.17915531335149865,0.5875340599455041,0.022479564032697547,0.006471389645776567,0.006471389645776567,0.009536784741144414,0.021798365122615803,0.005449591280653951,0.0034059945504087193,0.012942779291553134,0.022138964577656677,0.0044277929155313355,0.006130790190735695,0.011580381471389645,0.030313351498637602,0.005449591280653951,0.0044277929155313355,0.020435967302452316,0.02077656675749319,0.004087193460490463,0.0020435967302452314,0.014645776566757493,0.01737057220708447,0.005108991825613079,0.0027247956403269754,0.009536784741144414,61.09037476108047,75.9558218001485
AM260479,1.0,0.20289200180750114,0.1631269769543606,0.6339810212381383,0.0149118843199277,0.0027112516945323093,0.004518752824220515,0.0076818798011748755,0.010845006778129237,0.0022593764121102574,0.0013556258472661546,0.0072300045187528245,0.016719385449615907,0.0031631269769543608,0.0027112516945323093,0.010845006778129237,0.01717126073203796,0.0018075011296882061,0.004066877541798464,0.011296882060551287,0.014460009037505649,0.0027112516945323093,0.0013556258472661546,0.010393131495707185,0.016719385449615907,0.004066877541798464,0.0013556258472661546,0.011296882060551287,66.46591142419408,85.22432239106415
AM260525,1.0,0.625,0.16158536585365854,0.21341463414634146,0.04954268292682927,0.028201219512195123,0.006859756097560976,0.014481707317073171,0.051067073170731704,0.026676829268292682,0.009908536585365854,0.014481707317073171,0.0625,0.03048780487804878,0.012957317073170731,0.019054878048780487,0.05030487804878049,0.027439024390243903,0.006097560975609756,0.01676829268292683,0.0663109756097561,0.041158536585365856,0.009908536585365854,0.01524390243902439,0.0701219512195122,0.041920731707317076,0.008384146341463415,0.019817073170731708,38.856063299022054,30.077139499859406
