Accession,F_p1,F_utr,GC,GC3
AE000657,0.43243243243243246,0.2972972972972973,43.476167301066496,47.18621732053671
AE014184,0.2032520325203252,0.26287262872628725,46.331997200483556,43.31984798362862
AE015928,0.23162583518930957,0.2625587725810443,42.83717823940185,44.58875565762742
AE016825,0.08469945355191257,0.14602307225258046,64.83374306473475,83.15720006089714
AE017282,0.10344827586206896,0.1592775041050903,63.58457295840506,77.96001192983474
AL935263,0.352549889135255,0.22862774082286277,44.46688649939107,45.13685216456338
AM180252,0.45255474452554745,0.3260340632603406,33.2844865496402,18.680945512211654
AM236080,0.1252408477842004,0.16784414472275744,61.09037476108047,75.9558218001485
AM260479,0.12146892655367232,0.13716258631512868,66.46591142419408,85.22432239106415
AM260525,0.14423076923076922,0.2516025641025641,38.856063299022054,30.077139499859406
AM494475,0.2342857142857143,0.28253968253968254,30.5310497961732,21.365218147233982
AM711867,0.0975,0.08972222222222222,72.66422692563216,94.7975161479547
AM743169,0.1889763779527559,0.15281423155438903,66.32404518043852,83.25334333965804
AM889285,0.0950920245398773,0.15405589638718473,66.43110337985524,80.11588632313429
AM902716,0.08263069139966273,0.14371369683342702,65.48282415680934,81.62050779849977
AM942759,0.42810457516339867,0.2694262890341322,38.89968663300527,30.75245291987967
AM999887,0.2073170731707317,0.28523035230352306,34.19024523509989,26.635196840406515
AP006628,0.3333333333333333,0.2701525054466231,27.75984301810356,19.896437816443562
AP006840,0.08781869688385269,0.10953729933899906,68.6684043088666,89.4912651578391
AP007255,0.10805860805860806,0.1687016687016687,65.093510400737,83.14199548369172
AP008230,0.17763157894736842,0.2057017543859649,47.35989345501921,50.59483233199998
AP008955,0.18969555035128804,0.1997137652875358,47.2735528479921,49.388060253065156
AP008971,0.27906976744186046,0.26270456503014644,32.3127743623778,26.650776270876232
AP009152,0.10434782608695652,0.09565217391304348,71.16380109284755,92.56099655074152
AP009153,0.25517241379310346,0.1706257982120051,64.27436141406316,76.88042010162982
AP009178,0.2222222222222222,0.2804232804232804,39.688625407429775,36.53261266972793
AP009179,0.20973782771535582,0.24927174365376611,43.87148618201701,46.96062298295081
AP009380,0.20074349442379183,0.2321354812061132,48.359283634112224,53.05509468872864
AP009384,0.06291390728476821,0.14091243561442238,67.31902211118089,85.58033965760337
AP009389,0.17380352644836272,0.2087881332213826,52.96110399537247,62.3289097746804
AP009484,0.2358974358974359,0.245014245014245,36.87685627905118,30.775165231510314
AP009510,0.2808988764044944,0.26841448189762795,35.20740200576095,30.40007037897882
AP009552,0.23880597014925373,0.22977704072231436,42.33063114485447,39.50931745666048
AP010904,0.15871639202081528,0.1536089428543895,62.769421550751524,77.06766538646693
AP010946,0.05045871559633028,0.12793068297655455,67.76023397993896,87.04108079465419
AP010953,0.2749003984063745,0.2244355909694555,50.68482282649143,52.79602195346696
AP010968,0.07642487046632124,0.08750719631548647,74.19750348332366,95.43552890821465
AP011112,0.22641509433962265,0.2431865828092243,44.000263892354866,46.140012543177605
AP011121,0.10071942446043165,0.21742605915267785,53.03682379505382,53.06410333113375
AP011529,0.39080459770114945,0.30395913154533843,31.118260965301925,22.211041788684792
AP011615,0.23508137432188064,0.21981113120353626,43.650355346998246,41.46555477408334
AP012027,0.35185185185185186,0.32030178326474623,36.55623983118011,28.019531441606464
AP012029,0.2314410480349345,0.2314410480349345,53.84967293987223,61.151795580452166
AP012035,0.11594202898550725,0.1615673644659152,67.5791744356647,83.28976118847989
AP012044,0.20245398773006135,0.21233810497614178,53.32115202687688,62.44762599576779
AP012046,0.3235294117647059,0.2577614379084967,36.0410813510645,27.72117933022902
AP012050,0.3827751196172249,0.2573099415204678,35.71827205908107,26.499942957190925
AP012051,0.37623762376237624,0.2684268426842684,35.37487573029511,28.8596832483386
AP012052,0.11299435028248588,0.12492153170119272,70.27840545811512,89.51635710263977
AP012057,0.1989795918367347,0.159297052154195,67.29244721885163,85.35204110605888
AP012157,0.2857142857142857,0.24977538185085355,38.60316874875766,32.68874104181474
AP012200,0.24736842105263157,0.2596491228070175,31.427530414899095,20.912233770188518
AP012204,0.20442930153321975,0.16278629566534167,67.2675393441247,83.09199829566528
AP012224,0.10764872521246459,0.16399118665407617,64.35657091688313,83.4582862067788
AP012273,0.22270742358078602,0.21737020863658418,56.27233867427217,64.736231939811
AP012292,0.22900763358778625,0.2035623409669211,50.678134821285894,58.98123748705875
AP012304,0.13427561837455831,0.15115822536317236,65.1013369765916,81.96821673440803
AP012320,0.10382513661202186,0.13539769277474195,71.24314405801177,90.89008540983318
AP012331,0.15677966101694915,0.1647834274952919,64.63092877381744,85.40830215340151
AP012333,0.10820895522388059,0.1861525704809287,58.31297660267276,73.04844261105163
AP012334,0.19090909090909092,0.2191919191919192,48.63343237690101,48.528931928920855
AP012337,0.10942760942760943,0.19734380845491956,58.76714546695322,69.23173987284495
AP012338,0.05161290322580645,0.10215053763440861,73.28780179978833,93.48250813834655
AP012342,0.21875,0.24537037037037038,50.047547643363764,52.8600203553081
AP012492,0.14779874213836477,0.2529699510831586,38.343488993942316,35.024781844645304
AP012495,0.22999157540016849,0.2459983150800337,45.7271863180528,46.68717826815462
AP012547,0.14803625377643503,0.16851292379993285,63.267412603007166,79.15080752127986
AP012551,0.1523046092184369,0.15987530616789133,56.956884178640536,67.46781189223354
AP012554,0.29069767441860467,0.29069767441860467,30.56788703419589,20.772262124659903
AP012978,0.10828025477707007,0.1521585279547063,65.05711268828249,82.31346219624776
AP013066,0.228486646884273,0.21167161226508407,56.1040492634944,65.49436516151633
AP013105,0.07506361323155217,0.16949392140231834,63.459266396182954,82.24245014305617
AP014521,0.4864864864864865,0.39039039039039036,25.06962490771965,12.049407316897229
AP014565,0.2715654952076677,0.22115725949591764,52.155026256764614,56.21466011794846
AP014569,0.07692307692307693,0.14188034188034188,66.09057305548266,83.276143228355
AP014583,0.32,0.28,32.17769270144215,21.630140096119334
AP014624,0.3008298755186722,0.26855693868142,35.59174183823627,31.217248851243838
AP014633,0.23076923076923078,0.22905982905982905,41.21047691218616,34.72579659348268
AP014648,0.11622554660529344,0.15790819588287944,62.84232476604134,77.77875657547061
AP014685,0.1302113078241005,0.16828478964401294,63.70241665075839,80.26396127928666
AP014800,0.04261363636363636,0.1404671717171717,66.82816125602547,82.54107282063603
AP014821,0.26964285714285713,0.25416666666666665,33.344810744398856,23.31407430770491
BA000012,0.09824902723735408,0.1687202766969304,62.74706437726396,78.20212561954558
BA000022,0.24588235294117647,0.24640522875816995,47.72025510218359,49.882298574919574
BA000028,0.2770083102493075,0.23976608187134502,35.681311368484145,25.853265043173003
BA000039,0.13926940639269406,0.20750887874175544,53.91792993985405,57.37820504815544
BX908798,0.26108374384236455,0.25396825396825395,34.717256203755284,27.543035134856844
CP000031,0.06643356643356643,0.14646464646464646,64.22290936690355,80.12634528985195
CP000038,0.23039215686274508,0.22875816993464052,51.009758013290465,54.86777809491924
CP000061,0.4117647058823529,0.37254901960784315,26.88626305428061,19.371994276312602
CP000083,0.3811881188118812,0.268014301430143,38.00542695387089,30.46081482872266
CP000088,0.1512770137524558,0.13490504256712507,67.50285331947377,83.77434685436344
CP000089,0.16721311475409836,0.19562841530054645,59.24722023752395,69.83350770181697
CP000103,0.13537117903930132,0.2052401746724891,53.94264822125698,60.38097430302666
CP000109,0.30718954248366015,0.24328249818445896,43.12997222924752,41.76347489024347
CP000116,0.1087866108786611,0.14318921431892143,66.06722296893027,83.50812300707801
CP000140,0.2032967032967033,0.23870573870573872,45.05957647485263,51.05677539925933
CP000141,0.28125,0.2708333333333333,42.04970185549152,39.535416446941035
CP000153,0.2916666666666667,0.27843915343915343,34.46195676613094,25.425114861501307
CP000155,0.20965842167255594,0.21240675304279544,53.86974591515463,61.05746474959016
CP000157,0.09562841530054644,0.1657559198542805,63.068512035455406,77.17354765752737
CP000158,0.10510510510510511,0.15915915915915915,61.93028325615428,74.14299571325925
CP000232,0.12561576354679804,0.18555008210180624,55.79153707569736,64.43002637918988
CP000238,0.5,0.31800766283524906,33.234770341914974,19.720723690425825
CP000245,0.07255520504731862,0.15001752541184718,69.99670531593956,91.31977921211823
CP000252,0.13793103448275862,0.2205193699446573,51.460038373226816,57.04670184084418
CP000264,0.10654205607476636,0.15867082035306335,62.332175460869756,75.41608957612769
CP000267,0.2018140589569161,0.1947593852355757,59.87933375732678,72.1806538037545
CP000282,0.3,0.2341991341991342,45.82607600427956,44.5828860197993
CP000284,0.18018018018018017,0.19953286619953287,55.71908220615934,64.99896280610056
CP000285,0.11498257839721254,0.14827719705768486,63.91185638668967,79.91249954817198
CP000316,0.15343915343915343,0.18577307466196355,62.47230909815348,77.09299266599201
CP000319,0.11141304347826086,0.1840277777777778,61.713781836805225,75.70930010645063
CP000352,0.1504424778761062,0.1678138315306457,63.820295314082756,79.09870616890429
CP000360,0.2222222222222222,0.19614814814814815,58.38384331781577,71.79140257261432
CP000377,0.10548523206751055,0.15799343647444913,60.412916463861535,71.26991283602997
CP000383,0.3644067796610169,0.2617702448210923,38.84645420098899,35.52122903381832
CP000386,0.041304347826086954,0.11280193236714976,70.47658403570273,91.23163201373471
CP000387,0.18340611353711792,0.23823386705482774,43.4002181344688,42.92532747553288
CP000388,0.28823529411764703,0.2369281045751634,44.61609348747495,43.713301961934846
CP000390,0.10535714285714286,0.16805555555555557,61.06678699297397,72.55384668026387
CP000393,0.27406679764243613,0.2642436149312377,34.143356453871355,25.13635559598903
CP000411,0.38028169014084506,0.32472613458528954,37.88888283571569,33.76575792724595
CP000414,0.291970802919708,0.24898621248986214,37.71033695121066,30.33467860372307
CP000422,0.2822085889570552,0.2447171097477846,37.357828886583455,29.55305813629921
CP000448,0.20649651972157773,0.21732405259087392,44.86592341448712,46.00755658267348
CP000449,0.13900414937759337,0.17012448132780084,62.72763433646602,75.510574803482
CP000453,0.12658227848101267,0.123300515705579,67.53125206047478,85.30676977140472
