Accession,TAA_f,TGA_f,TAG_f,GC,GC3
AE000511,0.2441860465116279,0.2779605263157895,0.23790322580645162,38.873183533219375,40.89859641519995
AE002098,0.18311403508771928,0.17434210526315788,0.16666666666666666,51.52783889876604,59.71123614190311
AE004092,0.25,0.275,0.27586206896551724,38.511784231872355,31.6688542072041
AE005176,0.27446933962264153,0.3125,0.225,35.329383083874674,25.475409051731596
AE006468,0.15572625698324022,0.1266233766233766,0.16304347826086957,52.22170068657424,57.043899779355634
AE014299,0.19573170731707318,0.1875,0.20220588235294118,45.960882617065316,45.78083558393288
AE015928,0.19419642857142858,0.19886363636363635,0.16964285714285715,42.83717823940185,44.58875565762742
AE016823,0.2431930693069307,0.22848360655737704,0.2755681818181818,35.049524395133716,29.64888454398507
AE017225,0.2802511415525114,0.2847222222222222,0.2786458333333333,35.3794459501406,26.209940212096104
AE017285,0.05,0.056818181818181816,0.07688053097345132,63.14261166363938,74.76735786710447
AE017354,0.23644578313253012,0.25,0.16666666666666666,38.26951568595019,32.75505943755892
AL111168,0.25930851063829785,0.3125,0.1875,30.548571686178516,18.980335850738253
AL123456,0.058876811594202896,0.05401234567901234,0.05276946107784431,65.61466628826449,78.52914230432377
AL590842,0.16129032258064516,0.1625,0.1625,47.63611023248458,48.09749834886232
AP009552,0.19227430555555555,0.16865808823529413,0.20107581967213115,42.33063114485447,39.50931745666048
AP012205,0.1641725352112676,0.1625,0.15742924528301888,47.73037910135888,49.90495534861084
BX897699,0.21768707482993196,0.17279411764705882,0.17137096774193547,38.23034861399023,28.890098869255546
CP001219,0.08055555555555556,0.07738095238095238,0.08333333333333333,58.77245718795988,65.35039366073784
U00096,0.15300546448087432,0.14277522935779816,0.15625,50.79070985933456,53.7633008577989
