Accession,P1_Observed,P2_Observed,P3_Observed,P4_Observed,P5_Observed,P6_Observed,Genomic_GC,Genomic_GC3
BA000026,0.009523809523809525,0.0,0.009523809523809525,0.009523809523809525,0.0,0.01904761904761905,25.717541087254613,15.598566988773465
BX293980,0.022900763358778626,0.022900763358778626,0.007633587786259542,0.022900763358778626,0.0,0.030534351145038167,23.965608734153502,10.040443424812656
CP002082,0.00904977375565611,0.013574660633484163,0.00904977375565611,0.013574660633484163,0.013574660633484163,0.004524886877828055,29.412294464639043,20.810183206528
CP002107,0.013157894736842105,0.013157894736842105,0.019736842105263157,0.019736842105263157,0.0,0.019736842105263157,23.95100384651468,10.715038707086824
CP002108,0.009174311926605505,0.0,0.0,0.009174311926605505,0.0,0.01834862385321101,23.750509192220434,9.988733633176752
CP002458,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.015873015873015872,26.859506717759356,16.16207410523272
CP003731,0.016666666666666666,0.016666666666666666,0.008333333333333333,0.0,0.0,0.0,39.27065647523601,34.16903463385109
CP005074,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.0,23.873449039194895,11.321015128014402
CP005077,0.0,0.02702702702702703,0.0,0.036036036036036036,0.018018018018018018,0.018018018018018018,28.798955241684933,16.582812470867665
CP005078,0.0,0.009433962264150943,0.009433962264150943,0.02830188679245283,0.018867924528301886,0.018867924528301886,29.201043216922656,17.097756991678448
CP006682,0.009523809523809525,0.0,0.009523809523809525,0.0,0.0,0.009523809523809525,28.303982408401506,19.04743124510618
CP006720,0.012345679012345678,0.018518518518518517,0.015432098765432098,0.018518518518518517,0.018518518518518517,0.009259259259259259,29.412117873085837,20.98567308354032
CP006916,0.02,0.0,0.0,0.01,0.0,0.01,31.467588359634803,24.87775858211876
CP006959,0.0,0.016260162601626018,0.008130081300813009,0.024390243902439025,0.0,0.0,23.681626370126597,10.118459126547119
CP010267,0.006802721088435374,0.013605442176870748,0.013605442176870748,0.02040816326530612,0.0,0.02040816326530612,23.952744574833666,10.957924081668464
FR668087,0.0,0.0,0.0,0.009009009009009009,0.0,0.009009009009009009,23.66726567783947,10.706478338569857
HF559394,0.009433962264150943,0.018867924528301886,0.018867924528301886,0.02830188679245283,0.0,0.0,25.70043972536451,15.704557654082798
LM995445,0.0,0.02054794520547945,0.00684931506849315,0.03424657534246575,0.0,0.0,23.66319241359176,11.229081143387315
