Accession,Stops_f,Tstarting_f,GC,GC3
AE000511,0.5161290322580645,0.3972602739726027,38.873183533219375,40.89859641519995
AE002098,0.0,0.3333333333333333,51.52783889876604,59.71123614190311
AE004092,0.5517241379310345,0.3157894736842105,38.511784231872355,31.6688542072041
AE005176,0.7,0.3157894736842105,35.329383083874674,25.475409051731596
AE006468,0.43478260869565216,0.40384615384615385,52.22170068657424,57.043899779355634
AE014299,0.29411764705882354,0.2916666666666667,45.960882617065316,45.78083558393288
AE015928,0.2857142857142857,0.21428571428571427,42.83717823940185,44.58875565762742
AE016823,0.22727272727272727,0.5178571428571429,35.049524395133716,29.64888454398507
AE017225,0.5416666666666666,0.4032258064516129,35.3794459501406,26.209940212096104
AE017285,0.20353982300884957,0.19852941176470587,63.14261166363938,74.76735786710447
AE017354,0.25,0.16666666666666666,38.26951568595019,32.75505943755892
AL111168,0.5,0.5,30.548571686178516,18.980335850738253
AL123456,0.20238095238095238,0.13872832369942195,65.61466628826449,78.52914230432377
AL590842,0.4666666666666667,0.34375,47.63611023248458,48.09749834886232
AP009552,0.29098360655737704,0.3096774193548387,42.33063114485447,39.50931745666048
AP012205,0.36792452830188677,0.3387096774193548,47.73037910135888,49.90495534861084
BA000017,0.4482758620689655,0.359375,32.87779973729638,23.01103521987631
BX897699,0.2903225806451613,0.42028985507246375,38.23034861399023,28.890098869255546
CP001114,0.2222222222222222,0.29411764705882354,63.38816146436573,74.68077434111375
CP001219,0.2222222222222222,0.35,58.77245718795988,65.35039366073784
CP002077,1.0,0.5714285714285714,40.00367407728878,38.223983790255
U00096,0.6111111111111112,0.2702702702702703,50.79070985933456,53.7633008577989
