Accession,TAA_f,TGA_f,TAG_f,GC,GC3
AE000511,0.22604166666666667,0.26136363636363635,0.23986486486486486,38.873183533219375,40.89859641519995
AE002098,0.16983695652173914,0.15625,0.1125,51.52783889876604,59.71123614190311
AE004092,0.254088785046729,0.23097826086956522,0.220703125,38.511784231872355,31.6688542072041
AE005176,0.2807017543859649,0.2916666666666667,0.26953125,35.329383083874674,25.475409051731596
AE006468,0.1497695852534562,0.15767045454545456,0.15159574468085107,52.22170068657424,57.043899779355634
AE014299,0.18977272727272726,0.1875,0.16622340425531915,45.960882617065316,45.78083558393288
AE015928,0.1981907894736842,0.15,0.16666666666666666,42.83717823940185,44.58875565762742
AE016823,0.2511792452830189,0.2449127906976744,0.22840909090909092,35.049524395133716,29.64888454398507
AE017225,0.26385135135135135,0.2326388888888889,0.23922413793103448,35.3794459501406,26.209940212096104
AE017285,0.05514705882352941,0.060267857142857144,0.07971014492753623,63.14261166363938,74.76735786710447
AE017354,0.21514423076923078,0.16964285714285715,0.2265625,38.26951568595019,32.75505943755892
AL111168,0.3125,0.2569444444444444,0.3541666666666667,30.548571686178516,18.980335850738253
AL123456,0.05384615384615385,0.06640625,0.0634765625,65.61466628826449,78.52914230432377
AL590842,0.14375,0.14825581395348839,0.16544117647058823,47.63611023248458,48.09749834886232
AP009552,0.19019886363636362,0.18905693950177935,0.20495495495495494,42.33063114485447,39.50931745666048
AP012205,0.16666666666666666,0.16216216216216217,0.1698529411764706,47.73037910135888,49.90495534861084
BA000017,0.28398617511520735,0.24166666666666667,0.28040540540540543,32.87779973729638,23.01103521987631
BX897699,0.22329545454545455,0.2175,0.224609375,38.23034861399023,28.890098869255546
CP001219,0.08854166666666667,0.08269230769230769,0.10326086956521739,58.77245718795988,65.35039366073784
U00096,0.15731204943357363,0.14053695724229368,0.13914233576642335,50.79070985933456,53.7633008577989
