Accession,taa_1,taa_3-6,taa_ratio,tga_1,tga_3-6,tga_ratio,tag_1,tag_3-6,tag_ratio,ttt_1,ttt_3-6,ttt_ratio,tta_1,tta_3-6,tta_ratio,ttc_1,ttc_3-6,ttc_ratio,ttg_1,ttg_3-6,ttg_ratio,tat_1,tat_3-6,tat_ratio,tac_1,tac_3-6,tac_ratio,tca_1,tca_3-6,tca_ratio,tct_1,tct_3-6,tct_ratio,tcc_1,tcc_3-6,tcc_ratio,tcg_1,tcg_3-6,tcg_ratio,tgt_1,tgt_3-6,tgt_ratio,tgc_1,tgc_3-6,tgc_ratio,tgg_1,tgg_3-6,tgg_ratio,GC,GC3
AE000657,0.047619047619047616,0.05357142857142857,-0.11111111111111116,0.023809523809523808,0.017857142857142856,0.33333333333333326,0.047619047619047616,0.017857142857142856,1.6666666666666665,0.023809523809523808,0.06547619047619047,-0.6363636363636362,0.07142857142857142,0.02976190476190476,1.4,0.023809523809523808,0.011904761904761904,1.0,0.047619047619047616,0.005952380952380952,7.0,0.09523809523809523,0.03571428571428571,1.6666666666666665,0.0,0.02976190476190476,-1.0,0.0,0.005952380952380952,-1.0,0.023809523809523808,0.011904761904761904,1.0,0.023809523809523808,0.017857142857142856,0.33333333333333326,0.0,0.017857142857142856,-1.0,0.023809523809523808,0.011904761904761904,1.0,0.0,0.005952380952380952,-1.0,0.047619047619047616,0.023809523809523808,1.0,43.476167301066496,47.18621732053671
AE014184,0.008,0.024,-0.6666666666666667,0.008,0.01,-0.19999999999999996,0.0,0.008,-1.0,0.04,0.024,0.6666666666666667,0.008,0.022000000000000002,-0.6363636363636365,0.032,0.028,0.1428571428571428,0.016,0.036,-0.5555555555555556,0.016,0.024,-0.33333333333333337,0.016,0.006,1.6666666666666665,0.0,0.012,-1.0,0.008,0.02,-0.6,0.008,0.006,0.33333333333333326,0.008,0.022,-0.6363636363636364,0.008,0.026000000000000002,-0.6923076923076923,0.024,0.034,-0.2941176470588236,0.016,0.022,-0.2727272727272727,46.331997200483556,43.31984798362862
AE015928,0.029411764705882353,0.03466386554621849,-0.1515151515151516,0.01680672268907563,0.01365546218487395,0.23076923076923062,0.01050420168067227,0.014705882352941176,-0.2857142857142857,0.03991596638655462,0.04989495798319328,-0.20000000000000007,0.02100840336134454,0.026785714285714288,-0.21568627450980393,0.014705882352941176,0.01523109243697479,-0.03448275862068961,0.025210084033613446,0.023109243697478993,0.09090909090909083,0.03361344537815126,0.032037815126050424,0.04918032786885229,0.0063025210084033615,0.01365546218487395,-0.5384615384615384,0.01680672268907563,0.018907563025210083,-0.11111111111111105,0.01680672268907563,0.016281512605042018,0.032258064516129004,0.0021008403361344537,0.01365546218487395,-0.8461538461538461,0.008403361344537815,0.007352941176470588,0.1428571428571428,0.01680672268907563,0.02258403361344538,-0.2558139534883722,0.008403361344537815,0.011029411764705881,-0.23809523809523803,0.008403361344537815,0.010504201680672268,-0.19999999999999996,42.83717823940185,44.58875565762742
AE016825,0.0,0.007472826086956522,-1.0,0.0,0.009510869565217392,-1.0,0.005434782608695652,0.006114130434782608,-0.11111111111111105,0.01358695652173913,0.020380434782608696,-0.33333333333333337,0.0,0.004076086956521739,-1.0,0.005434782608695652,0.012228260869565218,-0.5555555555555556,0.010869565217391304,0.021059782608695655,-0.4838709677419356,0.0,0.008152173913043478,-1.0,0.002717391304347826,0.002717391304347826,0.0,0.0,0.010190217391304348,-1.0,0.005434782608695652,0.006793478260869565,-0.19999999999999996,0.01358695652173913,0.014945652173913044,-0.09090909090909094,0.016304347826086956,0.01358695652173913,0.19999999999999996,0.005434782608695652,0.012228260869565216,-0.5555555555555556,0.005434782608695652,0.016304347826086956,-0.6666666666666667,0.005434782608695652,0.015624999999999998,-0.6521739130434783,64.83374306473475,83.15720006089714
AE017282,0.0,0.003676470588235294,-1.0,0.004901960784313725,0.006127450980392157,-0.19999999999999996,0.0,0.0012254901960784314,-1.0,0.00980392156862745,0.011029411764705881,-0.11111111111111105,0.0,0.004901960784313725,-1.0,0.0,0.02696078431372549,-1.0,0.0,0.011029411764705881,-1.0,0.004901960784313725,0.0012254901960784314,3.0,0.004901960784313725,0.00857843137254902,-0.4285714285714286,0.00980392156862745,0.011029411764705883,-0.11111111111111116,0.0196078431372549,0.007352941176470588,1.6666666666666665,0.0196078431372549,0.03553921568627451,-0.4482758620689655,0.024509803921568627,0.020833333333333336,0.17647058823529393,0.0,0.004901960784313725,-1.0,0.004901960784313725,0.013480392156862744,-0.6363636363636364,0.004901960784313725,0.01715686274509804,-0.7142857142857143,63.58457295840506,77.96001192983474
AL935263,0.03917525773195876,0.03762886597938144,0.041095890410958846,0.020618556701030927,0.023195876288659795,-0.11111111111111116,0.010309278350515464,0.015463917525773195,-0.33333333333333326,0.04329896907216495,0.025257731958762887,0.7142857142857142,0.05567010309278351,0.03814432989690722,0.45945945945945943,0.024742268041237112,0.012371134020618556,1.0,0.03711340206185567,0.023195876288659795,0.5999999999999999,0.0288659793814433,0.015979381443298968,0.806451612903226,0.012371134020618556,0.007731958762886598,0.5999999999999999,0.018556701030927835,0.01804123711340206,0.028571428571428692,0.016494845360824743,0.007731958762886598,1.1333333333333333,0.016494845360824743,0.006185567010309278,1.666666666666667,0.024742268041237112,0.010309278350515465,1.3999999999999995,0.020618556701030927,0.01288659793814433,0.6000000000000001,0.016494845360824743,0.012371134020618556,0.3333333333333335,0.012371134020618556,0.018041237113402064,-0.3142857142857144,44.46688649939107,45.13685216456338
AM236080,0.0076045627376425855,0.0038022813688212928,1.0,0.0019011406844106464,0.008555133079847909,-0.7777777777777778,0.0038022813688212928,0.0038022813688212928,0.0,0.015209125475285171,0.02138783269961977,-0.28888888888888886,0.0,0.010931558935361217,-1.0,0.009505703422053232,0.017110266159695818,-0.44444444444444453,0.005703422053231939,0.011406844106463879,-0.5,0.009505703422053232,0.005228136882129278,0.8181818181818179,0.0038022813688212928,0.0038022813688212928,0.0,0.017110266159695818,0.015684410646387835,0.09090909090909083,0.005703422053231939,0.010931558935361217,-0.4782608695652174,0.011406844106463879,0.02566539923954373,-0.5555555555555556,0.015209125475285171,0.02376425855513308,-0.36,0.0019011406844106464,0.009030418250950571,-0.7894736842105263,0.011406844106463879,0.02186311787072243,-0.4782608695652173,0.017110266159695818,0.015209125475285171,0.125,61.09037476108047,75.9558218001485
AM260479,0.002770083102493075,0.002770083102493075,0.0,0.0110803324099723,0.006232686980609419,0.7777777777777777,0.00554016620498615,0.002770083102493075,1.0,0.013850415512465374,0.006925207756232687,1.0,0.0,0.002077562326869806,-1.0,0.008310249307479225,0.010387811634349032,-0.20000000000000007,0.002770083102493075,0.009695290858725763,-0.7142857142857143,0.002770083102493075,0.002770083102493075,0.0,0.00554016620498615,0.0048476454293628814,0.1428571428571428,0.008310249307479225,0.008310249307479225,0.0,0.008310249307479225,0.004155124653739612,1.0,0.01662049861495845,0.021468144044321333,-0.22580645161290325,0.002770083102493075,0.013850415512465374,-0.8,0.01662049861495845,0.006232686980609419,1.6666666666666665,0.024930747922437674,0.02700831024930748,-0.07692307692307698,0.008310249307479225,0.013157894736842105,-0.36842105263157887,66.46591142419408,85.22432239106415
AM260525,0.009433962264150943,0.02830188679245283,-0.6666666666666667,0.0047169811320754715,0.01650943396226415,-0.7142857142857143,0.0047169811320754715,0.020047169811320754,-0.7647058823529411,0.04245283018867924,0.055424528301886794,-0.23404255319148948,0.02358490566037736,0.03537735849056604,-0.33333333333333326,0.0047169811320754715,0.02712264150943396,-0.8260869565217391,0.0,0.01650943396226415,-1.0,0.014150943396226415,0.02830188679245283,-0.5,0.009433962264150943,0.0047169811320754715,1.0,0.0047169811320754715,0.02122641509433962,-0.7777777777777778,0.014150943396226415,0.02358490566037736,-0.4,0.0,0.008254716981132075,-1.0,0.0047169811320754715,0.0047169811320754715,0.0,0.0047169811320754715,0.022405660377358493,-0.7894736842105263,0.014150943396226415,0.012971698113207546,0.09090909090909105,0.0047169811320754715,0.01179245283018868,-0.6000000000000001,38.856063299022054,30.077139499859406
AM494475,0.042328042328042326,0.04894179894179894,-0.1351351351351351,0.010582010582010581,0.009259259259259259,0.1428571428571428,0.021164021164021163,0.018518518518518517,0.1428571428571428,0.06878306878306878,0.06746031746031746,0.019607843137254832,0.042328042328042326,0.04497354497354497,-0.05882352941176472,0.010582010582010581,0.031746031746031744,-0.6666666666666667,0.010582010582010581,0.01984126984126984,-0.4666666666666667,0.042328042328042326,0.06746031746031746,-0.37254901960784315,0.005291005291005291,0.011904761904761904,-0.5555555555555556,0.010582010582010581,0.011904761904761904,-0.11111111111111116,0.0,0.009259259259259259,-1.0,0.0,0.0026455026455026454,-1.0,0.0,0.0013227513227513227,-1.0,0.015873015873015872,0.015873015873015872,0.0,0.005291005291005291,0.005291005291005291,0.0,0.005291005291005291,0.003968253968253968,0.33333333333333326,30.5310497961732,21.365218147233982
