Accession,P0_observed,Total_UTRs_0,P0_Expected_freq,P0_Observed_freq,P0_Standard_Deviation,P0_Zscore,P0__BinomPval,P1_observed,P1_Total_UTRs,P1_Expected_freq,P1_Observed_freq,P1_Standard_Deviation,P1_Zscore,P1__BinomPval,P2_observed,P2_Total_UTRs,P2_Expected_freq,P2_Observed_freq,P2_Standard_Deviation,P2_Zscore,P2__BinomPval,P3_observed,P3_Total_UTRs,P3_Expected_freq,P3_Observed_freq,P3_Standard_Deviation,P3_Zscore,P3__BinomPval,P4_observed,P4_Total_UTRs,P4_Expected_freq,P4_Observed_freq,P4_Standard_Deviation,P4_Zscore,P4__BinomPval,P5_observed,P5_Total_UTRs,P5_Expected_freq,P5_Observed_freq,P5_Standard_Deviation,P5_Zscore,P5__BinomPval,P6_observed,P6_Total_UTRs,P6_Expected_freq,P6_Observed_freq,P6_Standard_Deviation,P6_Zscore,P6__BinomPval,Genomic_GC,Genomic_GC3
CP002725,932,932,0.092,1.0,28.9025950392002,29.279585409276724,0.0,59,932,0.0887,0.06330472103004292,28.431023548229845,-0.8324849775404457,0.0055904715162137806,96,932,0.087,0.10300429184549356,28.183505814571756,0.5292457261398605,0.09152514210327112,84,932,0.0856,0.09012875536480687,27.97724789896247,0.1508654466387503,0.5984168940887633,77,932,0.0942,0.08261802575107297,29.210676130483524,-0.3695361227443567,0.2391354931603327,91,932,0.0904,0.09763948497854077,28.67539712017952,0.23529578236431292,0.42413408721266976,92,932,0.0888,0.09871244635193133,28.44548470320026,0.32477562243685837,0.2995925074358494,41.22960708801931,34.43784294716497
CP001108,1313,1313,0.0527,1.0,22.343390521583782,55.66768833935391,0.0,57,1313,0.0573,0.04341203351104341,23.241495218681607,-0.7845837726198748,0.02801102171842696,42,1313,0.0485,0.03198781416603199,21.482027371735658,-1.0092390082569898,0.004582245687781546,40,1313,0.054,0.030464584920030464,22.601769842204835,-1.3672380621404234,6.719376241314006e-05,42,1313,0.0508,0.03198781416603199,21.958907076628382,-1.124846510520985,0.001303688733159665,46,1313,0.0557,0.035034272658035034,22.93414703013827,-1.183130986486765,0.0007227569450730227,48,1313,0.0571,0.03655750190403656,23.20335967053047,-1.1624308023917886,0.0008410013588660541,50.09512826298299,54.21922235352343
CP004372,1842,1842,0.0231,1.0,15.022113699476515,119.78672482439715,0.0,11,1842,0.0255,0.005971769815418024,15.763803475050048,-2.2818731568769315,4.830842104525423e-10,17,1842,0.0238,0.009229098805646038,15.242558840299749,-1.7608329599515062,5.481104848904893e-06,22,1842,0.025,0.011943539630836048,15.612494995995995,-1.5404328396049385,9.802581851668267e-05,15,1842,0.0266,0.008143322475570033,16.091127990293284,-2.1127915967425195,1.7679066750041517e-08,22,1842,0.0238,0.011943539630836048,15.242558840299749,-1.4328040474581185,0.0004050612243641456,23,1842,0.023,0.01248642779587405,14.990330216509575,-1.2918994925589624,0.0013984620040232458,65.74240058462343,82.04848508420692
CP003546,712,712,0.0723,1.0,25.898399564451854,25.504371355310816,0.0,41,712,0.0736,0.05758426966292135,26.111882352676147,-0.4367053989438379,0.11379120176861351,37,712,0.0728,0.05196629213483146,25.98079290552927,-0.5709448535284347,0.030350535418996537,42,712,0.0705,0.05898876404494382,25.59877926776978,-0.3201715173316564,0.2714510805834627,43,712,0.0736,0.060393258426966294,26.111882352676147,-0.3601119165978582,0.19608606593602113,36,712,0.0742,0.05056179775280899,26.209608924972535,-0.6421461704437713,0.014822412120542037,51,712,0.0673,0.07162921348314606,25.054083499501633,0.12302984461839579,0.6531765175805138,43.290203096300914,44.793087709472836
CP000267,2194,2194,0.0386,1.0,19.263966362096877,109.4951870425921,0.0,48,2194,0.0393,0.02187784867821331,19.430777133197736,-1.9671987248875118,7.842766943148372e-06,68,2194,0.0393,0.03099361896080219,19.430777133197736,-0.937903814915551,0.04764368782548928,68,2194,0.0378,0.03099361896080219,19.071224396980913,-0.7830226150746783,0.10411115704261542,67,2194,0.0434,0.030537830446672742,20.37558342722976,-1.3849713850297687,0.0023366189469341096,73,2194,0.043,0.033272561531449404,20.285709255532574,-1.052070683413711,0.023516782042100982,78,2194,0.0416,0.03555150410209663,19.967333322204045,-0.664605522723611,0.16444899160843365,59.87933375732678,72.1806538037545
AM236080,2936,2936,0.0356,1.0,18.52906905378681,152.81277174696086,0.0,66,2936,0.0399,0.022479564032697547,19.572427033967966,-2.613186392839037,2.472768693397749e-07,64,2936,0.0403,0.021798365122615803,19.666191802176648,-2.7621412699731627,3.575825143428538e-08,65,2936,0.0377,0.022138964577656677,19.046970887781605,-2.398659622528628,2.4185541393295337e-06,89,2936,0.0391,0.030313351498637602,19.38328919456138,-1.3309196257175158,0.013190281559695507,61,2936,0.0406,0.02077656675749319,19.73616984118246,-2.9489815130468564,3.2327275572659478e-09,51,2936,0.0389,0.01737057220708447,19.33566393998406,-3.269109361654126,2.449220280271635e-11,61.09037476108047,75.9558218001485
CP003281,2132,2132,0.0836,1.0,27.67869939140927,70.58730514651263,0.0,152,2132,0.0891,0.07129455909943715,28.48880306365994,-1.3324954339139279,0.003396589277051753,167,2132,0.087,0.07833020637898687,28.183505814571756,-0.6558445965385603,0.16643584910021453,140,2132,0.0806,0.06566604127579738,27.221983763127916,-1.1696135107951278,0.010829316226636652,168,2132,0.0806,0.07879924953095685,27.221983763127916,-0.14103307214517513,0.8112977774411834,170,2132,0.0849,0.07973733583489681,27.87328290675499,-0.39488710521904613,0.4145563242162442,134,2132,0.0907,0.06285178236397748,28.718201545361435,-2.0674135845943957,3.343813602959309e-06,36.813130645201646,32.51640061801929
AM743169,2614,2614,0.0291,1.0,16.808685254950788,150.98935826955793,0.0,34,2614,0.0305,0.013006885998469778,17.19585705918725,-2.659187026422122,7.482963985014291e-09,49,2614,0.0269,0.01874521805661821,16.17911925909442,-1.317537726166259,0.009170860110182373,28,2614,0.0282,0.010711553175210406,16.554383105389338,-2.76149221079204,1.2491348792936114e-09,43,2614,0.0299,0.016449885233358837,17.03114499967633,-2.0643708923074855,1.539998575667555e-05,50,2614,0.0292,0.019127773527161437,16.83667425592121,-1.5637767649237824,0.0016566468595065106,34,2614,0.0286,0.013006885998469778,16.66794528428744,-2.4454363933162218,1.4930453643286696e-07,66.32404518043852,83.25334333965804
CP003382,2322,2322,0.0328,1.0,17.81127732645809,126.09081082937708,0.0,24,2322,0.0298,0.0103359173126615,17.003517283197613,-2.658014765254539,4.792944649526216e-10,39,2322,0.0323,0.016795865633074936,17.67956730239742,-2.036282867348127,5.5840369050646e-06,53,2322,0.0312,0.022825150732127476,17.38578729882544,-1.1185228293523277,0.019692052264567578,54,2322,0.0323,0.023255813953488372,17.67956730239742,-1.1878458132373093,0.011550772212699425,55,2322,0.0307,0.023686477174849268,17.250365213525193,-0.9440611719473279,0.05382998277916101,47,2322,0.0312,0.020241171403962102,17.38578729882544,-1.4636323085419962,0.0015318685188391878,63.9743688494036,77.97172687636252
CP003653,3268,3268,0.0832,1.0,27.61842863017373,108.48200091755739,0.0,194,3268,0.0938,0.05936352509179926,29.15502701079181,-3.8599998538277323,8.014904149381604e-13,306,3268,0.0868,0.09363525091799266,28.154175534012712,0.7934027396047961,0.17152153381034702,281,3268,0.0872,0.08598531211750306,28.212791425167417,-0.14070213543133858,0.8282290213349408,262,3268,0.0897,0.08017135862913097,28.57514829357846,-1.0897441259123006,0.05766829082320957,281,3268,0.0875,0.08598531211750306,28.256636388643287,-0.17518008626070788,0.7806082846924296,292,3268,0.0862,0.08935128518971848,28.065915271018685,0.36693618934403,0.5128335440992193,35.953260418284586,23.985643983054743
