Accession,TAA_length,TGA_length,TAG_length,GC,GC3
AE000511,939.85,923.9318181818181,1007.4324324324324,38.873183533219375,40.89859641519995
AE002098,1423.695652173913,1536.0882352941176,1208.4,51.52783889876604,59.71123614190311
AE004092,1380.2803738317757,1235.608695652174,1098.28125,38.511784231872355,31.6688542072041
AE005176,1091.3333333333333,1178.5555555555557,1551.0,35.329383083874674,25.475409051731596
AE006468,1250.405529953917,1023.6477272727273,1109.6808510638298,52.22170068657424,57.043899779355634
AE014299,1435.090909090909,1419.0,1338.8297872340424,45.960882617065316,45.78083558393288
AE015928,1784.921052631579,1724.2,1843.4,42.83717823940185,44.58875565762742
AE016823,1204.372641509434,1136.7209302325582,1302.9818181818182,35.049524395133716,29.64888454398507
AE017225,1094.4324324324325,1032.1666666666667,1161.2068965517242,35.3794459501406,26.209940212096104
AE017285,1104.1764705882354,1188.375,1059.9565217391305,63.14261166363938,74.76735786710447
AE017354,1665.1153846153845,1303.142857142857,1268.625,38.26951568595019,32.75505943755892
AL111168,1132.258064516129,1214.3333333333333,1606.0,30.548571686178516,18.980335850738253
AL123456,1008.6,1004.21875,1101.6328125,65.61466628826449,78.52914230432377
AL590842,1281.4071428571428,1049.5116279069769,1164.5294117647059,47.63611023248458,48.09749834886232
AP009552,795.2454545454545,916.4519572953736,766.1081081081081,42.33063114485447,39.50931745666048
AP012205,1431.3870967741937,1546.1351351351352,1325.5764705882352,47.73037910135888,49.90495534861084
BA000017,1136.7926267281107,964.6,982.7027027027027,32.87779973729638,23.01103521987631
BX897699,889.6090909090909,859.56,1237.21875,38.23034861399023,28.890098869255546
CP001219,1006.25,905.1692307692308,1193.2173913043478,58.77245718795988,65.35039366073784
U00096,985.5602471678682,918.7757255936675,864.043795620438,50.79070985933456,53.7633008577989
