Accession,F_4T_genes,F_Tstart_codons,GC,GC3
AE000511,0.2413793103448276,0.33497536945812806,38.873183533219375,40.89859641519995
AE002098,0.3058823529411765,0.23398692810457516,51.52783889876604,59.71123614190311
AE004092,0.29012345679012347,0.32030178326474623,38.511784231872355,31.6688542072041
AE005176,0.3177570093457944,0.34631360332294914,35.329383083874674,25.475409051731596
AE006468,0.3522727272727273,0.26641414141414144,52.22170068657424,57.043899779355634
AE014299,0.3495575221238938,0.2994100294985251,45.960882617065316,45.78083558393288
AE015928,0.330188679245283,0.27672955974842767,42.83717823940185,44.58875565762742
AE016823,0.28895184135977336,0.37960339943342775,35.049524395133716,29.64888454398507
AE017225,0.3620689655172414,0.303639846743295,35.3794459501406,26.209940212096104
AE017285,0.15492957746478872,0.15258215962441316,63.14261166363938,74.76735786710447
AE017354,0.3238095238095238,0.3470899470899471,38.26951568595019,32.75505943755892
AL111168,0.3488372093023256,0.3669250645994832,30.548571686178516,18.980335850738253
AL123456,0.16363636363636364,0.17316017316017315,65.61466628826449,78.52914230432377
AL590842,0.5023041474654378,0.31490015360983103,47.63611023248458,48.09749834886232
AP009552,0.2523860021208908,0.2890302816071639,42.33063114485447,39.50931745666048
AP012205,0.24186046511627907,0.2971576227390181,47.73037910135888,49.90495534861084
BA000017,0.38095238095238093,0.32519332519332517,32.87779973729638,23.01103521987631
BX897699,0.24870466321243523,0.33966609096142775,38.23034861399023,28.890098869255546
CP001114,0.13145539906103287,0.19248826291079812,63.38816146436573,74.68077434111375
CP001219,0.24193548387096775,0.20698924731182797,58.77245718795988,65.35039366073784
CP002077,0.0,0.30158730158730157,40.00367407728878,38.223983790255
U00096,0.37877770315648085,0.27475561525259307,50.79070985933456,53.7633008577989
